0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36221 13136	10	 * 	292.51	DCR|5VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567aVULN|7BPWR|9RCR
2	43221 13132	9	   	283.77	DCR|4VULN|3DUR|1DMG|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aDMG
3	36225 13324	7	 * 	283.53	DCR|4VULN|2DMG|2DUR|3LIT	157LIT|29DMG|37DUR|4678VULN|7BPWR|aRCR
4	31221 13132	9	   	282.47	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2ASPD|378DUR|4567VULN|7BPWR|9RCR|aDMG
5	36221 13132	9	   	282.47	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aASPD
6	43221 13136	10	   	282.05	DCR|5VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567aVULN|7BPWR|9RCR
7	31221 13136	10	   	280.75	DCR|5VULN|3DUR|2LIT	17LIT|2ASPD|378DUR|4567aVULN|7BPWR|9RCR
8	36221 13135	10	 * 	279.17	DCR|4VULN|3DUR|3LIT|1DMG	17aLIT|2DMG|378DUR|4567VULN|7BPWR|9RCR
9	36221 13581	9	   	278.43	DCR|4VULN|2DMG|2DUR|2LIT	17LIT|29DMG|37DUR|4567VULN|7BPWR|8MBVNT|aRCR
10	36221 13235	8	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	17LIT|2DMG|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
11	36221 13235	9	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	17LIT|2DMG|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
12	36221 13435	10	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	17LIT|2DMG|37DUR|4567VULN|7BPWR|8BEXP|9RCR|aCDMG
13	36221 13535	7	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	17LIT|2DMG|37DUR|4567VULN|7BPWR|8RCVC|9CDMG|aRCR
14	36221 13132	10	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aRCVC
15	36221 13133	10	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aLWND
16	36221 13133	9	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aLWND
17	36221 13134	10	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aRPLT
18	36221 13135	9	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aLHND
