0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11332 31666	9	 * 	277.98	DCR|5VULN|2DUR|3LIT	1RCVC|24579VULN|37DUR|678LIT|7BPWR|aRCR
2	31334 51235	8	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aDUR
3	32413 53136	10	 * 	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	124LIT|346VULN|46BPWR|56DMG|7FEWX|8DUR|9TLV|aRCR
4	11332 31526	10	 * 	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1RCVC|2457VULN|37DUR|67LIT|7BPWR|8DMG|9BELT|aRCR
5	11332 31141	8	   	272.97	DCR|5VULN|2DUR|2LIT	1RCVC|24579VULN|37DUR|67LIT|7BPWR|8LHND|aRCR
6	11332 31241	7	   	272.97	DCR|5VULN|2DUR|2LIT	1RCVC|24579VULN|37DUR|67LIT|7BPWR|8LHND|aRCR
7	11332 31241	8	   	272.97	DCR|5VULN|2DUR|2LIT	1RCVC|24579VULN|37DUR|67LIT|7BPWR|8FEWX|aRCR
8	45621 42434	1	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aASPD
9	46621 42434	2	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aASPD
10	11323 22146	10	 * 	271.86	DCR|4VULN|3DUR|3TLV	1RCVC|2689VULN|389DUR|4LWND|5ZMB|789TLV|89BPWR|aRCR
11	45621 42423	1	   	271.20	DCR|4VULN|2DMG|1TLV|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aTLV
12	46621 42423	2	   	271.20	DCR|4VULN|2DMG|1TLV|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aTLV
