0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31223 53625	1	 * 	293.50	DCR|4VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478aVULN|5RCVC|6RCR|7BPWR|9CDMG
2	31223 53521	1	 * 	292.42	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV|2LIT	179DUR|29DMG|37ASPD|47VULN|5RCVC|6RCR|79BPWR|89LIT|aTLV
3	32121 13534	1	 * 	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1aDUR|2TBNT|359aVULN|4TLV|6LHND|7RCR|8aDMG|aBPWR
4	32121 23534	1	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1aDUR|2TBNT|359aVULN|4TLV|6FEWX|7RCR|8aDMG|aBPWR
5	31223 53662	1	   	287.11	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9TLV|aCDMG
6	31223 53523	1	   	285.83	DCR|2VULN|3DUR|2DMG|2ASPD|2LIT|1AART	179DUR|29DMG|37ASPD|47VULN|5RCVC|6RCR|79BPWR|89LIT|aAART
7	32122 13534	1	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	16aDUR|2TBNT|39aVULN|4TLV|5BEXP|7RCR|8aDMG|aBPWR
8	32125 13534	1	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	15aDUR|2TBNT|39aVULN|4TLV|6LHND|7RCR|8aDMG|aBPWR
9	32125 23534	1	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	15aDUR|2TBNT|39aVULN|4TLV|6FEWX|7RCR|8aDMG|aBPWR
10	31532 35512	7	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178DUR|24CGEN|378DMG|578VULN|6SELL|78BPWR|9LEGI|aRCR
11	31223 53541	1	   	281.76	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17DUR|2DMG|37ASPD|479VULN|5RCVC|6RCR|7BPWR|8LIT|aTLV
12	31223 53543	1	 * 	278.74	DCR|3VULN|3DUR|2ASPD|1DMG	17aDUR|2DMG|37ASPD|479VULN|5RCVC|6RCR|7BPWR|8LIT
13	34361 24211	8	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	148DUR|2FEWX|358VULN|6AART|78DMG|8BPWR|9BBNT|aRCR
14	34361 23411	5	 * 	276.36	DCR|4VULN|3DUR|1TLV	147DUR|27FEWX|3579VULN|6RCR|7BPWR|8LIT|aTLV
15	32361 24211	8	   	276.27	DCR|3VULN|3DUR|2DMG|1AART	148DUR|2DUST|358VULN|6AART|78DMG|8BPWR|9BBNT|aRCR
16	32361 24241	8	   	276.27	DCR|3VULN|3DUR|2DMG|1AART	148DUR|2DUST|358VULN|6AART|78DMG|8BPWR|9RCR|aERES
17	32361 24243	8	   	276.27	DCR|3VULN|3DUR|2DMG|1NUKE|1AART	148DUR|2DUST|358VULN|6AART|78DMG|8BPWR|9RCR|aNUKE
18	31223 53524	1	   	276.17	DCR|2VULN|3DUR|2DMG|2ASPD|2LIT	179DUR|29DMG|37ASPD|47VULN|5RCVC|6RCR|79BPWR|89LIT|aFEWX
19	32361 23411	5	   	276.16	DCR|4VULN|3DUR|1TLV	147DUR|27DUST|3579VULN|6RCR|7BPWR|8LIT|aTLV
20	32113 43334	1	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|2TBNT|359aVULN|4BEXP|6MLV|7RCR|8aDMG|aBPWR
21	32133 43334	1	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|2TBNT|359aVULN|4LWND|6MLV|7RCR|8aDMG|aBPWR
22	31223 53522	1	   	276.07	DCR|2VULN|3DUR|2DMG|2ASPD|2LIT	179DUR|29DMG|37ASPD|47VULN|5RCVC|6RCR|79BPWR|89LIT|aLEGI
23	31223 53525	1	   	276.07	DCR|2VULN|3DUR|2DMG|2ASPD|2LIT	179DUR|29DMG|37ASPD|47VULN|5RCVC|6RCR|79BPWR|89LIT|aTBNT
24	32113 23534	1	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUR|2TBNT|359aVULN|4BEXP|6ERES|7RCR|8aDMG|aBPWR
25	32133 23534	1	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUR|2TBNT|359aVULN|4LWND|6ERES|7RCR|8aDMG|aBPWR
26	33522 33574	5	   	275.02	DCR|3VULN|3DUR|2DMG	147DUR|2ZMB|37DMG|57aVULN|6MBVNT|7BPWR|8LIT|9RCR
27	31223 53641	1	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|29DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|aLWND
28	31223 53642	1	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|29DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|aRPLT
29	31223 53643	1	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|29DMG|37ASPD|478VULN|5aRCVC|6RCR|7BPWR
30	31223 53661	1	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9TLV|aFEWX
31	31223 53663	1	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9TLV|aRPLT
32	31223 53432	1	   	273.43	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV|1CDMG	178DUR|2DMG|37ASPD|47VULN|5RCVC|6RCR|7BPWR|9CDMG|aTLV
33	36113 51211	1	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2LWND|39aVULN|4ASPD|5LIT|6RCR|7BBNT|8aDMG|aBPWR
34	36113 52211	1	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2LWND|39aVULN|4ASPD|5LIT|6RCR|7TBNT|8aDMG|aBPWR
35	31123 51846	4	 * 	271.76	DCR|4VULN|3DUR|2CDMG	167DUR|2aCGEN|37DUST|467aVULN|5MBVNT|67aBPWR|8RCR|9aCDMG
36	32223 51846	4	   	271.56	DCR|4VULN|3DUR|2CDMG	167DUR|2aDUST|37ERES|467aVULN|5MBVNT|67aBPWR|8RCR|9aCDMG
37	22143 63332	1	 * 	271.44	DCR|5VULN|3DUR	178LHND|2TBNT|3578aVULN|478DUR|6RCVC|78BPWR|9RCR
38	31223 53213	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|479VULN|5RCVC|6RCR|7BPWR|8LHND|aCDMG
39	31223 53612	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CGEN|aCDMG
