0	Index      	 *	Score 	Summary	Detail	
1	64112 32533	 * 	293.01	DCR|3LIT|2VULN|3ASPD|1MLV	1LHND|245LIT|345ASPD|45BPWR|6RPLT|7MLV|89VULN|aRCR
2	34233 55323	 * 	286.04	DCR|3LIT|3VULN|1MLV	17DUST|267LIT|3ERES|4ZMB|578VULN|7BPWR|9RCR|aMLV
3	51251 51133	 * 	285.02	DCR|2LIT|3VULN|3DMG	1DLOT|23aVULN|45LIT|69aDMG|7aCGEN|8RCR|aBPWR
4	51253 16123	   	285.02	DCR|2LIT|3VULN|3DMG	1DLOT|23aVULN|49LIT|5aCGEN|67aDMG|8RCR|aBPWR
5	51251 51132	 * 	279.12	DCR|2LIT|2VULN|2DMG|1MLV	1DLOT|23VULN|45LIT|69DMG|7CGEN|8RCR|aMLV
6	51253 16122	   	279.12	DCR|2LIT|2VULN|2DMG|1MLV	1DLOT|23VULN|49LIT|5CGEN|67DMG|8RCR|aMLV
7	34112 12313	 * 	271.93	DCR|3LIT|3ASPD|1MLV|1DMG|1CDMG	1DUST|245LIT|345ASPD|45BPWR|6CDMG|7RPLT|8RCR|9DMG|aMLV
8	22242 31114	   	270.40	DCR|2LIT|3VULN|1MLV|1SELL	1TLV|2MLV|3SELL|459VULN|6ZMB|7aLIT|8RCR
9	22242 31143	   	270.40	DCR|2LIT|3VULN|1MLV|1SELL	1TLV|2MLV|3SELL|45aVULN|6ZMB|79LIT|8RCR
10	51122 41724	   	269.46	DCR|2LIT|3VULN|2DMG	1DLOT|27aVULN|3aLHND|4MBVNT|57DMG|67LWND|7aBPWR|8RCR|9aLIT
11	51122 81724	   	269.46	DCR|2LIT|3VULN|2DMG	1DLOT|27aVULN|3aLHND|4MBVNT|57DMG|67FEWX|7aBPWR|8RCR|9aLIT
12	51253 13123	   	269.36	DCR|2LIT|3VULN|2DMG	1DLOT|23aVULN|49LIT|5aCGEN|6aDMG|7RCVC|8RCR|aBPWR
13	51122 31724	   	269.26	DCR|2LIT|3VULN|2DMG	1DLOT|27aVULN|3aLHND|4MBVNT|57DMG|67DUST|7aBPWR|8RCR|9aLIT
14	51122 71724	   	269.26	DCR|2LIT|3VULN|2DMG|2DUR	1DLOT|27aVULN|3aLHND|4MBVNT|57DMG|67DUR|7aBPWR|8RCR|9aLIT
15	51422 31724	   	269.26	DCR|2LIT|3VULN|2DMG	1DLOT|27aVULN|3aLWND|4MBVNT|57DMG|67DUST|7aBPWR|8RCR|9aLIT
16	21134 11114	   	268.86	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2aLIT|3MLV|4DMSP|59VULN|6CDMG|7ASPD|8RCR
17	21134 11143	   	268.86	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|29LIT|3MLV|4DMSP|5aVULN|6CDMG|7ASPD|8RCR
18	22334 11114	   	268.86	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2MLV|3aLIT|4DMSP|59VULN|6CDMG|7ASPD|8RCR
19	22334 11143	   	268.86	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2MLV|39LIT|4DMSP|5aVULN|6CDMG|7ASPD|8RCR
20	44123 13113	   	268.76	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1CDMG|24LIT|3ASPD|5RMIN|6MLV|7DUST|8RCR|9aVULN
21	21134 11113	   	268.13	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1TLV|2LIT|3MLV|4DMSP|59aVULN|6CDMG|7ASPD|8RCR
22	22334 11113	   	268.13	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1TLV|2MLV|3LIT|4DMSP|59aVULN|6CDMG|7ASPD|8RCR
23	22242 31113	 * 	266.69	DCR|4VULN|1LIT|1MLV|1SELL	1TLV|2MLV|3SELL|459aVULN|6ZMB|7LIT|8RCR
24	53162 53132	 * 	266.30	ACR|2LIT|3VULN|1MLV|1CDMG|1ASPD	1DLOT|2ASPD|346VULN|5RCR|78LIT|9CDMG|aMLV
25	22242 31144	   	265.55	DCR|3LIT|2VULN|1MLV|1SELL	1TLV|2MLV|3SELL|45VULN|6ZMB|79aLIT|8RCR
26	51121 32323	   	265.50	DCR|2LIT|3VULN|1MLV	1DLOT|28aVULN|3aLHND|4MBVNT|5FEWX|6MLV|7RCR|9aLIT|aBPWR
27	54223 32323	   	265.50	DCR|2LIT|3VULN|1MLV	1DLOT|2aFEWX|38aVULN|4MBVNT|5LHND|6MLV|7RCR|9aLIT|aBPWR
28	56221 32323	   	265.30	DCR|2LIT|3VULN|1MLV|2DUR	1DLOT|2aDUR|38aVULN|4MBVNT|5FEWX|6MLV|7RCR|9aLIT|aBPWR
