0	Index      	 *	Score 	Summary	Detail	
1	64612 21221	 * 	303.28	DCR|2LIT|2MLV|3VULN|1ASPD|1SELL	1SELL|2AART|34aVULN|5aLIT|6RCR|7ASPD|8DUR|9aMLV|aBPWR
2	23216 31358	 * 	285.47	DCR|2LIT|3VULN|1MLV|1DMG	1TLV|2MBVNT|36aVULN|4DMG|58LIT|7RCR|9MLV
3	23227 41428	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	1TLV|2MBVNT|39aVULN|45LIT|6MLV|7RCR|8DMG
4	53227 41428	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	1CGEN|2MBVNT|39aVULN|45LIT|6MLV|7RCR|8DMG
5	53216 34124	 * 	283.98	DCR|2LIT|2MLV|2VULN|1DMG	1CGEN|2MBVNT|39VULN|4DMG|5aLIT|68MLV|7RCR
6	23182 64128	 * 	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1TLV|2MBVNT|3DMG|48MLV|59aVULN|6LIT|7RCR
7	53216 34128	   	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1CGEN|2MBVNT|39aVULN|4DMG|5LIT|68MLV|7RCR
8	23527 34132	 * 	281.12	DCR|2LIT|2VULN|2DMG|1MLV	1aTLV|2MBVNT|3FEWX|4aLIT|5MLV|69VULN|7RCR|8aDMG|aBPWR
9	53524 84132	   	281.12	DCR|2LIT|2VULN|2DMG|1MLV	1aCGEN|2MBVNT|3FEWX|4aLIT|59VULN|6MLV|7RCR|8aDMG|aBPWR
10	23225 84132	   	281.12	DCR|2LIT|2VULN|2DMG|1MLV	1aTLV|2MBVNT|39VULN|4aLIT|5FEWX|6MLV|7RCR|8aDMG|aBPWR
11	53224 84132	   	281.12	DCR|2LIT|2VULN|2DMG|1MLV	1aCGEN|2MBVNT|39VULN|4aLIT|5FEWX|6MLV|7RCR|8aDMG|aBPWR
12	23216 31355	   	280.92	DCR|2LIT|2VULN|2DMG|1MLV	1TLV|2MBVNT|36VULN|4aDMG|58LIT|7RCR|9MLV
13	23227 41425	   	280.92	DCR|2LIT|2VULN|2DMG|1MLV	1TLV|2MBVNT|39VULN|45LIT|6MLV|7RCR|8aDMG
14	53227 41425	   	280.92	DCR|2LIT|2VULN|2DMG|1MLV	1CGEN|2MBVNT|39VULN|45LIT|6MLV|7RCR|8aDMG
15	53216 34424	   	280.92	DCR|2LIT|2VULN|2DMG|1MLV	1CGEN|2MBVNT|39VULN|48DMG|5aLIT|6MLV|7RCR
16	23527 61422	 * 	280.82	DCR|3LIT|2VULN|1MLV|1DMG	1aTLV|2MBVNT|3FEWX|46aLIT|5MLV|7RCR|8DMG|9aVULN|aBPWR
17	53523 61422	   	280.82	DCR|3LIT|2VULN|1MLV|1DMG	1aCGEN|2MBVNT|3FEWX|46aLIT|5MLV|7RCR|8DMG|9aVULN|aBPWR
18	53227 41424	   	280.62	DCR|3LIT|2VULN|1MLV|1DMG	1CGEN|2MBVNT|39VULN|45aLIT|6MLV|7RCR|8DMG
19	23227 31337	 * 	280.31	DCR|3LIT|2FLTARM|1VULN|2ZMB	1aTLV|2MBVNT|3VULN|458LIT|6aZMB|7RCR|9aFLTARM|aBPWR
20	23216 31458	 * 	280.18	DCR|3VULN|1LIT|2DMG|1MLV	1TLV|2MBVNT|36aVULN|48DMG|5LIT|7RCR|9MLV
21	53216 34428	   	280.18	DCR|3VULN|1LIT|2DMG|1MLV	1CGEN|2MBVNT|39aVULN|48DMG|5LIT|6MLV|7RCR
22	53216 35334	   	278.58	DCR|2LIT|2MLV|2VULN|1DMG	1CGEN|2MBVNT|38VULN|4DMG|5aLIT|67MLV|9RCR
23	23216 32338	 * 	278.16	DCR|4VULN|1LIT|1MLV|1DMG	1TLV|2MBVNT|368aVULN|4DMG|5LIT|7MLV|9RCR
24	53181 83334	   	277.32	DCR|2LIT|2VULN|2DMG|1MLV	1CGEN|2MBVNT|35DMG|4MLV|6aLIT|78VULN|9RCR
25	23216 31387	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2MBVNT|36VULN|4DMG|58LIT|7RCR|9CDMG|aMLV
26	23328 54173	   	276.68	DCR|2LIT|2DMG|1VULN|1MLV|2CDMG	1TLV|2MBVNT|3aCDMG|4CGEN|5MLV|6RCR|7aLIT|8VULN|9aDMG|aBPWR
27	23216 32335	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	1TLV|2MBVNT|368VULN|4aDMG|5LIT|7MLV|9RCR
28	23216 32638	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	1TLV|2MBVNT|36aVULN|48DMG|5LIT|7MLV|9RCR
29	23182 64125	 * 	276.06	DCR|2MLV|1LIT|2VULN|2DMG	1TLV|2MBVNT|3aDMG|48MLV|59VULN|6LIT|7RCR
30	53216 34125	   	276.06	DCR|2MLV|1LIT|2VULN|2DMG	1CGEN|2MBVNT|39VULN|4aDMG|5LIT|68MLV|7RCR
31	25113 13253	   	273.81	DCR|2MLV|1LIT|2VULN|2DMG	1aTLV|27VULN|3aDMG|4CGEN|5LIT|6RPLT|8RCR|9aMLV|aBPWR
32	23216 31455	 * 	273.70	DCR|1LIT|2VULN|3DMG|1MLV	1TLV|2MBVNT|36VULN|48aDMG|5LIT|7RCR|9MLV
33	53216 34425	   	273.70	DCR|1LIT|2VULN|3DMG|1MLV	1CGEN|2MBVNT|39VULN|48aDMG|5LIT|6MLV|7RCR
34	23216 31385	   	273.54	DCR|2LIT|3VULN|2CDMG|1DMG	1aTLV|2MBVNT|36aVULN|4DMG|58LIT|7RCR|9aCDMG|aBPWR
