0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23225 34281	1	 * 	303.76	橙5易伤3时间1等级1伤害	13457易伤247时间47序列升级6加一8等级9伤害a核
2	23225 34241	1	   	292.00	橙5易伤3时间1等级	13457易伤247时间47序列升级6加一8等级9攻速a核
3	23225 34741	1	   	285.86	橙5易伤3时间1伤害	13457易伤247时间47序列升级6加一8攻速9伤害a核
4	23642 32134	1	 * 	283.90	橙3易伤2等级2时间1伤害1暴击	179易伤28时间37低血量敌人4暴击5伤害67等级7序列升级a核
5	23225 34681	1	   	277.45	橙5易伤3时间1伤害	13457易伤247时间47序列升级6加一8掉矿9伤害a核
6	23521 61623	1	 * 	277.10	橙4易伤3时间2伤害	147a易伤234时间47a序列升级57基地爆炸6核8a伤害9a策反
7	23252 11551	1	   	276.90	橙4易伤3时间2伤害	139a易伤269时间48平台59伤害7核9序列升级
8	23252 11643	1	   	275.81	橙3易伤3时间2伤害2暴击	13a易伤268时间4平台5a伤害7核9a暴击a序列升级
9	22224 12561	1	 * 	274.72	橙4易伤2等级1时间	134a易伤24a基地爆炸4a序列升级5时间6雷电7全技能8核9a等级
10	23224 12561	2	   	274.72	橙4易伤2等级1时间	134a易伤24a敌人爆炸4a序列升级5时间6雷电7全技能8核9a等级
11	22243 12561	1	   	274.62	橙4易伤2等级1时间	137a易伤2a基地爆炸4时间5全技能6雷电8核9a等级a序列升级
12	23243 12561	2	   	274.62	橙4易伤2等级1时间	137a易伤2a敌人爆炸4时间5全技能6雷电8核9a等级a序列升级
13	21243 12561	2	   	274.42	橙4易伤2等级1时间	137a易伤2a挖尘4时间5全技能6雷电8核9a等级a序列升级
14	21243 12561	1	   	274.42	橙4易伤2等级1时间	137a易伤2a挖尘4时间5全技能6雷电8核9a等级a序列升级
15	21224 12561	2	   	274.42	橙4易伤2等级1时间	134a易伤24a挖尘4a序列升级5时间6雷电7全技能8核9a等级
16	21224 12561	1	   	274.42	橙4易伤2等级1时间	134a易伤24a挖尘4a序列升级5时间6雷电7全技能8核9a等级
17	23226 33264	1	   	274.08	橙4易伤2时间1等级1暴击	1346易伤24时间4序列升级5攻速7暴击8基地爆炸9等级a核
18	23226 31364	1	   	273.98	橙4易伤2时间1等级1暴击	1346易伤24时间4序列升级5攻速7挖尘8暴击9等级a核
