0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12452 32352	3	 * 	310.99	橙5易伤3伤害3时间	1678a易伤2敌人爆炸347伤害567时间67序列升级9核
2	11443 13341	9	 * 	310.06	橙4易伤3伤害2等级1时间	145a易伤25a伤害3随机矿5a序列升级6核7金币生成8时间9a等级
3	11443 11135	6	 * 	307.99	橙5易伤3伤害1等级2雷电	1458a易伤258伤害3随机矿58序列升级6核78雷电9等级
4	13141 11144	6	 * 	305.49	橙5易伤2时间1等级1伤害2雷电	12458易伤38时间6核78雷电8序列升级9伤害a等级
5	13143 11622	6	   	303.65	橙5易伤3时间2伤害	1245a易伤35a时间5a序列升级6核7雷电8基地爆炸9a伤害
6	16143 11622	6	   	303.65	橙5易伤3时间2伤害	1245a易伤25a序列升级35a时间6核7雷电8基地爆炸9a伤害
7	13143 13121	9	 * 	302.91	橙5易伤2等级3时间	1245a易伤35a时间5a序列升级6核7金币生成8基地爆炸9a等级
8	13143 13221	9	   	302.91	橙5易伤2等级3时间	1245a易伤35a时间5a序列升级6核7金币生成8敌人爆炸9a等级
9	16143 13121	9	   	302.91	橙5易伤2等级3时间	1245a易伤25a序列升级35a时间6核7金币生成8基地爆炸9a等级
10	16143 13221	9	   	302.91	橙5易伤2等级3时间	1245a易伤25a序列升级35a时间6核7金币生成8敌人爆炸9a等级
11	13143 12221	9	   	302.81	橙5易伤2等级3时间	1245a易伤35a时间5a序列升级6核7挖尘8金币生成9a等级
12	13143 12346	6	   	302.81	橙5易伤2等级3时间	1245a易伤35a时间5a序列升级6核7a等级8双倍矿9赏金塔
13	16143 12221	9	   	302.81	橙5易伤2等级3时间	1245a易伤25a序列升级35a时间6核7挖尘8金币生成9a等级
14	13143 12621	9	   	302.71	橙5易伤2等级3时间	1245a易伤35a时间5a序列升级6核7挖尘8掉矿9a等级
15	16143 12621	9	   	302.71	橙5易伤2等级3时间	1245a易伤25a序列升级35a时间6核7挖尘8掉矿9a等级
16	13143 11142	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9基地爆炸a等级
17	13143 11152	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9最后敌人a等级
18	16143 11113	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a策反
19	16143 11114	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a金币生成
20	16143 11115	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a基地爆炸
21	16143 11116	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a低血量敌人
22	16143 11122	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9双倍矿a等级
23	13143 11162	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9挖尘a等级
24	16143 11111	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a掉矿
25	16143 11112	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a赏金塔
26	11151 12161	6	 * 	296.40	橙5易伤2等级2伤害	1359a易伤2a伤害4金币生成6核7矿等8a等级a序列升级
27	13443 12122	6	   	296.40	橙5易伤2等级2伤害	1245a易伤35低血量敌人5a序列升级6核7a等级8赏金塔9a伤害
28	16443 12122	6	   	296.40	橙5易伤2等级2伤害	1245a易伤25a序列升级35低血量敌人6核7a等级8赏金塔9a伤害
29	11151 16161	7	   	296.30	橙5易伤2等级2伤害	1359a易伤2a伤害4金币生成6核7掉矿8a等级a序列升级
30	13441 12122	6	   	296.30	橙5易伤2等级2伤害	1245a易伤3低血量敌人6核7a等级8赏金塔9a伤害a序列升级
31	16441 12122	6	   	296.30	橙5易伤2等级2伤害	1245a易伤2a序列升级3低血量敌人6核7a等级8赏金塔9a伤害
32	11443 11133	6	   	294.66	橙4易伤3伤害1等级3雷电	1458易伤258伤害3随机矿58序列升级6核78a雷电9等级
33	11441 13341	9	   	294.30	橙4易伤2等级2伤害1时间	145a易伤2a伤害3随机矿6核7金币生成8时间9a等级a序列升级
34	11153 12161	6	   	293.81	橙4易伤3伤害2等级	139a易伤25a伤害45金币生成5a序列升级6核7矿等8a等级
35	11443 13141	9	   	293.81	橙4易伤3伤害2等级	145a易伤25a伤害3随机矿5a序列升级6核7金币生成8基地爆炸9a等级
36	11443 13241	9	   	293.81	橙4易伤3伤害2等级	145a易伤25a伤害3随机矿5a序列升级6核7金币生成8敌人爆炸9a等级
37	11153 16161	7	   	293.71	橙4易伤3伤害2等级	139a易伤25a伤害45金币生成5a序列升级6核7掉矿8a等级
38	11151 15351	8	   	293.61	橙4易伤3伤害2等级	135a易伤27a伤害4金币生成6核8掉矿9a等级a序列升级
39	11443 12341	9	   	293.61	橙4易伤3伤害2等级	145a易伤25a伤害3随机矿5a序列升级6核7挖尘8掉矿9a等级
40	13341 15341	9	   	292.77	橙4易伤2等级1伤害2攻速1时间	125a易伤3掉矿4a攻速6核7伤害8时间9a等级a序列升级
41	12452 32252	3	   	292.65	橙4易伤3伤害3时间	167a易伤28敌人爆炸347伤害567时间67序列升级9核
42	12452 32351	3	   	292.65	橙4易伤3伤害3时间	1678易伤2敌人爆炸347伤害567时间67序列升级9核a策反
43	12452 32353	3	   	292.65	橙4易伤3伤害3时间	1678易伤2敌人爆炸347伤害567时间67序列升级9核a额外掉落
44	13143 11136	6	   	292.61	橙5易伤3时间1伤害2雷电	12458易伤358时间58序列升级6核78雷电9随机矿a伤害
45	13143 11126	6	   	292.51	橙5易伤3时间1伤害2雷电	12458易伤358时间58序列升级6核78雷电9掉矿a伤害
46	13143 11515	8	   	292.00	橙5易伤3时间1等级	1245a易伤358时间5序列升级6核7攻速9等级
47	11163 41111	1	 * 	291.99	橙5易伤3等级3攻速	1589a易伤2掉矿389攻速4全技能689等级7核89序列升级
48	13342 41111	5	   	291.99	橙5易伤3等级3攻速	1289a易伤3掉矿489攻速589等级6全技能7核89序列升级
49	13143 15363	9	   	291.57	橙5易伤2伤害2时间	12459易伤35时间5序列升级6核7a伤害8全技能
50	13141 11622	6	   	290.32	橙5易伤2伤害2时间	1245a易伤3a时间6核7雷电8基地爆炸9a伤害a序列升级
51	16141 11622	6	   	290.32	橙5易伤2伤害2时间	1245a易伤2a序列升级3a时间6核7雷电8基地爆炸9a伤害
52	11443 11125	6	   	290.10	橙5易伤3伤害2雷电	1458a易伤258伤害3随机矿58序列升级6核78雷电9攻速
53	16342 41111	5	   	289.89	橙4易伤3等级3攻速1时间	1289易伤289序列升级3掉矿489攻速589等级6全技能7核a时间
54	13143 13144	6	 * 	289.77	橙4易伤2伤害2时间1等级	1245易伤35时间5序列升级6核7敌人爆炸89伤害a等级
55	13143 12144	7	   	289.67	橙4易伤2伤害2时间1等级	1245易伤35时间5序列升级6核7挖尘89伤害a等级
56	11443 11131	6	   	289.65	橙4易伤3伤害1等级2雷电	1458易伤258伤害3随机矿58序列升级6核78雷电9等级a敌人爆炸
57	11443 11132	6	   	289.65	橙4易伤3伤害1等级2雷电	1458易伤258伤害3随机矿58序列升级6核78雷电9等级a最后敌人
58	11443 11134	6	   	289.65	橙4易伤3伤害1等级2雷电	1458易伤258伤害3随机矿58序列升级6核78雷电9等级a金币生成
59	11443 11136	6	   	289.65	橙4易伤3伤害1等级2雷电	1458易伤258伤害3a随机矿58序列升级6核78雷电9等级
60	13141 13121	9	   	289.58	橙5易伤2等级2时间	1245a易伤3a时间6核7金币生成8基地爆炸9a等级a序列升级
61	13141 13221	9	   	289.58	橙5易伤2等级2时间	1245a易伤3a时间6核7金币生成8敌人爆炸9a等级a序列升级
62	13143 13131	7	   	289.58	橙5易伤2等级2时间	1245a易伤35时间5a序列升级6核7a金币生成8a等级9加一
63	16141 13121	9	   	289.58	橙5易伤2等级2时间	1245a易伤2a序列升级3a时间6核7金币生成8基地爆炸9a等级
64	16141 13221	9	   	289.58	橙5易伤2等级2时间	1245a易伤2a序列升级3a时间6核7金币生成8敌人爆炸9a等级
65	16143 13131	7	   	289.58	橙5易伤2等级2时间	1245a易伤25a序列升级35时间6核7a金币生成8a等级9加一
66	13141 12221	9	   	289.48	橙5易伤2等级2时间	1245a易伤3a时间6核7挖尘8金币生成9a等级a序列升级
67	13141 12346	6	   	289.48	橙5易伤2等级2时间	1245a易伤3a时间6核7a等级8双倍矿9赏金塔a序列升级
68	16141 12221	9	   	289.48	橙5易伤2等级2时间	1245a易伤2a序列升级3a时间6核7挖尘8金币生成9a等级
