0	Index      	 *	Score 	Summary	Detail	Bounty	
1	11114 11513	 * 	283.38	橙3易伤3等级3时间1伤害	129时间29序列升级349等级589易伤6核7双倍矿a伤害	5
2	11114 11513	   	283.38	橙3易伤3等级3时间1伤害	129时间29序列升级349等级589易伤6核7双倍矿a伤害	4
3	61221 22366	 * 	278.80	橙4易伤2伤害1等级3雷电	14a雷电236a易伤5等级7挖尘8核9a伤害a序列升级	10
4	22141 64613	 * 	277.95	橙4易伤2等级2伤害	19策反23等级4加一5789易伤69伤害9序列升级a核	5
5	11122 48224	 * 	276.17	橙2易伤2等级3时间2伤害	129时间2a序列升级3a等级4挖尘5加一6a伤害7核8a易伤	6
6	61221 23363	 * 	273.82	橙4易伤2等级3雷电1暴击	147雷电2367易伤57等级7序列升级8赏金塔9核a暴击	7
7	43343 33161	   	273.25	橙3易伤2等级2伤害1时间	19等级2平台359易伤4最后敌人6矿等7核89伤害9序列升级a时间	1
8	41223 12225	   	273.15	橙3易伤2等级2伤害1时间	19等级2挖尘3平台49a易伤5时间6基地爆炸79伤害8核9序列升级	7
9	43321 33164	 * 	272.86	橙3易伤3伤害3等级	19a等级2平台36a易伤469基地爆炸5随机矿69a序列升级7核89a伤害	1
10	32114 42151	 * 	271.24	橙4易伤2等级2时间	19矿等23等级4平台569a易伤7核89时间9序列升级	10
11	43336 53332	   	271.15	橙4易伤1等级1伤害1时间1暴击	1等级2平台3589易伤4暴击6伤害7核a时间	1
12	61221 23361	   	269.83	橙4易伤2等级3雷电1全技能	147雷电2367易伤57等级7序列升级8赏金塔9核a全技能	7
13	43336 53232	   	267.69	橙3易伤2伤害1等级1时间1暴击	1等级2平台359易伤4暴击68伤害7核a时间	1
14	43151 33161	   	266.77	橙3易伤2等级2伤害1全技能	19等级26基地爆炸3平台469易伤5随机矿69序列升级7核89伤害a全技能	2
15	43151 33161	   	266.77	橙3易伤2等级2伤害1全技能	19等级2平台36基地爆炸469易伤5随机矿69序列升级7核89伤害a全技能	1
16	43221 33161	   	266.77	橙3易伤2等级2伤害1全技能	19等级26基地爆炸3平台469易伤5随机矿69序列升级7核89伤害a全技能	4
17	43226 33161	   	266.77	橙3易伤2等级2伤害1全技能	19等级26基地爆炸3平台469易伤5随机矿69序列升级7核89伤害a全技能	5
18	43251 33161	   	266.77	橙3易伤2等级2伤害1全技能	19等级26基地爆炸3平台469易伤5随机矿69序列升级7核89伤害a全技能	3
