0	Index      	 *	Score 	Summary	Detail	
1	31361 45221	 * 	397.30	DCR|2VULN|1MDPS|2CDMG|1TLV|1DUR	1DUR|2LIT|36CDMG|4BELT|58VULN|7TLV|9RCR|aMDPS
2	31362 15221	   	397.30	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	15DUR|2LIT|3CDMG|4BELT|68VULN|7TLV|9RCR|aMDPS
3	35361 61221	 * 	394.85	DCR|3VULN|1MDPS|1DMG|1DUR|1SELL	1DUR|2BOSS|3SELL|4BELT|568VULN|7DMG|9RCR|aMDPS
4	31361 41221	   	391.16	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1DUR|2LIT|36CDMG|4BELT|58VULN|7DMG|9RCR|aMDPS
5	31362 11221	   	391.16	DCR|2VULN|1MDPS|1CDMG|2DUR|1DMG	15DUR|2LIT|3CDMG|4BELT|68VULN|7DMG|9RCR|aMDPS
6	31361 15221	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|26LIT|3CDMG|4BELT|58VULN|7TLV|9RCR|aMDPS
7	31361 35221	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2LIT|3CDMG|4BELT|58VULN|6RCVC|7TLV|9RCR|aMDPS
8	31361 65221	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2LIT|3CDMG|4BELT|58VULN|6AEFBLL|7TLV|9RCR|aMDPS
9	31361 11221	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|26LIT|3CDMG|4BELT|58VULN|7DMG|9RCR|aMDPS
10	31361 31221	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LIT|3CDMG|4BELT|58VULN|6RCVC|7DMG|9RCR|aMDPS
11	31361 61221	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LIT|3CDMG|4BELT|58VULN|6AEFBLL|7DMG|9RCR|aMDPS
12	13116 12534	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MLV|2CDMG|3AME|45VULN|6DUR|7RCR|8DMG|9ERES|aMDPS
13	35361 63221	 * 	374.79	DCR|3VULN|1MDPS|1DUR|1SELL	1DUR|2BOSS|3SELL|4BELT|568VULN|7CGEN|9RCR|aMDPS
14	13111 42325	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1MLV|2CDMG|3AME|47VULN|5AART|6RCR|8LHND|9DUR|aMDPS
15	13111 42625	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1MLV|2CDMG|3AME|47VULN|5AART|6RCR|8DUST|9DUR|aMDPS
16	16121 22526	 * 	371.78	ACR|2MDPS|2VULN|1DUR	1MLV|2RCR|3DUR|4AAC|57VULN|6LIT|8aMDPS|9AEFBLL
17	34326 12126	   	371.68	ACR|2MDPS|2VULN|1DUR	1DUR|2DMSP|3BOSS|4RCR|56VULN|7aMDPS|8AIRHEA|9FEWX
18	32326 12126	   	371.58	ACR|2MDPS|2VULN|1DUR	1DUR|2AEFBLL|3BOSS|4RCR|56VULN|7aMDPS|8AIRHEA|9FEWX
19	32326 12145	   	371.58	ACR|2MDPS|2VULN|1DUR	1DUR|2AEFBLL|3BOSS|4RCR|56VULN|7aMDPS|8AIRHEA|9SPLJET
20	32326 12635	   	371.58	ACR|2MDPS|2VULN|1DUR	1DUR|2AEFBLL|3BOSS|4RCR|56VULN|7aMDPS|8LHND|9LWND
21	31361 43221	   	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2LIT|36CDMG|4BELT|58VULN|7CGEN|9RCR|aMDPS
22	31362 13221	   	371.10	DCR|2VULN|1MDPS|1CDMG|2DUR	15DUR|2LIT|3CDMG|4BELT|68VULN|7CGEN|9RCR|aMDPS
23	31361 44221	   	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2LIT|36CDMG|4BELT|58VULN|7ASPD|9RCR|aMDPS
24	31362 14221	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	15DUR|2LIT|3CDMG|4BELT|68VULN|7ASPD|9RCR|aMDPS
25	35362 15221	   	369.66	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	15DUR|2BOSS|3SELL|4BELT|68VULN|7TLV|9RCR|aMDPS
