0	Index      	 *	Score 	Summary	Detail	
1	32326 12345	 * 	361.59	3MDPS|2VULN|1DUR	1FLTARM|25VULN|34DUST|6DUR|79aMDPS|8MULHEA
2	33333 53241	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aRMIN
3	33333 53242	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aCGEN
4	33333 53243	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aAAC
5	33333 53244	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aAART
6	33333 53245	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aLWND
7	33333 53246	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MSLFST|6RCR|8DUR|9MDPS|aBBNT
8	33335 53241	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MULHEA|6RCR|8DUR|9MDPS|aRMIN
9	33335 53242	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MULHEA|6RCR|8DUR|9MDPS|aCGEN
10	33335 53243	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1FLTARM|2SELL|3TLV|47VULN|5MULHEA|6RCR|8DUR|9MDPS|aAAC
11	15524 32213	 * 	354.89	ACR|3VULN|1MDPS|1DMG|1DUR	1FEWX|2RCR|358VULN|4ERES|6AEBURN|7DMG|9DUR|aMDPS
