0	Index      	 *	Score 	Summary	Detail	
1	36123 51153	 * 	368.82	2MDPS|2VULN|2TLV|1DUR|1AART	15RAT|27VULN|3DUR|45TLV|5BPWR|6AART|8AAC|9aMDPS
2	51613 33142	 * 	368.65	DCR|2VULN|1MDPS|2DMG|1DUR|1SELL	13DMG|23VULN|3BPWR|4SELL|5ERES|6DUR|7LWND|8RCR|9BOSS|aMDPS
3	36312 61623	 * 	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1RAT|289VULN|3ERES|4LWND|5RCR|6CDMG|7DUR|aMDPS
4	51222 31153	 * 	359.34	DCR|DCR|2VULN|1CDMG|1DMG|1DUR	1DMG|27VULN|3CDMG|4LWND|5LHND|6DUR|8BLASTR|9aRCR
5	51263 25323	   	359.34	DCR|DCR|2VULN|1CDMG|1DMG|1DUR	1DMG|25VULN|3CDMG|4BEXP|6VENTOX|7aRCR|8DUST|9DUR
6	51231 31153	   	359.24	DCR|DCR|2VULN|1CDMG|1DMG|1DUR	1DMG|27VULN|3CDMG|4AETHUN|5LWND|6DUR|8AIRARM|9aRCR
7	11531 14142	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|24VULN|3ERES|5DUR|6LHND|7CDMG|8RCR|9BOSS|aMDPS
8	61222 31156	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|27VULN|3CDMG|4LWND|5LHND|6DUR|8BLASTR|9RCR|aMDPS
9	61231 31156	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|27VULN|3CDMG|4AETHUN|5LWND|6DUR|8AIRARM|9RCR|aMDPS
10	53622 35113	 * 	355.98	DCR|3VULN|1MDPS|2TLV|2DMG|1DUR	19DMG|29TLV|3MDPS|4DUR|5CGEN|6RPLT|7RCR|89aVULN|9BPWR
11	36122 62121	 * 	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1RAT|29VULN|3DUR|4TLV|5RCR|6CDMG|7CGEN|8BBNT|aMDPS
12	51615 32121	 * 	340.75	3VULN|1MDPS|3DMG|2DUR|1SELL	138DMG|236VULN|36BPWR|4SELL|56DUR|7ZMB|9MDPS|aLWND
13	51615 32122	 * 	340.75	3VULN|1MDPS|3DMG|2DUR|1SELL	138DMG|236VULN|36BPWR|4SELL|56DUR|7ZMB|9MDPS|aAAC
14	51615 32123	 * 	340.75	3VULN|1MDPS|3DMG|2DUR|1SELL|1MSE	138DMG|236VULN|36BPWR|4SELL|56DUR|7ZMB|9MDPS|aMSE
15	53311 23323	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	1DMG|25TLV|3FRZFST|4RPLT|6VULN|7RCR|8CGEN|9DUR|aMDPS
16	53311 23623	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	1DMG|25TLV|3FRZFST|4RPLT|6VULN|7RCR|8ZMB|9DUR|aMDPS
17	53316 23323	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	1DMG|25TLV|35FRZFST|4RPLT|5BPWR|6VULN|7RCR|8CGEN|9DUR|aMDPS
18	53316 23623	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	1DMG|25TLV|35FRZFST|4RPLT|5BPWR|6VULN|7RCR|8ZMB|9DUR|aMDPS
19	51232 26226	 * 	340.04	3VULN|1MDPS|2DMG|1CDMG|1DUR|1SELL	19DMG|289VULN|3CDMG|4AETHUN|5DUR|6SELL|79LIT|9BPWR|aMDPS
20	51621 34212	   	339.19	3VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|235VULN|35BPWR|45BEXP|6FEWX|7LHND|8DUR|9TLV|aMDPS
21	51621 43322	   	339.19	3VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|235VULN|35BPWR|45BEXP|6AAC|7DUR|8CGEN|9TLV|aMDPS
22	61222 31153	   	339.18	DCR|DCR|2VULN|1CDMG|1DUR	1ASPD|27VULN|3CDMG|4LWND|5LHND|6DUR|8BLASTR|9aRCR
23	61263 25323	   	339.18	DCR|DCR|2VULN|1CDMG|1DUR	1ASPD|25VULN|3CDMG|4BEXP|6VENTOX|7aRCR|8DUST|9DUR
24	51621 32622	   	339.09	3VULN|1MDPS|2DMG|1TLV|1DUR	13DMG|235VULN|35BPWR|45BEXP|6FEWX|7TLV|8TBNT|9DUR|aMDPS
25	61231 31153	   	339.08	DCR|DCR|2VULN|1CDMG|1DUR	1ASPD|27VULN|3CDMG|4AETHUN|5LWND|6DUR|8AIRARM|9aRCR
