0	Index      	 *	Score 	Summary	Detail	
1	32611 25362	 * 	379.87	DCR|DCR|3VULN|3DUR	1aFEWX|28aVULN|36aDUR|4BOSS|5RPLT|79RCR|aBPWR
2	31211 25361	 * 	370.67	DCR|DCR|1MDPS|1VULN|2DUR	1FEWX|2LHND|36DUR|4BOSS|5RPLT|79RCR|8VULN|aMDPS
3	61211 25361	   	370.67	DCR|DCR|1MDPS|1VULN|2DUR	1BEXP|2LHND|36DUR|4BOSS|5RPLT|79RCR|8VULN|aMDPS
4	43613 26342	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ZMB|27VULN|3DUR|4FEWX|5AEPOI|6RCR|8MBVNT|9CDMG|aMDPS
5	43633 43222	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ZMB|26VULN|3DUR|4CDMG|5BBNT|7RCR|8LHND|9ERES|aMDPS
6	31214 16215	 * 	358.21	DCR|2MDPS|1VULN|1DUR	1FEWX|2LHND|3DUR|4BOSS|5VULN|6BEXP|7RCR|8AAC|9aMDPS
7	32111 25161	   	358.21	DCR|DCR|1MDPS|1VULN|1DUR	18FEWX|2VULN|3LHND|4BOSS|5RPLT|6DUR|79RCR|aMDPS
8	32111 25661	   	358.21	DCR|DCR|1MDPS|1VULN|1DUR	1FEWX|2VULN|3LHND|4BOSS|58RPLT|6DUR|79RCR|aMDPS
9	32112 16215	   	358.21	DCR|2MDPS|1VULN|1DUR	1FEWX|2VULN|3LHND|4BOSS|5DUR|6BEXP|7RCR|8AAC|9aMDPS
10	32623 25161	   	358.21	DCR|DCR|1MDPS|1VULN|1DUR	18FEWX|2VULN|3DUR|4LWND|5LIT|6RPLT|79RCR|aMDPS
11	32623 25361	   	358.21	DCR|DCR|1MDPS|1VULN|1DUR	1FEWX|2VULN|3DUR|4LWND|58LIT|6RPLT|79RCR|aMDPS
12	62111 25261	   	358.21	DCR|DCR|1MDPS|1VULN|1DUR	1BEXP|2VULN|3LHND|4BOSS|5RPLT|6DUR|79RCR|8RCVC|aMDPS
13	62112 16215	   	358.21	DCR|2MDPS|1VULN|1DUR	1BEXP|2VULN|3LHND|4BOSS|5DUR|6FEWX|7RCR|8AAC|9aMDPS
14	43643 23231	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	1ZMB|2VULN|3DUR|4AAC|5RMIN|6RCR|79MDPS|8LIT|aMSE
15	43643 23232	   	358.01	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4AAC|5RMIN|6RCR|79MDPS|8LIT|aDUST
16	43643 23233	   	358.01	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4AAC|5RMIN|6RCR|79MDPS|8LIT|aAME
17	43643 23321	   	358.01	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4AAC|5RMIN|6RCR|79MDPS|8CGEN|aFEWX
18	43643 23322	   	358.01	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4AAC|5RMIN|6RCR|79MDPS|8CGEN|aRAT
19	43643 23323	 * 	358.01	DCR|2MDPS|1VULN|2DUR	1ZMB|2VULN|3aDUR|4AAC|5RMIN|6RCR|79MDPS|8CGEN
20	43613 23211	   	357.91	DCR|2MDPS|1VULN|1DUR|1MSE	1ZMB|2VULN|3DUR|4FEWX|5AEPOI|6RCR|79MDPS|8LIT|aMSE
21	43613 23212	   	357.91	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4FEWX|5AEPOI|6RCR|79MDPS|8LIT|aDUST
22	43613 23213	   	357.91	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4FEWX|5AEPOI|6RCR|79MDPS|8LIT|aAME
23	43613 23214	   	357.91	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4FEWX|5AEPOI|6RCR|79MDPS|8LIT|aTBNT
24	43613 23215	   	357.91	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4aFEWX|5AEPOI|6RCR|79MDPS|8LIT
25	43613 23216	   	357.91	DCR|2MDPS|1VULN|1DUR	1ZMB|2VULN|3DUR|4FEWX|5AEPOI|6RCR|79MDPS|8LIT|aLEGI
26	62631 36121	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|28VULN|3DUR|4FEWX|5TLV|6LIT|7RCR|9MDPS|aLHND
27	62631 36122	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|28VULN|3DUR|4FEWX|5TLV|6LIT|7RCR|9MDPS|aAEWIND
28	62631 36123	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|28VULN|3DUR|4FEWX|5TLV|6LIT|7RCR|9MDPS|aAETHUN
29	43631 51121	 * 	351.73	2MDPS|2VULN|1CDMG|2DUR	1ZMB|27VULN|36DUR|4CDMG|5FEWX|89MDPS|aDUST
30	43631 51122	   	351.73	2MDPS|2VULN|1CDMG|2DUR|1MSE	1ZMB|27VULN|36DUR|4CDMG|5FEWX|89MDPS|aMSE
31	43631 51123	   	351.73	2MDPS|2VULN|1CDMG|2DUR	1ZMB|27VULN|36DUR|4CDMG|5FEWX|89MDPS|aLIT
32	26442 24184	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1RAT|2NUKE|3MBVNT|4DMG|5SNITOX|6DUR|7RCR|89VULN|aMDPS
