0	Index      	 *	Score 	Summary	Detail	
1	11231 26635	 * 	351.83	2MDPS|2VULN|2CDMG|2DUR	1RCVC|27LHND|39DUR|47VULN|57CDMG|6AETHUN|7BPWR|8aMDPS
2	25421 11263	 * 	331.56	ACR|2MDPS|1VULN|1DUR|1AART	1AME|2RCR|3DUR|4BEXP|5AART|6ASPD|7ERES|8VULN|9aMDPS
3	25431 11263	   	331.56	ACR|2MDPS|1VULN|1DUR|1AART	1AME|2RCR|3DUR|4FEWX|5AART|6ASPD|7ERES|8VULN|9aMDPS
4	12632 16612	 * 	331.14	DCR|2VULN|1MDPS|1DUR	1RCVC|2RMIN|39ERES|49MLV|5DUST|6RCR|7DUR|89VULN|9BPWR|aMDPS
5	12632 16622	   	331.04	DCR|2VULN|1MDPS|1DUR	1RCVC|2RMIN|3ERES|4MLV|5DUST|6RCR|7DUR|89VULN|aMDPS
6	45216 23221	   	331.04	DCR|2VULN|1MDPS|1DUR	1LIT|2DUR|3RPLT|4RAT|57VULN|6RCR|8BBNT|9MDPS|aMLV
7	45216 23222	 * 	331.04	DCR|3VULN|1MDPS|1DUR	1LIT|2DUR|3RPLT|4RAT|57aVULN|6RCR|8BBNT|9MDPS
8	45216 23223	 * 	331.04	DCR|2VULN|1MDPS|1TLV|1DUR	1LIT|2DUR|3RPLT|4RAT|57VULN|6RCR|8BBNT|9MDPS|aTLV
9	23614 22612	   	330.94	DCR|2VULN|1MDPS|1DUR	19AME|2FEWX|39VULN|4DUR|5RMIN|6ERES|79AEBURN|8RCR|9BPWR|aMDPS
10	23614 22622	   	330.94	DCR|2VULN|1MDPS|1DUR	1AME|2FEWX|39VULN|4DUR|5RMIN|6ERES|7AEBURN|8RCR|aMDPS
11	33352 26114	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEWIND|2ASPD|37VULN|4TBNT|5DUR|6RAT|8RCVC|9RCR|aMDPS
12	21614 22612	   	330.84	DCR|2VULN|1MDPS|1DUR	19AME|2DUST|39VULN|4DUR|5RMIN|6ERES|79AEBURN|8RCR|9BPWR|aMDPS
13	21614 22622	   	330.84	DCR|2VULN|1MDPS|1DUR	1AME|2DUST|39VULN|4DUR|5RMIN|6ERES|7AEBURN|8RCR|aMDPS
14	25125 61312	 * 	330.27	ACR|2MDPS|1VULN|2DUR	1AME|2RCR|3BASICY|46DUR|5VULN|7aMDPS|8RPLT|9LHND
15	25125 61332	   	330.27	ACR|2MDPS|1VULN|2DUR	1AME|2RCR|3BASICY|46DUR|5VULN|7aMDPS|8RPLT|9DUST
16	45242 32213	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1LIT|2DUR|3RPLT|4BASICY|5ASPD|6DMG|7RCR|8VULN|9TLV|aMDPS
17	14532 12243	 * 	322.39	DCR|DCR|1MDPS|1CDMG|1DUR	1RCVC|29FEWX|3BOSS|4DUR|5AEPOI|6CDMG|78RCR|aMDPS
18	14532 12253	   	322.29	DCR|DCR|1MDPS|1CDMG|1DUR	1RCVC|2FEWX|3BOSS|4DUR|5AEPOI|6CDMG|78RCR|9AEBURN|aMDPS
19	25451 23211	 * 	322.04	ACR|2MDPS|1CDMG|1TLV|1DUR|1AART	1AME|2RCR|3DUR|4TLV|5DUST|6AART|7CDMG|8aMDPS|9LHND
20	25451 23231	   	322.04	ACR|2MDPS|1CDMG|1TLV|1DUR|1AART|1MSE	1AME|2RCR|3DUR|4TLV|5DUST|6AART|7CDMG|8aMDPS|9MSE
