0	Index      	 *	Score 	Summary	Detail	
1	33631 35623	 * 	275.77	橙橙2矿等1伤害1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9赏金塔a伤害
2	33353 23352	 * 	273.83	紫橙4易伤1矿等	1矿等2金币生成3568易伤4a核7立即金币9雷电
3	33353 24352	   	273.83	紫橙4易伤1矿等	1矿等27金币生成3568易伤4a核9雷电
4	23221 83216	 * 	270.79	橙橙2易伤1矿等1全技能	1导弹对黄2加一3立即金币4矿等59易伤6a核7激光对绿8全技能
5	63221 83216	   	270.79	橙橙2易伤1矿等1全技能	1多重对甲2加一3立即金币4矿等59易伤6a核7激光对绿8全技能
6	33353 23652	 * 	270.27	紫橙3易伤2矿等	18矿等2金币生成356易伤4a核7立即金币9雷电
7	33631 35631	   	264.01	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9喷火对甲a时间
8	33631 35621	 * 	262.02	橙橙2矿等2暴击1攻速1平台	14矿等2金币生成3a暴击5攻速68核7平台9赏金塔
9	13311 15562	   	261.23	橙橙2易伤1矿等	1激光减费2矿等3掉矿48立即金币59易伤6雷电7a核
10	51535 13222	 * 	260.97	橙橙1易伤1伤害1暴击1平台	1赏金邻近2赏金塔3低血量敌人4暴击5伤害6电塔对甲79核8平台a易伤
11	33631 33145	 * 	258.50	橙橙2矿等2攻速1暴击	14矿等2金币生成3暴击5a攻速69核7赏金塔8低血量敌人
12	33631 33245	   	258.50	橙橙2矿等2攻速1暴击	14矿等2金币生成3暴击5a攻速69核7赏金塔8最后敌人
13	33631 35611	   	255.70	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9双倍矿a赏金邻近
14	33631 35613	   	255.70	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9双倍矿a敌人爆炸
15	33631 35632	   	255.70	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9喷火对甲a技能
16	33631 35633	   	255.70	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9喷火对甲a立即金币
17	34241 22611	 * 	255.66	橙2易伤3矿等2伤害2时间	17a矿等247敌人爆炸3a易伤5等级67时间7a序列升级8a伤害9核
18	33631 35612	   	255.60	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9双倍矿a挖尘
19	33631 35622	   	255.60	橙橙2矿等1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9赏金塔a加农对甲
20	33354 23352	   	254.56	紫橙3易伤1矿等	1矿等2金币生成368易伤4a核5激光减费7立即金币9雷电
