0	Index      	 *	Score 	Summary	Detail	
1	23532 51612	 * 	301.90	橙橙4易伤	1赏金邻近259a易伤3随机矿4等级68核7平台
2	31115 22134	   	286.12	橙橙2易伤2暴击1矿等	1喷火对甲26暴击3赏金邻近47易伤5矿等8技能9a核
3	23241 41612	 * 	285.99	紫橙3易伤2矿等	1赏金邻近29a易伤38核47矿等5平台6等级
4	31113 42134	   	285.74	橙橙3易伤1暴击	1喷火对甲2暴击3赏金邻近457易伤6金币生成8技能9a核
5	36362 12134	   	285.74	橙橙3易伤1暴击	1喷火对甲237易伤4金币生成5暴击6赏金邻近8技能9a核
6	36362 32134	   	285.74	橙橙3易伤1暴击	1喷火对甲237易伤4金币生成5暴击6赏金塔8技能9a核
7	36342 12134	   	285.64	橙橙3易伤1暴击	1喷火对甲237易伤4技能点5暴击6赏金邻近8技能9a核
8	36342 32134	   	285.64	橙橙3易伤1暴击	1喷火对甲237易伤4技能点5暴击6赏金塔8技能9a核
9	23342 51611	   	281.75	橙橙3易伤	1赏金邻近259易伤3最后敌人4双倍矿68核7平台a等级
10	23342 51612	   	281.75	橙橙3易伤	1赏金邻近259易伤3最后敌人4双倍矿68核7平台a低血量敌人
11	23352 51611	   	281.75	橙橙3易伤	1赏金邻近259易伤34最后敌人68核7平台a等级
12	23352 51612	   	281.75	橙橙3易伤	1赏金邻近259易伤34最后敌人68核7平台a低血量敌人
13	23532 51611	   	281.75	橙橙3易伤	1赏金邻近259易伤3随机矿4a等级68核7平台
14	23532 51613	   	281.75	橙橙3易伤	1赏金邻近259易伤3随机矿4等级68核7平台a立即金币
15	23342 51613	   	281.65	橙橙3易伤	1赏金邻近259易伤3最后敌人4双倍矿68核7平台a加一
16	23352 51613	   	281.65	橙橙3易伤	1赏金邻近259易伤34最后敌人68核7平台a加一
17	23213 31611	 * 	281.30	紫橙4易伤	1赏金邻近2459易伤38核6时间7平台a等级
18	23213 31612	   	281.30	紫橙4易伤	1赏金邻近2459易伤38核6时间7平台a低血量敌人
19	23213 31616	   	281.30	紫橙4易伤	1赏金邻近2459易伤38核6时间7平台a技能
20	53213 31611	   	281.30	紫橙4易伤	1赏金塔2459易伤38核6时间7平台a等级
21	53213 31612	   	281.30	紫橙4易伤	1赏金塔2459易伤38核6时间7平台a低血量敌人
22	53213 31616	   	281.30	紫橙4易伤	1赏金塔2459易伤38核6时间7平台a技能
23	23213 31646	   	281.22	紫橙3易伤1伤害	1赏金邻近245易伤38核6时间7平台9随机矿a伤害
24	23213 31656	   	281.22	紫橙3易伤1伤害	1赏金邻近245易伤38核6时间7平台9赏金塔a伤害
25	23213 31613	   	281.20	紫橙4易伤	1赏金邻近2459易伤38核6时间7平台a加一
26	23213 31614	   	281.20	紫橙4易伤	1赏金邻近2459易伤38核6时间7平台a挖青
27	23213 31615	   	281.20	紫橙4易伤1卖塔	1赏金邻近2459易伤38核6时间7平台a卖塔
28	53213 31613	   	281.20	紫橙4易伤	1赏金塔2459易伤38核6时间7平台a加一
29	53213 31614	   	281.20	紫橙4易伤	1赏金塔2459易伤38核6时间7平台a挖青
30	53213 31615	   	281.20	紫橙4易伤1卖塔	1赏金塔2459易伤38核6时间7平台a卖塔
31	23213 31625	   	280.97	紫橙3易伤1伤害1卖塔	1赏金邻近245易伤38核6时间7平台9卖塔a伤害
32	53213 31625	   	280.97	紫橙3易伤1伤害1卖塔	1赏金塔245易伤38核6时间7平台9卖塔a伤害
33	13533 51613	   	280.14	橙橙2易伤1暴击	1挖尘2最后敌人3时间4低血量敌人59易伤68核7平台a暴击
34	31115 12134	   	279.81	橙橙2易伤1矿等1暴击	1喷火对甲2暴击3赏金邻近47易伤5矿等6立即金币8技能9a核
35	31115 52134	   	279.71	橙橙2易伤1矿等1暴击	1喷火对甲2暴击3赏金邻近47易伤5矿等6激光减费8技能9a核
36	23342 51632	   	278.25	橙橙2易伤1伤害	1赏金邻近25易伤3最后敌人4双倍矿68核7平台9挖尘a伤害
37	23352 51632	   	278.25	橙橙2易伤1伤害	1赏金邻近25易伤34最后敌人68核7平台9挖尘a伤害
38	23342 51622	   	278.11	橙橙2易伤1伤害1卖塔	1赏金邻近25易伤3最后敌人4双倍矿68核7平台9卖塔a伤害
39	23352 51622	   	278.11	橙橙2易伤1伤害1卖塔	1赏金邻近25易伤34最后敌人68核7平台9卖塔a伤害
40	23532 51622	   	278.11	橙橙2易伤1伤害1卖塔	1赏金邻近25易伤3随机矿4等级68核7平台9卖塔a伤害
41	23213 51611	   	273.00	紫橙4易伤	1赏金邻近2459易伤38核6敌人爆炸7平台a等级
42	23213 51612	   	273.00	紫橙4易伤	1赏金邻近2459易伤38核6敌人爆炸7平台a低血量敌人
43	23213 51616	   	273.00	紫橙4易伤	1赏金邻近2459易伤38核6敌人爆炸7平台a技能
44	53213 51611	   	273.00	紫橙4易伤	1赏金塔2459易伤38核6敌人爆炸7平台a等级
45	53213 51612	   	273.00	紫橙4易伤	1赏金塔2459易伤38核6敌人爆炸7平台a低血量敌人
46	23261 42612	   	273.00	紫橙4易伤	1赏金邻近279a易伤38核47技能点5平台67等级7序列升级
47	23213 51613	   	272.90	紫橙4易伤	1赏金邻近2459易伤38核6敌人爆炸7平台a加一
48	23213 51614	   	272.90	紫橙4易伤	1赏金邻近2459易伤38核6敌人爆炸7平台a挖青
49	23213 51615	   	272.90	紫橙4易伤1卖塔	1赏金邻近2459易伤38核6敌人爆炸7平台a卖塔
50	53213 51613	   	272.90	紫橙4易伤	1赏金塔2459易伤38核6敌人爆炸7平台a加一
51	23213 51622	   	272.67	紫橙3易伤1伤害1卖塔	1赏金邻近245易伤38核6敌人爆炸7平台9卖塔a伤害
52	53213 51622	   	272.67	紫橙3易伤1伤害1卖塔	1赏金塔245易伤38核6敌人爆炸7平台9卖塔a伤害
53	23342 53221	   	272.09	橙橙3易伤	1赏金邻近25a易伤39最后敌人4双倍矿68核7雷电
54	23342 53235	   	272.09	橙橙3易伤	1赏金邻近25a易伤3最后敌人4双倍矿68核7雷电9技能
55	23342 53261	   	272.09	橙橙3易伤	1赏金邻近25a易伤3最后敌人4双倍矿68核7雷电9立即金币
56	23352 53235	   	272.09	橙橙3易伤	1赏金邻近25a易伤34最后敌人68核7雷电9技能
57	23352 53261	   	272.09	橙橙3易伤	1赏金邻近25a易伤34最后敌人68核7雷电9立即金币
