0	Index      	 *	Score 	Summary	Detail	
1	24212 21624	 * 	277.03	橙橙2易伤2时间1暴击	1挖尘2雷电34易伤5a时间6暴击7基地爆炸89核
2	31623 11166	 * 	277.00	橙橙1易伤2矿等1暴击1全技能	1随机矿29矿等3基地爆炸4全技能5易伤6a核7技能8暴击
3	24212 21621	   	270.48	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a赏金塔
4	24212 21622	   	270.48	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a赏金邻近
5	24215 23621	   	270.48	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a赏金塔
6	24215 23622	   	270.48	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a赏金邻近
7	24212 21623	   	270.38	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a机枪对壮
8	24212 21625	   	270.38	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a技能点
9	24212 21626	   	270.38	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a导弹对毒
10	24215 23623	   	270.38	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a机枪对壮
11	24215 21621	   	262.18	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a赏金塔
12	24215 21622	   	262.18	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a赏金邻近
13	24215 21623	   	262.08	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a机枪对壮
14	31623 11146	   	261.39	橙橙1易伤1矿等1暴击1全技能	1随机矿2矿等39基地爆炸4全技能5易伤6a核7技能8暴击
15	46113 12161	 * 	258.38	橙橙1易伤1伤害1全技能	1基地爆炸2时间3伤害4金币生成5全技能6a核7电塔对甲8双倍秒伤9易伤
16	31332 25313	 * 	251.01	橙3易伤3矿等2暴击	1随机矿278矿等3掉矿468易伤58暴击8序列升级9最后敌人a核
17	31332 25333	   	251.01	橙3易伤3矿等2暴击	1随机矿278矿等3掉矿468易伤58暴击8序列升级9敌人爆炸a核
18	22113 12161	   	249.97	橙橙1易伤1伤害1全技能	1挖尘2基地爆炸3伤害4金币生成5全技能6a核7电塔对甲8双倍秒伤9易伤
19	22163 35333	 * 	249.35	紫橙2易伤1伤害1全技能	1挖尘27基地爆炸3伤害4赏金邻近59核6a易伤8全技能
20	24231 23624	   	248.96	橙橙1易伤2时间1暴击	1挖尘25雷电3易伤4最后敌人6暴击7a时间89核
