0	Index      	 *	Score 	Summary	Detail	
1	52333 12424	 * 	299.87	橙橙2易伤1伤害1矿等1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a矿等
2	52333 11462	   	295.99	橙橙2易伤1伤害1攻速1暴击	1伤害2a易伤3攻速4赏金邻近5技能69核7等级8暴击
3	51111 33263	   	295.89	橙橙2易伤1伤害1攻速1暴击	1伤害2雷电3暴击4基础对冰5攻速6低血量敌人78易伤9a核
4	51141 33263	   	295.89	橙橙2易伤1伤害1攻速1暴击	1伤害2雷电3暴击4攻速5加农对毒6低血量敌人78易伤9a核
5	52333 12423	   	290.65	橙橙2易伤1伤害1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a时间
6	13214 21414	   	289.56	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a时间
7	12232 55412	   	287.77	橙橙2易伤1矿等1暴击1策反	15易伤2时间3暴击4掉矿6策反7金币生成8a核9矿等
8	13312 63366	 * 	286.02	橙橙2易伤2暴击1矿等	15易伤27暴击38最后敌人4技能点6矿等9a核
9	13332 63366	   	286.02	橙橙2易伤2暴击1矿等	15易伤27暴击38最后敌人4掉矿6矿等9a核
10	52333 12324	 * 	284.25	橙橙1易伤2攻速1伤害1矿等	1伤害2易伤38攻速4赏金邻近5技能69核7赏金塔a矿等
11	52333 12421	   	282.34	橙橙2易伤1伤害1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a敌人爆炸
12	52333 12425	   	282.34	橙橙2易伤1伤害1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a等级
13	15211 14235	   	282.34	橙橙2易伤1伤害1攻速	13易伤2攻速4伤害5金币生成6额外掉落7敌人爆炸8a核9雷电
14	15211 16135	   	282.34	橙橙2易伤1伤害1攻速	13易伤2攻速4伤害5金币生成6额外掉落7雷电8a核9基地爆炸
15	52333 12422	   	282.24	橙橙2易伤1伤害1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a加一
16	52333 12426	   	282.24	橙橙2易伤1伤害1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a挖尘
17	43112 33263	   	282.00	橙橙2易伤1伤害1攻速1卖塔	1雷电2低血量敌人3狙击对毒48易伤5攻速6伤害7卖塔9a核
18	13214 21411	   	281.26	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a敌人爆炸
19	13214 21412	   	281.26	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a等级
20	13214 21413	   	281.26	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a基地爆炸
21	13214 21415	   	281.26	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a赏金塔
22	13214 21416	   	281.26	橙橙1易伤1伤害1矿等1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9矿等a双倍矿
23	13312 61366	   	279.71	橙橙2易伤1矿等1暴击	15易伤2暴击38最后敌人4技能点6矿等7立即金币9a核
24	13332 61366	   	279.71	橙橙2易伤1矿等1暴击	15易伤2暴击38最后敌人4掉矿6矿等7立即金币9a核
25	13312 62366	   	279.61	橙橙2易伤1矿等1暴击	15易伤2暴击38最后敌人4技能点6矿等7激光减费9a核
