0	Index      	 *	Score 	Summary	Detail	
1	34632 63221	 * 	268.89	橙橙2易伤1等级1暴击	1随机矿2等级3策反4赏金邻近5基地爆炸68易伤7a核9暴击
2	43612 63221	   	268.79	橙橙2易伤1等级1暴击1技能	1技能2赏金塔3等级4技能点5基地爆炸68易伤7a核9暴击
3	33253 23261	 * 	261.80	橙橙2伤害1等级1时间1暴击	1随机矿2赏金塔3暴击49伤害5挖尘6a核7等级8时间
4	35253 23261	   	261.80	橙橙2伤害1等级1时间1暴击	1随机矿2赏金邻近3暴击49伤害5挖尘6a核7等级8时间
5	24363 23131	 * 	260.45	橙橙2伤害1易伤2暴击	1低血量敌人2赏金塔38暴击49伤害5敌人爆炸6易伤7a核
6	36632 63221	   	258.29	橙橙2易伤1矿等1暴击	1随机矿2矿等3策反4赏金邻近5基地爆炸68易伤7a核9暴击
7	41224 63221	   	256.34	橙橙2易伤1时间1暴击1技能	1技能2时间36基地爆炸48易伤5赏金塔7a核9暴击
8	41316 63221	   	256.34	橙橙2易伤1时间1暴击1技能	1技能2时间3赏金邻近4基地爆炸5双倍矿68易伤7a核9暴击
9	42632 63221	   	256.24	橙橙2易伤1时间1暴击1技能	1技能2毒气减费3时间4赏金邻近5基地爆炸68易伤7a核9暴击
10	24363 23631	   	254.14	橙橙2伤害1易伤1暴击	1低血量敌人2赏金塔3暴击49伤害58敌人爆炸6易伤7a核
11	44223 42131	   	246.17	橙橙1等级1伤害1矿等1技能2攻速	1技能2等级34攻速5赏金塔69核7矿等8雷电a伤害
12	23265 62323	 * 	244.38	橙橙1易伤2矿等1时间	1低血量敌人2立即金币35矿等4时间6易伤7基地爆炸8a核9掉矿
13	33253 23221	   	244.11	橙橙1等级1伤害1时间1暴击	1随机矿2赏金塔3暴击4伤害5挖尘6a核7等级8时间9暴雪减费
14	35253 23221	   	244.11	橙橙1等级1伤害1时间1暴击	1随机矿2赏金邻近3暴击4伤害5挖尘6a核7等级8时间9暴雪减费
15	24363 23111	   	242.86	橙橙1易伤1伤害2暴击	19低血量敌人2赏金塔38暴击4伤害5敌人爆炸6易伤7a核
16	24363 23121	   	242.86	橙橙1易伤1伤害2暴击	1低血量敌人2赏金塔38暴击4伤害5敌人爆炸6易伤7a核9立即金币
17	24363 23141	   	242.76	橙橙1易伤1伤害2暴击	1低血量敌人2赏金塔38暴击4伤害5敌人爆炸6易伤7a核9风暴减费
18	23632 63221	   	242.69	橙橙2易伤1暴击	1低血量敌人2立即金币3策反4赏金邻近5基地爆炸68易伤7a核9暴击
19	43136 13221	   	242.69	橙橙2易伤1暴击1技能	1技能2赏金塔3基地爆炸48易伤5双倍矿6敌人爆炸7a核9暴击
20	43136 33221	   	242.69	橙橙2易伤1暴击1技能	1技能2赏金塔3基地爆炸48易伤5双倍矿6低血量敌人7a核9暴击
21	45136 13221	   	242.69	橙橙2易伤1暴击1技能	1技能2赏金邻近3基地爆炸48易伤5双倍矿6敌人爆炸7a核9暴击
22	45136 33221	   	242.69	橙橙2易伤1暴击1技能	1技能2赏金邻近3基地爆炸48易伤5双倍矿6低血量敌人7a核9暴击
23	42132 63221	   	242.59	橙橙2易伤1暴击1技能	1技能2毒气减费3最后敌人4赏金邻近5基地爆炸68易伤7a核9暴击
24	43131 13221	   	242.59	橙橙2易伤1暴击1技能	1技能2赏金塔3基地爆炸48易伤5毒气减费6敌人爆炸7a核9暴击
25	43131 33221	   	242.59	橙橙2易伤1暴击1技能	1技能2赏金塔3基地爆炸48易伤5毒气减费6低血量敌人7a核9暴击
26	45131 13221	   	242.59	橙橙2易伤1暴击1技能	1技能2赏金邻近3基地爆炸48易伤5毒气减费6敌人爆炸7a核9暴击
27	45131 33221	   	242.59	橙橙2易伤1暴击1技能	1技能2赏金邻近3基地爆炸48易伤5毒气减费6低血量敌人7a核9暴击
28	34263 12221	 * 	241.91	紫橙2易伤1等级1暴击	1随机矿2等级3攻速4a核58易伤6赏金邻近7敌人爆炸9暴击
29	34263 62321	 * 	239.69	紫橙2等级1易伤1时间1暴击	1随机矿26等级3攻速4a核5易伤7赏金邻近8时间9暴击
