0	Index      	 *	Score 	Summary	Detail	
1	41213 33111	 * 	394.85	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1立即金币27易伤3全技能4卖塔57伤害67时间7序列升级8核9双倍秒伤a掉矿
2	41213 33112	 * 	394.85	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1立即金币27易伤3全技能4卖塔57伤害67时间7序列升级8核9双倍秒伤a平台
3	41213 33113	 * 	394.85	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1立即金币27易伤3全技能4卖塔57伤害67时间7序列升级8核9双倍秒伤a随机矿
4	41213 33115	 * 	394.85	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1立即金币27易伤3全技能4卖塔57伤害67时间7序列升级8核9双倍秒伤a敌人爆炸
5	41213 33116	 * 	394.85	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1立即金币27易伤3全技能4卖塔57伤害67时间7序列升级8核9双倍秒伤a挖尘
6	64213 33111	 * 	394.75	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1全技能27易伤3烈焰减费4卖塔57伤害67时间7序列升级8核9双倍秒伤a掉矿
7	64213 33112	 * 	394.75	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1全技能27易伤3烈焰减费4卖塔57伤害67时间7序列升级8核9双倍秒伤a平台
8	64213 33113	 * 	394.75	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1全技能27易伤3烈焰减费4卖塔57伤害67时间7序列升级8核9双倍秒伤a随机矿
9	64213 33115	 * 	394.75	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1全技能27易伤3烈焰减费4卖塔57伤害67时间7序列升级8核9双倍秒伤a敌人爆炸
10	64213 33116	 * 	394.75	橙2易伤1双倍秒伤2伤害2时间1全技能1卖塔	1全技能27易伤3烈焰减费4卖塔57伤害67时间7序列升级8核9双倍秒伤a挖尘
11	41213 33162	 * 	392.35	橙3易伤3伤害3时间1等级1全技能1卖塔	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a等级
12	64213 33162	 * 	392.25	橙3易伤3伤害3时间1等级1全技能1卖塔	1全技能279易伤3烈焰减费4卖塔579伤害679时间79序列升级8核a等级
13	24382 31137	 * 	383.45	橙2易伤1双倍秒伤2暴击2时间	1加一27时间3挖尘47暴击57易伤6赏金邻近7序列升级8敌人爆炸9核a双倍秒伤
14	24382 31237	   	383.45	橙2易伤1双倍秒伤2暴击2时间	1加一27时间3挖尘47暴击57易伤6赏金邻近7序列升级8低血量敌人9核a双倍秒伤
15	24382 31837	   	383.45	橙2易伤1双倍秒伤2暴击2时间	1加一27时间3挖尘47暴击57易伤6赏金邻近7序列升级8最后敌人9核a双倍秒伤
16	24682 31137	   	383.45	橙2易伤1双倍秒伤2暴击2时间	1加一27时间3挖青47暴击57易伤6赏金邻近7序列升级8敌人爆炸9核a双倍秒伤
17	24682 31237	   	383.45	橙2易伤1双倍秒伤2暴击2时间	1加一27时间3挖青47暴击57易伤6赏金邻近7序列升级8低血量敌人9核a双倍秒伤
18	23462 32122	 * 	382.34	橙2易伤1双倍秒伤3时间1暴击	1加一2激光对愈3暴击468时间59易伤7核a双倍秒伤
19	25462 32122	   	382.34	橙2易伤1双倍秒伤3时间1暴击	1加一2加农对壮3暴击468时间59易伤7核a双倍秒伤
20	13682 82131	   	377.07	橙2易伤1双倍秒伤1等级1伤害1时间1卖塔	1卖塔2加一35易伤4时间6核7伤害8等级9双倍秒伤a低血量敌人
21	13682 82132	   	377.07	橙2易伤1双倍秒伤1等级1伤害1时间1卖塔	1卖塔2加一35易伤4时间6核7伤害8等级9双倍秒伤a雷电
22	13682 82133	   	377.07	橙2易伤1双倍秒伤1等级1伤害1时间1卖塔	1卖塔2加一35易伤4时间6核7伤害8等级9双倍秒伤a赏金邻近
23	13682 82134	   	377.07	橙2易伤1双倍秒伤1等级1伤害1时间1卖塔	1卖塔2加一35易伤4时间6核7伤害8等级9双倍秒伤a额外掉落
24	24625 11427	 * 	374.69	紫3易伤1双倍秒伤1暴击2时间	1加一27时间3挖青4核579易伤6雷电减费7序列升级8暴击a双倍秒伤
25	24382 22378	   	372.09	橙2易伤1双倍秒伤1暴击1时间1全技能	1加一2时间3挖尘4暴击56易伤7立即金币8全技能9核a双倍秒伤
26	22682 31337	   	371.00	橙2易伤1双倍秒伤2暴击1时间	1加一27基地爆炸3挖青47暴击57易伤6赏金邻近7序列升级8时间9核a双倍秒伤
27	23462 32214	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1加一2激光对愈3暴击46时间58易伤7核9敌人爆炸a双倍秒伤
28	23462 32254	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1加一2激光对愈3暴击46时间58易伤7核9低血量敌人a双倍秒伤
29	25462 32214	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1加一2加农对壮3暴击46时间58易伤7核9敌人爆炸a双倍秒伤
30	25462 32254	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1加一2加农对壮3暴击46时间58易伤7核9低血量敌人a双倍秒伤
31	41213 33165	 * 	366.14	橙3易伤3伤害3时间1全技能1卖塔	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a随机矿
32	41213 33166	 * 	366.14	橙3易伤3伤害3时间1全技能1卖塔	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a技能
33	41213 33161	 * 	366.04	橙3易伤3伤害3时间1全技能1卖塔1挖怪	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a挖怪
34	41213 33163	 * 	366.04	橙3易伤3伤害3时间1全技能1卖塔	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a攻速
35	41213 33164	 * 	366.04	橙3易伤3伤害3时间1全技能1卖塔	1立即金币279易伤3全技能4卖塔579伤害679时间79序列升级8核a赏金邻近
36	64213 33161	 * 	365.94	橙3易伤3伤害3时间1全技能1卖塔1挖怪	1全技能279易伤3烈焰减费4卖塔579伤害679时间79序列升级8核a挖怪
37	64213 33163	 * 	365.94	橙3易伤3伤害3时间1全技能1卖塔	1全技能279易伤3烈焰减费4卖塔579伤害679时间79序列升级8核a攻速
