0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22344 33225	6	 * 	272.40	橙2易伤2伤害2时间1等级2暴击	1低血量敌人29伤害35易伤4雷电69时间7等级89暴击9序列升级a核
2	22334 33435	7	 * 	270.15	橙3易伤2等级2时间1伤害	18低血量敌人2伤害38a易伤4掉矿59时间68等级7核8序列升级
3	24412 31412	9	 * 	269.43	橙5易伤1等级1时间1暴击	1低血量敌人2345a易伤6时间7核8等级9暴击
4	34412 31412	9	   	269.43	橙5易伤1等级1时间1暴击	1基地爆炸2345a易伤6时间7核8等级9暴击
5	22313 21424	3	 * 	268.87	橙4易伤3等级1伤害	18a低血量敌人2伤害378a易伤4雷电5矿等68a等级8a序列升级9核
6	22343 21424	4	   	268.87	橙4易伤3等级1伤害	18a低血量敌人2伤害378a易伤4雷电5矿等68a等级8a序列升级9核
7	22332 21424	4	   	268.77	橙4易伤3等级1伤害	18a低血量敌人2伤害378a易伤4掉矿5雷电68a等级8a序列升级9核
8	22342 21424	5	   	268.77	橙4易伤3等级1伤害	18a低血量敌人2伤害378a易伤4雷电5掉矿68a等级8a序列升级9核
9	24412 31411	9	 * 	265.67	橙4易伤2时间1等级1暴击	1低血量敌人2345易伤6a时间7核8等级9暴击
10	34412 31411	9	   	265.67	橙4易伤2时间1等级1暴击	1基地爆炸2345易伤6a时间7核8等级9暴击
11	24412 31335	10	 * 	265.25	橙4易伤3时间1等级	1低血量敌人2345易伤689时间7核a等级
12	22312 13416	9	   	264.89	橙3易伤2时间1等级1伤害1暴击	17低血量敌人2伤害347易伤5随机矿67时间7序列升级8等级9暴击a核
13	33116 26122	7	 * 	264.22	橙2易伤3伤害2等级1时间	123基地爆炸23a序列升级4a易伤5时间6核79a伤害8a等级
14	22332 21422	4	   	263.87	橙3易伤2等级1伤害1时间	18低血量敌人2伤害378易伤4掉矿5雷电68等级8序列升级9核a时间
15	22342 21422	5	   	263.87	橙3易伤2等级1伤害1时间	18低血量敌人2伤害378易伤4雷电5掉矿68等级8序列升级9核a时间
16	24412 31326	9	 * 	263.47	橙4易伤2伤害2时间	1低血量敌人2345易伤68时间7核9a伤害
17	34412 35332	9	 * 	263.29	橙5易伤1伤害1时间1暴击	1基地爆炸2345a易伤6时间7暴击8伤害9核
18	22215 53122	9	 * 	263.25	橙2易伤2等级2伤害2时间	137a低血量敌人2a伤害4挖青57等级67时间7a序列升级8a易伤9核
19	22515 53122	9	   	263.25	橙2易伤2等级2伤害2时间	17a低血量敌人2a伤害3立即金币4挖青57等级67时间7a序列升级8a易伤9核
20	22314 33463	8	 * 	261.42	橙4易伤1等级1伤害2暴击	17低血量敌人2伤害3479易伤5平台67暴击7序列升级8等级a核
21	22312 13225	4	 * 	260.58	橙2易伤2等级2伤害2暴击	1低血量敌人29伤害34易伤5雷电69等级7敌人爆炸89暴击9序列升级a核
22	22344 13225	5	   	260.58	橙2易伤2等级2伤害2暴击	1低血量敌人29伤害35易伤4雷电69等级7敌人爆炸89暴击9序列升级a核
23	22312 16225	4	   	260.48	橙2易伤2等级2伤害2暴击	1低血量敌人29伤害34易伤5雷电69等级7挖尘89暴击9序列升级a核
24	22313 25462	10	   	260.47	橙4易伤2等级1伤害	19低血量敌人2伤害3469易伤5最后敌人7矿等89等级9序列升级a核
25	22313 21462	10	   	260.37	橙4易伤2等级1伤害	19低血量敌人2伤害3469易伤5最后敌人7掉矿89等级9序列升级a核
26	24412 31423	10	   	260.33	橙4易伤2时间1等级	1低血量敌人2345易伤6a时间7核8等级9雷电
27	34412 31423	10	   	260.33	橙4易伤2时间1等级	1基地爆炸2345易伤6a时间7核8等级9雷电
28	34412 31431	9	   	260.33	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7核8等级a攻速
29	34412 35331	9	   	259.53	橙4易伤2时间1伤害1暴击	1基地爆炸2345易伤6a时间7暴击8伤害9核
30	24115 32126	4	 * 	259.50	橙5易伤1等级1伤害	1低血量敌人24589易伤3掉矿6核7等级a伤害
31	24413 32126	4	   	259.50	橙5易伤1等级1伤害	1低血量敌人23489易伤5掉矿6核7等级a伤害
32	24423 32126	3	   	259.50	橙5易伤1等级1伤害	1低血量敌人23489易伤5掉矿6核7等级a伤害
33	34115 32126	4	   	259.50	橙5易伤1等级1伤害	1基地爆炸24589易伤3掉矿6核7等级a伤害
34	34413 32126	4	   	259.50	橙5易伤1等级1伤害	1基地爆炸23489易伤5掉矿6核7等级a伤害
35	24412 14213	10	   	259.40	橙5易伤1伤害1时间1全技能	17低血量敌人23457易伤6全技能7序列升级8时间9伤害a核
36	24412 31413	10	   	259.40	橙4易伤1等级1时间1暴击	1低血量敌人2345易伤6时间7核8等级9暴击a雷电
37	34412 31413	10	   	259.40	橙4易伤1等级1时间1暴击	1基地爆炸2345易伤6时间7核8等级9暴击a雷电
38	31434 23132	10	 * 	259.31	橙4易伤3时间1伤害	17基地爆炸2最后敌人347a易伤567时间7序列升级8伤害9核
39	24412 11213	10	   	259.30	橙5易伤1伤害1时间1全技能	1低血量敌人23457易伤6全技能8时间9伤害a核
40	24412 11623	10	   	259.30	橙5易伤1伤害1时间1全技能	1低血量敌人23457易伤6全技能8伤害9时间a核
41	24451 11213	10	   	259.30	橙5易伤1伤害1时间1全技能	1低血量敌人23567易伤4全技能8时间9伤害a核
42	54431 11213	10	   	259.30	橙5易伤1伤害1时间1全技能	1最后敌人23567易伤4全技能8时间9伤害a核
43	53434 23132	10	   	259.21	橙4易伤3时间1伤害	17最后敌人2挖尘347a易伤567时间7序列升级8伤害9核
44	22334 33432	7	 * 	258.68	橙2易伤2等级3时间1伤害	18低血量敌人2伤害38易伤4掉矿59a时间68等级7核8序列升级
45	24412 31122	8	   	257.95	橙5易伤1伤害1时间	1低血量敌人23458易伤6时间7核9雷电a伤害
46	24412 31122	7	   	257.95	橙5易伤1伤害1时间	1低血量敌人23458易伤6时间7核9雷电a伤害
47	24412 31212	9	   	257.95	橙5易伤1伤害1时间	1低血量敌人23459易伤6时间7核8雷电a伤害
48	24412 31262	8	   	257.95	橙5易伤1伤害1时间	1低血量敌人23459易伤6时间7核8雷电a伤害
49	34412 31122	8	   	257.95	橙5易伤1伤害1时间	1基地爆炸23458易伤6时间7核9雷电a伤害
50	34412 31122	7	   	257.95	橙5易伤1伤害1时间	1基地爆炸23458易伤6时间7核9雷电a伤害
51	34412 31212	9	   	257.95	橙5易伤1伤害1时间	1基地爆炸23459易伤6时间7核8雷电a伤害
52	34412 31262	8	   	257.95	橙5易伤1伤害1时间	1基地爆炸23459易伤6时间7核8雷电a伤害
53	24412 25221	10	   	257.87	橙4易伤1等级1伤害	1低血量敌人2345易伤6等级7雷电8伤害9攻速a核
54	34412 24221	10	   	257.87	橙4易伤1等级1伤害	1基地爆炸2345易伤6攻速7等级8雷电9伤害a核
55	24412 31132	7	 * 	257.81	橙5易伤2时间1暴击	1低血量敌人23458易伤69时间7核a暴击
56	24412 31132	8	   	257.81	橙5易伤2时间1暴击	1低血量敌人23458易伤69时间7核a暴击
57	24412 31322	8	   	257.81	橙5易伤2时间1暴击	1低血量敌人23459易伤68时间7核a暴击
58	24412 31622	7	   	257.81	橙5易伤2时间1暴击	1低血量敌人23459易伤68时间7核a暴击
59	34412 31132	7	   	257.81	橙5易伤2时间1暴击	1基地爆炸23458易伤69时间7核a暴击
60	34412 31132	8	   	257.81	橙5易伤2时间1暴击	1基地爆炸23458易伤69时间7核a暴击
61	34412 31622	7	   	257.81	橙5易伤2时间1暴击	1基地爆炸23459易伤68时间7核a暴击
62	22312 33465	9	   	257.50	橙4易伤1等级1伤害1时间	1低血量敌人2伤害349a易伤5随机矿6等级7核8时间
63	24412 24322	10	   	257.50	橙4易伤1等级1伤害1时间	1低血量敌人2345易伤6等级7矿等8时间9伤害a核
64	24412 22322	10	   	257.40	橙4易伤1等级1伤害1时间	1低血量敌人2345易伤6等级7掉矿8时间9伤害a核
65	24412 31135	7	 * 	257.39	橙5易伤3时间	1低血量敌人23458易伤69a时间7核
66	24412 31135	8	   	257.39	橙5易伤3时间	1低血量敌人23458易伤69a时间7核
67	24412 31325	8	   	257.39	橙5易伤3时间	1低血量敌人23459易伤68a时间7核
68	34412 31135	8	   	257.39	橙5易伤3时间	1基地爆炸23458易伤69a时间7核
69	34412 31135	7	   	257.39	橙5易伤3时间	1基地爆炸23458易伤69a时间7核
70	31434 23135	10	 * 	255.85	橙3易伤3时间2伤害	17基地爆炸2最后敌人347易伤567时间7序列升级8a伤害9核
71	24412 31125	9	   	255.78	橙5易伤1等级1时间	1低血量敌人23458易伤6时间7核9金币生成a等级
72	24412 31135	9	   	255.78	橙5易伤1等级1时间	1低血量敌人23458易伤6时间7核9策反a等级
73	34412 31125	9	   	255.78	橙5易伤1等级1时间	1基地爆炸23458易伤6时间7核9金币生成a等级
74	34412 31135	9	   	255.78	橙5易伤1等级1时间	1基地爆炸23458易伤6时间7核9策反a等级
75	24412 31115	9	   	255.68	橙5易伤1等级1时间	1低血量敌人23458易伤6时间7核9掉矿a等级
76	34412 31115	9	   	255.68	橙5易伤1等级1时间	1基地爆炸23458易伤6时间7核9掉矿a等级
77	24115 32125	4	   	255.68	橙5易伤1等级1时间	1低血量敌人24589易伤3掉矿6核7等级a时间
78	24413 32125	4	   	255.68	橙5易伤1等级1时间	1低血量敌人23489易伤5掉矿6核7等级a时间
79	24423 32125	3	   	255.68	橙5易伤1等级1时间	1低血量敌人23489易伤5掉矿6核7等级a时间
80	34115 32125	4	   	255.68	橙5易伤1等级1时间	1基地爆炸24589易伤3掉矿6核7等级a时间
81	34413 32125	4	   	255.68	橙5易伤1等级1时间	1基地爆炸23489易伤5掉矿6核7等级a时间
82	22353 33435	7	   	255.67	橙3易伤2等级1伤害1时间	18低血量敌人2伤害38a易伤4敌人爆炸5金币生成68等级7核8序列升级9时间
83	22333 33433	7	   	255.57	橙3易伤2等级1伤害1时间	18低血量敌人2伤害38a易伤4掉矿5敌人爆炸68等级7核8序列升级9时间
84	22334 33415	7	   	255.57	橙3易伤2等级1伤害1时间	18低血量敌人2伤害38a易伤4掉矿5时间68等级7核8序列升级9立即金币
85	22334 33423	7	   	255.47	橙3易伤2等级1伤害1时间	18低血量敌人2伤害38a易伤4掉矿5时间68等级7核8序列升级9加一
86	22334 33463	7	   	255.47	橙3易伤2等级1伤害1时间	18低血量敌人2伤害38a易伤4掉矿5时间68等级7核8序列升级9挖尘
87	34412 31353	9	   	255.41	橙4易伤1等级1时间1全技能	1基地爆炸2345易伤6时间7核8全技能9雷电a等级
88	22313 21124	3	   	254.27	橙3易伤2等级1伤害2雷电	1a低血量敌人2伤害37a易伤48雷电5矿等6a等级9核a序列升级
89	22343 21124	4	   	254.27	橙3易伤2等级1伤害2雷电	1a低血量敌人2伤害37a易伤48雷电5矿等6a等级9核a序列升级
90	24412 31321	9	   	254.19	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a攻速
91	24412 31324	10	   	254.19	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a雷电
92	24412 33251	6	   	254.19	橙4易伤2时间1伤害	1低血量敌人2345易伤69时间7伤害8核a攻速
93	22332 21124	4	   	254.17	橙3易伤2等级1伤害2雷电	1a低血量敌人2伤害37a易伤4掉矿58雷电6a等级9核a序列升级
94	22342 21124	5	   	254.17	橙3易伤2等级1伤害2雷电	1a低血量敌人2伤害37a易伤48雷电5掉矿6a等级9核a序列升级
95	24412 31421	10	   	254.05	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9雷电a攻速
96	34412 31421	10	   	254.05	橙4易伤1等级1时间	1基地爆炸2345易伤6时间7核8等级9雷电a攻速
