0	Index      	 *	Score 	Summary	Detail	Bounty	
1	46233 21334	 * 	286.34	橙4易伤2时间1等级2攻速1全技能	1a攻速259a易伤3全技能4雷电6等级7a时间8核a序列升级	6
2	46231 31335	 * 	283.20	橙4易伤2伤害2攻速1时间1全技能	1a攻速269a易伤3全技能4雷电5时间7a伤害8核a序列升级	4
3	32416 31226	 * 	281.56	橙3易伤2等级2伤害1时间	1金币生成2a等级3雷电4时间5a伤害6矿等79a易伤8核a序列升级	10
4	46233 13335	 * 	280.20	橙4易伤2时间1伤害2攻速1全技能	1a攻速259a易伤3全技能4雷电6伤害7a时间8核a序列升级	6
5	46231 21335	   	268.70	橙3易伤2伤害2攻速1时间2雷电1全技能	1a攻速29a易伤3全技能46雷电5时间7a伤害8核a序列升级	4
6	46233 31335	   	266.95	橙4易伤2伤害2攻速1全技能	1a攻速259a易伤3全技能4雷电6最后敌人7a伤害8核a序列升级	5
7	46232 31335	   	266.85	橙4易伤2伤害2攻速1全技能	1a攻速269a易伤3全技能4雷电5挖尘7a伤害8核a序列升级	4
8	32426 31226	   	265.31	橙3易伤2等级2伤害	1金币生成2a等级3雷电4最后敌人5a伤害6矿等79a易伤8核a序列升级	10
9	22462 11226	   	265.21	橙3易伤2等级2伤害	1掉矿2a等级3雷电4金币生成5a伤害6最后敌人79a易伤8核a序列升级	10
10	42212 36611	 * 	262.80	橙3易伤2等级3攻速2暴击	14a攻速24暴击3赏金塔4a序列升级56a易伤7挖青8a等级9核	1
11	46231 31343	   	262.15	橙3易伤2伤害2攻速1时间1全技能	1a攻速26a易伤3全技能4雷电5时间7a伤害8核9平台a序列升级	4
12	46233 13343	   	259.15	橙3易伤2时间1伤害2攻速1全技能	1a攻速25a易伤3全技能4雷电6伤害7a时间8核9平台a序列升级	6
13	42432 14323	 * 	258.78	橙3伤害2等级1易伤2攻速2雷电1全技能	17攻速2a等级37雷电4全技能567伤害7序列升级8核9易伤	10
14	46113 31335	   	257.19	橙4易伤2伤害2攻速	1a攻速269a易伤3低血量敌人4雷电5双倍物品7a伤害8核a序列升级	4
15	32412 15531	   	256.87	橙2易伤2等级2伤害1时间	1金币生成29等级3雷电4时间59易伤6低血量敌人7额外掉落89伤害9序列升级a核	10
16	22412 15531	   	256.77	橙2易伤2等级2伤害1时间	1掉矿29等级3雷电4时间59易伤6低血量敌人7额外掉落89伤害9序列升级a核	10
