0	Index      	 *	Score 	Summary	Detail	
1	21221 61156	 * 	315.45	橙3等级3矿等2易伤1攻速	1赏金邻近24a矿等37a等级5技能点6攻速8a易伤9核a序列升级
2	21611 25211	 * 	302.51	橙2易伤2等级2矿等1雷电1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9基地爆炸a雷电
3	21611 25231	   	302.51	橙2等级2易伤2矿等1雷电1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9策反a雷电
4	21611 25261	   	302.51	橙2易伤2等级2矿等1雷电1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9敌人爆炸a雷电
5	21611 25241	   	302.41	橙2等级2易伤2矿等1雷电1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9技能点a雷电
6	21221 51156	   	301.80	橙3等级3矿等2易伤	1赏金邻近24a矿等37a等级5技能点6策反8a易伤9核a序列升级
7	21611 25236	 * 	292.55	橙3易伤2等级2矿等1暴击	1赏金邻近27矿等37a易伤4金币生成5暴击67等级7序列升级8核9策反
8	26323 53261	 * 	291.07	橙2等级2雷电2矿等1易伤	1赏金邻近28等级3掉矿48矿等58雷电6双倍秒伤7全技能8序列升级9核a易伤
9	21611 25222	   	290.48	橙2易伤2等级2矿等1伤害1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9立即金币a伤害
10	21611 25252	   	290.38	橙2等级2易伤2矿等1伤害1暴击	1赏金邻近27矿等37易伤4金币生成5暴击67等级7序列升级8核9多重对愈a伤害
11	63433 43313	   	289.10	橙2易伤2矿等1等级1雷电1伤害1暴击1攻速	15矿等2伤害3金币生成45易伤5序列升级6雷电7等级8核9攻速a暴击
