0	Index      	 *	Score 	Summary	Detail	
1	21221 26334	 * 	313.01	橙4易伤3等级3雷电	18a雷电2低血量敌人38a等级4金币生成5基地爆炸689a易伤7核8a序列升级
2	13315 31346	 * 	295.66	橙橙1等级2伤害1易伤	1基地爆炸24伤害3赏金邻近5时间6a核7基础对愈8易伤9等级
3	33315 31346	   	295.56	橙橙1等级2伤害1易伤	1挖尘24伤害3赏金邻近5时间6a核7基础对愈8易伤9等级
4	24261 26213	 * 	294.20	橙橙1等级1雷电1易伤1攻速	1雷电2基地爆炸3金币生成4等级5敌人爆炸6易伤7a核8时间9攻速
5	11134 36213	   	294.10	橙橙1等级1雷电1易伤1攻速	1基地爆炸2易伤3敌人爆炸4雷电5掉矿6等级7a核8时间9攻速
6	23214 36213	   	294.10	橙橙1等级1雷电1易伤1攻速	1雷电2易伤3金币生成4敌人爆炸5挖青6等级7a核8时间9攻速
7	23524 36313	   	294.10	橙橙1等级1雷电1易伤1攻速	1雷电2易伤3时间4最后敌人5掉矿6等级7a核8敌人爆炸9攻速
8	21221 26314	   	293.85	橙3易伤3等级3雷电	18a雷电2低血量敌人38a等级4金币生成59基地爆炸68a易伤7核8a序列升级
9	11213 34243	 * 	288.67	紫橙2易伤2雷电1等级	1基地爆炸28易伤3a核4全技能59雷电6额外掉落7等级
10	31213 34243	   	288.57	紫橙2易伤2雷电1等级	1挖尘28易伤3a核4全技能59雷电6额外掉落7等级
11	23214 36315	 * 	286.38	橙2易伤2等级2雷电1矿等	18雷电28易伤3金币生成4敌人爆炸5挖青68等级7核8序列升级9基地爆炸a矿等
12	21221 26321	   	286.09	橙3易伤2等级2雷电	18雷电2低血量敌人38等级4金币生成5基地爆炸68a易伤7核8序列升级9时间
13	21221 26335	   	286.09	橙3易伤2等级2雷电	18雷电2低血量敌人38等级4金币生成5基地爆炸689易伤7核8序列升级a时间
14	23251 37644	 * 	286.06	橙橙1等级1雷电1易伤1矿等	1雷电2易伤3金币生成4加一5双倍秒伤6敌人爆炸7矿等8等级9a核
15	13314 31346	   	286.00	橙橙1等级2伤害1易伤	1基地爆炸24伤害3赏金邻近5最后敌人6a核7基础对愈8易伤9等级
16	33314 31346	   	285.90	橙橙1等级2伤害1易伤	1挖尘24伤害3赏金邻近5最后敌人6a核7基础对愈8易伤9等级
17	23214 36613	   	284.43	橙橙1等级1雷电1易伤1攻速	1雷电2易伤3金币生成4敌人爆炸5挖青6等级7a核8基地爆炸9攻速
