0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53253 32226	9	 * 	304.70	橙5易伤2等级2伤害	1258a易伤28序列升级38伤害4敌人爆炸6雷电78等级9核
2	53253 32221	10	   	302.61	橙4易伤2等级2伤害1时间	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a时间
3	53253 32226	10	   	296.02	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a全技能
4	51311 35332	9	   	296.02	橙4易伤2等级2伤害	137a易伤2全技能4a等级5策反6攻速8a伤害9核a序列升级
5	53253 32222	10	   	292.91	橙4易伤2等级2伤害2雷电	1258易伤28序列升级38伤害4敌人爆炸6a雷电78等级9核
6	53113 21435	6	 * 	292.75	橙4易伤3伤害3时间	128a易伤28a序列升级3低血量敌人48a伤害5策反6金币生成78a时间9核
7	53213 21435	6	   	292.65	橙4易伤3伤害3时间	128a易伤28a序列升级38a伤害4挖青5策反6金币生成78a时间9核
8	53261 14373	6	   	292.45	橙4易伤3伤害3时间	127a易伤27序列升级347伤害5加一679时间8核
9	53261 14384	6	   	292.45	橙4易伤3伤害3时间	127a易伤27a序列升级347伤害5加一67a时间8核9a掉矿
10	51211 41252	9	   	291.95	橙5易伤2伤害1时间2雷电	1589a易伤2全技能3时间4a雷电6a伤害7核a序列升级
11	51335 61212	4	 * 	291.57	橙5易伤2伤害2时间	1357a易伤2全技能47时间6核7a序列升级8a伤害9a掉矿
12	51225 61212	4	   	291.57	橙5易伤2伤害2时间	1457a易伤2全技能37时间6核7a序列升级8a伤害9a掉矿
13	53231 26135	7	 * 	291.30	橙4易伤2等级2时间1伤害	126a易伤2a序列升级3伤害4a时间5敌人爆炸7策反8a等级9核
14	53233 12135	7	   	291.30	橙4易伤2等级2时间1伤害	127a易伤2a序列升级3伤害4a时间5策反6敌人爆炸8a等级9核
15	53233 33135	5	   	291.30	橙4易伤2等级2时间1伤害	126a易伤2a序列升级3伤害4a时间5策反7基地爆炸8a等级9核
16	53233 35135	5	   	291.30	橙4易伤2等级2时间1伤害	126a易伤2a序列升级3伤害4a时间5策反7低血量敌人8a等级9核
17	53233 43135	6	   	291.30	橙4易伤2等级2时间1伤害	126a易伤2a序列升级3伤害4a时间5策反7基地爆炸8a等级9核
18	53233 41135	7	   	291.20	橙4易伤2等级2时间1伤害	126a易伤2a序列升级3伤害4a时间5策反7挖尘8a等级9核
19	51322 36323	8	 * 	291.03	橙5易伤3时间3攻速	1389a易伤2全技能48a攻速5平台68a时间7核8a序列升级
20	51322 36333	9	   	291.03	橙5易伤3时间3攻速	1389a易伤2全技能48a攻速5平台68a时间7核8a序列升级
21	51211 41152	9	   	289.26	橙4易伤3伤害1时间2雷电	159a易伤2全技能3时间4a雷电68a伤害7核a序列升级
22	51211 41242	9	   	288.19	橙4易伤2伤害2时间2雷电	158a易伤2全技能39时间4a雷电6a伤害7核a序列升级
