0	Index      	 *	Score 	Summary	Detail	
1	33236 31141	 * 	290.55	DCR|DCR|2VULN|1DMG|1CDMG	1LIT|2DMG|34VULN|5SPLJET|6AAC|7DUR|8CDMG|9aRCR
2	33124 12141	   	285.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1LIT|2DMG|3CDMG|4VULN|5MSLREG|6ASPD|7CGEN|8MLV|9aRCR
3	33124 15141	   	285.25	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1LIT|2DMG|3CDMG|4VULN|5MSLREG|6ASPD|7AME|8MLV|9aRCR
4	33223 11141	   	282.00	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|37VULN|4BEXP|5LSRHEA|6ZMB|8CDMG|9aRCR
5	33225 11141	   	282.00	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|37VULN|4BEXP|5LSRREG|6ZMB|8CDMG|9aRCR
6	33245 11141	   	282.00	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|37VULN|4FEWX|5LSRREG|6ZMB|8CDMG|9aRCR
7	33223 16141	   	281.95	DCR|DCR|2VULN|1DMG|1CDMG|2ZMB	17LIT|2DMG|37VULN|4BEXP|5LSRHEA|67ZMB|7BPWR|8CDMG|9aRCR
8	33225 16141	   	281.95	DCR|DCR|2VULN|1DMG|1CDMG|2ZMB	17LIT|2DMG|37VULN|4BEXP|5LSRREG|67ZMB|7BPWR|8CDMG|9aRCR
9	33265 11141	   	281.90	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|37VULN|4DUST|5LSRREG|6ZMB|8CDMG|9aRCR
10	33635 11141	   	281.90	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2DMG|3DUST|47VULN|5LSRREG|6ZMB|8CDMG|9aRCR
11	33324 12141	   	271.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LIT|2DMG|3SELL|4VULN|5MSLREG|6ASPD|7CGEN|8MLV|9aRCR
12	33324 15141	   	271.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LIT|2DMG|3SELL|4VULN|5MSLREG|6ASPD|7AME|8MLV|9aRCR
13	33231 33124	 * 	269.05	DCR|5VULN|2DMG|1AART	19LIT|29DMG|34689VULN|5TBNT|7AART|9BPWR|aRCR
14	23126 42353	 * 	266.40	ACR|DCR|3VULN|1CDMG|1AART	1ERES|2CDMG|379VULN|4CGEN|5aRCR|6RMIN|8AART
15	23655 23323	 * 	266.15	DCR|DCR|1VULN|2CDMG|2AART	1ERES|24CDMG|3DMSP|59AART|6DUR|7aRCR|8VULN
16	13251 36163	 * 	263.34	DCR|DCR|1VULN|3DUR|1CDMG|1RPLT|2ZMB	1TBNT|24ZMB|348DUR|4BPWR|5RPLT|6CDMG|79RCR|aVULN
17	33122 12441	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DMG|3CDMG|4VULN|5DUR|6MGNSTR|78AAC|9aRCR
18	33122 12641	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DMG|3CDMG|4VULN|5DUR|6MGNSTR|7AAC|8RCVC|9aRCR
19	33122 22441	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DMG|3CDMG|4VULN|5DUR|6MULHEA|78AAC|9aRCR
20	33122 22641	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DMG|3CDMG|4VULN|5DUR|6MULHEA|7AAC|8RCVC|9aRCR
21	33216 31141	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	14LIT|2DMG|3VULN|5SPLJET|6AAC|7DUR|8CDMG|9aRCR
22	33256 31141	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DMG|3VULN|4RCVC|5SPLJET|6AAC|7DUR|8CDMG|9aRCR
23	12242 65123	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1TBNT|2DUST|3VULN|4MDPS|5LHND|67RCR|8DMG|9DUR|aCDMG
24	12342 65123	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1TBNT|2DUST|3MDPS|4VULN|5LHND|67RCR|8DMG|9DUR|aCDMG
