0	Index      	 *	Score 	Summary	Detail	
1	31122 55336	 * 	278.15	DCR|DCR|2VULN|1DMG|1RPLT	18RCVC|2DMG|37VULN|46DUST|5RPLT|9aRCR
2	13512 22116	   	271.59	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1SELL|28VULN|3TSLFST|4BELT|5AART|6aRCR|7RCVC|9CDMG
3	21333 11523	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2VULN|3BLAICY|4DUR|5CGEN|6MLV|7BEXP|89RCR|aDMG
4	21353 12523	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2VULN|3BLAICY|4LHND|5CGEN|6MLV|7DUR|89RCR|aDMG
5	23533 13523	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2BLASTR|3BEXP|4DUR|5CGEN|6MLV|7VULN|89RCR|aDMG
6	15333 24432	 * 	261.97	DCR|DCR|3DMG|1ASPD|1AART|1SELL	1SELL|246DMG|3FEWX|5AART|7ASPD|8aRCR|9LWND
7	35112 23236	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1RCVC|2RPLT|3VULN|4MLV|5CDMG|6aRCR|79LIT|8RMIN
8	45112 23236	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DMSP|2RPLT|3VULN|4MLV|5CDMG|6aRCR|79LIT|8RMIN
9	35112 23536	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1RCVC|2RPLT|3VULN|4MLV|5CDMG|6aRCR|79LIT|8AME
10	31313 32646	 * 	259.08	DCR|3VULN|2DMG|2CDMG|1MLV	1RCVC|27DMG|34CGEN|57CDMG|679VULN|7BPWR|8MLV|aRCR
11	21353 11523	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2VULN|3BLAICY|4LHND|5CGEN|6MLV|7BEXP|89RCR|aDMG
12	22561 11523	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2FEWX|3CGEN|4SNIFST|5VULN|6MLV|7BEXP|89RCR|aDMG
13	32633 33124	 * 	257.32	ACR|DCR|2VULN|1DMG|1MLV	1RCVC|2LHND|3BEXP|47VULN|5aRCR|6BBNT|8DMG|9MLV
14	33533 33124	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1RCVC|2FEWX|3LHND|47VULN|5aRCR|6BBNT|8DMG|9MLV
15	33633 33124	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1RCVC|2FEWX|3LWND|47VULN|5aRCR|6BBNT|8DMG|9MLV
16	42633 33124	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1DMSP|2LHND|3BEXP|47VULN|5aRCR|6BBNT|8DMG|9MLV
17	43533 33124	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1DMSP|2FEWX|3LHND|47VULN|5aRCR|6BBNT|8DMG|9MLV
18	43633 33124	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1DMSP|2FEWX|3LWND|47VULN|5aRCR|6BBNT|8DMG|9MLV
19	54133 11263	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	1MLV|2aVULN|3RCVC|4CGEN|58RCR|6FEWX|7LHND|9DMG
20	54113 11263	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1MLV|2aVULN|3RCVC|4ERES|58RCR|6FEWX|7LHND|9DMG
21	61633 33124	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1LWND|2AELOIC|3BEXP|47VULN|5aRCR|6BBNT|8DMG|9MLV
22	51353 11263	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1MLV|23ERES|4aVULN|58RCR|6FEWX|7LHND|9DMG
23	31134 53241	 * 	257.09	DCR|4VULN|2MLV|1DMG	1RCVC|2DMG|357aVULN|4CGEN|68MLV|9RCR
24	31134 62241	   	257.09	DCR|4VULN|2MLV|1DMG	1RCVC|2DMG|356aVULN|4CGEN|78MLV|9RCR
25	52613 13263	   	257.02	ACR|DCR|2VULN|1DMG|1MLV	1MLV|26DUST|3LHND|4AME|58RCR|7aVULN|9DMG
26	31114 53241	   	256.99	DCR|4VULN|2MLV|1DMG	1RCVC|2DMG|357aVULN|4ERES|68MLV|9RCR
27	31114 62241	   	256.99	DCR|4VULN|2MLV|1DMG	1RCVC|2DMG|356aVULN|4ERES|78MLV|9RCR
28	23136 22526	   	256.83	DCR|DCR|2VULN	1aLIT|2BLASTR|3aLWND|4DUR|57DUST|69RCR|8aVULN|aBPWR
29	21336 25622	   	256.73	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5DUST|69RCR|7aFEWX
30	21336 26622	   	256.73	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5DUST|69RCR|7LWND|aFEWX
31	22156 22622	   	256.73	DCR|DCR|2VULN	1LIT|2aFEWX|3DUR|48VULN|5MSLTOX|69RCR|7DUST
32	21336 25621	   	256.63	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5DUST|69RCR|7FEWX|aAELOIC
33	21336 25623	   	256.63	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5DUST|69RCR|7FEWX|aCANSTR
34	21336 26621	   	256.63	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5DUST|69RCR|7LWND|aAELOIC
35	21336 26623	   	256.63	DCR|DCR|2VULN	1LIT|28VULN|3BLAICY|4DUR|5aDUST|69RCR|7LWND
36	22156 22621	   	256.63	DCR|DCR|2VULN	1LIT|2FEWX|3DUR|48VULN|5MSLTOX|69RCR|7DUST|aAELOIC
37	22156 22623	   	256.63	DCR|DCR|2VULN	1LIT|2FEWX|3DUR|48VULN|5MSLTOX|69RCR|7DUST|aCANSTR
38	31134 42241	 * 	254.53	DCR|3VULN|2DMG|2MLV	1RCVC|26DMG|35aVULN|4CGEN|78MLV|9RCR
39	31114 42241	   	254.43	DCR|3VULN|2DMG|2MLV	1RCVC|26DMG|35aVULN|4ERES|78MLV|9RCR
40	22262 21233	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2FEWX|3BBNT|4CDMG|5TBNT|6MBVNT|79RCR|8VULN|aDMG
41	22462 21233	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2FEWX|3TBNT|4CDMG|5BBNT|6MBVNT|79RCR|8VULN|aDMG
42	23533 13525	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1LIT|2BLASTR|3BEXP|4aDUR|5CGEN|6MLV|7VULN|89RCR
43	21333 11525	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1LIT|2VULN|3BLAICY|4aDUR|5CGEN|6MLV|7BEXP|89RCR
44	21353 12525	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1LIT|2VULN|3BLAICY|4LHND|5CGEN|6MLV|7aDUR|89RCR
45	54133 13263	   	250.90	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4CGEN|58RCR|6FEWX|7LWND|aASPD
46	54113 13263	   	250.80	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4ERES|58RCR|6FEWX|7LWND|aASPD
