0	Index      	 *	Score 	Summary	Detail	
1	31832 28822	 * 	299.29	DCR|DCR|3VULN|1ASPD|1CDMG	1MBVNT|25LIT|3ASPD|467VULN|8aRCR|9CDMG
2	61132 12156	   	285.34	DCR|DCR|2VULN|1ASPD|1CDMG|1ZMB	1BELT|2RPLT|3aVULN|4FEWX|5ASPD|69RCR|7ZMB|8CDMG
3	66233 44513	 * 	278.45	DCR|DCR|2VULN|1DMG	1BELT|2MBVNT|37VULN|47FEWX|57BEXP|69RCR|7BPWR|8RPLT|aDMG
4	34411 63375	 * 	278.35	DCR|DCR|2VULN|2CDMG	1MBVNT|2RMIN|3aVULN|4TBNT|5aFEWX|6AART|78RCR|9aCDMG|aBPWR
5	34434 63375	   	278.35	DCR|DCR|2VULN|2CDMG	1MBVNT|2RMIN|3aVULN|4aLWND|5BBNT|6AART|78RCR|9aCDMG|aBPWR
6	38343 41548	 * 	277.00	DCR|3VULN|3DMG|2ASPD|1CDMG	1MBVNT|247DMG|34CGEN|47BPWR|57ASPD|679VULN|8CDMG|aRCR
7	31832 27472	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	1MBVNT|25LIT|3ASPD|46VULN|7CDMG|8AELOIC|9aRCR
8	31832 45472	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	1MBVNT|25LIT|3ASPD|47VULN|6CDMG|8AELOIC|9aRCR
9	34411 63372	   	271.84	DCR|DCR|2VULN|1CDMG	1MBVNT|2RMIN|3aVULN|4TBNT|5FEWX|6AART|78RCR|9CDMG
10	34434 63372	   	271.84	DCR|DCR|2VULN|1CDMG	1MBVNT|2RMIN|3aVULN|4LWND|5BBNT|6AART|78RCR|9CDMG
11	31732 28822	   	271.74	DCR|DCR|3VULN|1SELL	1MBVNT|25LIT|3AAC|467VULN|8aRCR|9SELL
12	33484 33372	   	271.74	DCR|DCR|2VULN|1CDMG	1MBVNT|2AME|3AART|4TBNT|5aVULN|6FEWX|78RCR|9CDMG
13	33611 63372	   	271.74	DCR|DCR|2VULN|1CDMG	1MBVNT|2AME|3aVULN|4TBNT|5FEWX|6AART|78RCR|9CDMG
14	33634 63372	   	271.74	DCR|DCR|2VULN|1CDMG	1MBVNT|2AME|3aVULN|4LWND|5BBNT|6AART|78RCR|9CDMG
15	34418 63372	   	271.74	DCR|DCR|2VULN|1CDMG	1MBVNT|2RMIN|3aVULN|4TBNT|5DUST|6AART|78RCR|9CDMG
16	34474 63372	   	271.74	DCR|DCR|2VULN|1CDMG	1MBVNT|2RMIN|3aVULN|4LEGI|5BBNT|6AART|78RCR|9CDMG
17	46223 13532	 * 	270.74	DCR|4VULN|2MLV|2CDMG|1ASPD	1368VULN|23MLV|3BPWR|4BELT|5ASPD|79CDMG|aRCR
