0	Index      	 *	Score 	Summary	Detail	
1	51132 36351	 * 	293.65	DCR|DCR|1VULN|2MLV|2ASPD|1CDMG	1aASPD|2TBNT|3LHND|4aMLV|5VULN|6CDMG|78RCR|9aLIT|aBPWR
2	51132 36323	 * 	291.76	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aDMG
3	51432 36323	   	291.76	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LWND|4MLV|5VULN|69CDMG|78RCR|aDMG
4	22225 46323	   	291.76	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1ASPD	19CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|aDMG
5	22512 11162	 * 	287.77	DCR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4aVULN|5BEXP|6SELL|78RCR|9DUR
6	22515 11142	 * 	287.77	DCR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4aVULN|5DUR|6SELL|78RCR|9LWND
7	22515 11152	 * 	287.77	DCR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4aVULN|5DUR|6SELL|78RCR|9LHND
8	14341 45351	 * 	286.02	DCR|DCR|2VULN|1DMG|1MLV	1TBNT|2MBVNT|3MSLREG|4DMG|5FEWX|67VULN|89RCR|aMLV
9	14441 45351	   	286.02	DCR|DCR|2VULN|1DMG|1MLV	1TBNT|2MBVNT|3LSRHEA|4DMG|5FEWX|67VULN|89RCR|aMLV
10	51132 36315	   	285.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aDMG
11	51132 36335	   	285.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aDMG
12	22225 46333	   	285.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|2MLV|39BEXP|4ASPD|5TBNT|6VULN|78RCR|aDMG
13	56222 61132	   	282.05	DCR|DCR|1VULN|2ASPD|1MLV|1AART	16ASPD|2MLV|3DUST|4DUR|5AART|78RCR|9BEXP|aVULN
14	51131 36326	   	280.00	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5DUR|69CDMG|78RCR|aVULN
