0	Index      	 *	Score 	Summary	Detail	
1	24111 43411	 * 	299.77	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1DUST|2CDMG|3DMG|4BELT|56VULN|7BEXP|89RCR|aMLV
2	24311 43411	   	293.36	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1DUST|2CDMG|3ASPD|4BELT|56VULN|7BEXP|89RCR|aMLV
3	23443 71442	   	289.27	DCR|DCR|2VULN|1MLV|1ASPD	1DUST|2ASPD|3TLV|48VULN|5MBVNT|6MLV|7RPLT|9aRCR
4	25111 43411	   	285.88	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1DUST|2SELL|3DMG|4BELT|56VULN|7BEXP|89RCR|aMLV
5	13131 44314	 * 	285.75	ACR|DCR|2DMG|1VULN|2MLV|1ASPD	1aRCR|2MBVNT|35MLV|45DMG|5BPWR|6VULN|7AART|8ASPD|9RMIN
6	13131 44354	   	285.75	ACR|DCR|2DMG|1VULN|2MLV|1ASPD	1aRCR|2MBVNT|35MLV|45DMG|5BPWR|6VULN|7AART|8ASPD|9TLV
7	34612 21442	   	284.03	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3DUR|4MLV|58VULN|6RMIN|7RPLT|9aRCR
8	34616 31442	   	284.03	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3DUR|4MLV|5RMIN|68VULN|7RPLT|9aRCR
9	13275 41426	 * 	283.30	ACR|DCR|4VULN|1DMG	1aRCR|2MBVNT|3DMSP|4679VULN|5DMG|8RCVC
10	24111 43412	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	1DUST|2CDMG|3DMG|4BELT|56VULN|7BEXP|89RCR|aLHND
11	24111 43413	   	282.14	DCR|DCR|2VULN|1DMG|1CDMG	1DUST|2CDMG|3DMG|4BELT|56VULN|7BEXP|89RCR|aAME
12	13275 11426	 * 	280.74	ACR|DCR|3VULN|2DMG	1aRCR|2MBVNT|3DMSP|479VULN|56DMG|8RCVC
13	13132 54314	   	280.53	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	1aRCR|2MBVNT|3MLV|4DMG|56VULN|7AART|8ASPD|9RMIN
14	13132 54354	   	280.53	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	1aRCR|2MBVNT|3MLV|4DMG|56VULN|7AART|8ASPD|9TLV
15	24111 14411	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	16DUST|2CDMG|3DMG|4BELT|5VULN|7DUR|89RCR|aMLV
