0	Index      	 *	Score 	Summary	Detail	
1	32225 62611	 * 	283.72	DCR|2LIT|3VULN|1MLV|1DMG|1SELL	1SELL|27BEXP|357VULN|47LIT|6AART|7BPWR|8RCR|9DMG|aMLV
2	33222 42126	 * 	278.97	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|26DMG|39LIT|47VULN|5BEXP|8RCR|aMLV
3	33226 42126	 * 	278.97	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|26DMG|39LIT|47VULN|5LWND|8RCR|aMLV
4	33221 42126	 * 	278.87	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|26DMG|39LIT|47VULN|5DUST|8RCR|aMLV
5	33242 33624	 * 	274.57	DCR|2MLV|3VULN|1LIT|1DMG|1SELL	1SELL|2DMG|3LIT|4DMSP|59MLV|678VULN|aRCR
6	36642 23231	 * 	274.21	DCR|3LIT|2MLV|2VULN|1SELL	1SELL|236LIT|3BPWR|45MLV|7RMIN|8aVULN|9RCR
7	32221 41531	 * 	266.13	DCR|3LIT|4VULN|1SELL	1SELL|2BEXP|357aVULN|456LIT|5BPWR|8RCVC|9RCR
8	31221 41531	 * 	266.03	DCR|3LIT|4VULN|1SELL	1SELL|2DUST|357aVULN|456LIT|5BPWR|8RCVC|9RCR
9	32225 62612	 * 	265.28	DCR|2LIT|3VULN|1DMG|1CDMG|1SELL	1SELL|27BEXP|357VULN|47LIT|6AART|7BPWR|8RCR|9DMG|aCDMG
10	36522 23531	 * 	264.37	DCR|3LIT|2VULN|2DMG|1SELL	1SELL|247LIT|3LWND|57LHND|67VULN|7BPWR|8RCR|9aDMG
11	36622 23531	 * 	264.37	DCR|3LIT|2VULN|2DMG|1SELL	1SELL|237LIT|37BPWR|4LWND|57LHND|67VULN|8RCR|9aDMG
12	32221 43531	 * 	264.17	DCR|3LIT|2VULN|2DMG|1SELL	1SELL|2BEXP|35VULN|456LIT|5BPWR|7DUST|8RCR|9aDMG
13	32221 43541	 * 	264.17	DCR|3LIT|2VULN|1FLTARM|1SELL	1SELL|2BEXP|35VULN|456LIT|5BPWR|7DUST|8RCR|9DLOT|aFLTARM
14	32221 44531	 * 	264.17	DCR|3LIT|2VULN|2DMG|1DUR|1SELL	1SELL|2BEXP|35VULN|456LIT|5BPWR|7DUR|8RCR|9aDMG
15	31221 44531	 * 	264.07	DCR|3LIT|2VULN|2DMG|1DUR|1SELL	1SELL|2DUST|35VULN|456LIT|5BPWR|7DUR|8RCR|9aDMG
16	32225 62631	 * 	263.56	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|27BEXP|357VULN|47LIT|6AART|7BPWR|8RCR|9ERES|aMLV
17	32221 22166	 * 	263.56	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|2BEXP|357VULN|45LIT|5BPWR|6TLV|8RCR|9DMSP|aMLV
18	32221 32166	 * 	263.56	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|2BEXP|357VULN|45LIT|5BPWR|6CGEN|8RCR|9DMSP|aMLV
19	32216 22126	 * 	263.46	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|2BEXP|357VULN|4CGEN|69LIT|8RCR|aMLV
20	32225 22126	 * 	263.46	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|2BEXP|357VULN|49LIT|6TLV|8RCR|aMLV
21	32225 32126	 * 	263.46	DCR|2LIT|3VULN|1MLV|1SELL	1SELL|2BEXP|357VULN|49LIT|6CGEN|8RCR|aMLV
22	32225 41611	 * 	261.38	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2BEXP|35VULN|46LIT|7AART|8RCR|9DMG|aMLV
23	32225 63611	 * 	261.38	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2BEXP|35VULN|47LIT|6AART|8RCR|9DMG|aMLV
24	33222 22126	 * 	261.38	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DMG|39LIT|47VULN|5BEXP|6DMSP|8RCR|aMLV
25	33243 32126	 * 	261.38	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DMG|39LIT|4DMSP|57VULN|6LWND|8RCR|aMLV
26	36422 22126	 * 	261.38	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|29LIT|3DMG|47VULN|5BEXP|6DMSP|8RCR|aMLV
27	31221 11611	 * 	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|26DUST|35VULN|45LIT|5BPWR|7AART|8RCR|9DMG|aMLV
28	31225 41611	 * 	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DUST|35VULN|46LIT|7AART|8RCR|9DMG|aMLV
29	33221 22126	 * 	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DMG|39LIT|47VULN|5DUST|6DMSP|8RCR|aMLV
30	33243 62126	 * 	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DMG|39LIT|4DMSP|57VULN|6DUST|8RCR|aMLV
31	36421 22126	 * 	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|29LIT|3DMG|47VULN|5DUST|6DMSP|8RCR|aMLV
32	33221 52126	 * 	261.18	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1SELL|2DMG|39LIT|47VULN|56DUST|8RCR|aMLV
33	33453 12126	 * 	261.18	DCR|2LIT|2VULN|1MLV|1DMG|2DUR|1SELL	1SELL|2DMG|37VULN|46DUR|59LIT|8RCR|aMLV
34	32221 41532	 * 	260.61	DCR|3LIT|3VULN|1CDMG|1SELL	1SELL|2BEXP|357VULN|456LIT|5BPWR|8RCVC|9RCR|aCDMG
35	31221 41532	 * 	260.51	DCR|3LIT|3VULN|1CDMG|1SELL	1SELL|2DUST|357VULN|456LIT|5BPWR|8RCVC|9RCR|aCDMG
36	33323 52127	 * 	257.87	ACR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|26DMG|3RCR|4MBVNT|59LIT|78VULN|aMLV
37	33353 42126	 * 	257.87	ACR|2LIT|2VULN|2DMG|1MLV|1DUR|1SELL	1SELL|26DMG|3RCR|4DUR|59LIT|78VULN|aMLV
38	32221 22132	 * 	257.57	DCR|2LIT|4VULN|1SELL	1SELL|2BEXP|357aVULN|45LIT|5BPWR|6TLV|8RCR|9ZMB
39	36142 24231	 * 	256.82	DCR|3LIT|2VULN|1MLV|1SELL	1SELL|267LIT|3TLV|4DMSP|5MLV|8aVULN|9RCR
40	36226 41133	 * 	256.72	DCR|3LIT|2VULN|1MLV|1SELL	1SELL|256LIT|3ERES|47VULN|8TLV|9RCR|aMLV
41	36543 31132	 * 	256.37	DCR|2LIT|2DMG|1VULN|1MLV|1SELL	1SELL|2aLIT|3LWND|4AART|59DMG|6RCR|7MLV|8VULN
42	32221 22121	 * 	255.70	DCR|3LIT|3VULN|1SELL	1SELL|2BEXP|357VULN|459LIT|5BPWR|6TLV|8RCR|aZMB
43	32221 32121	 * 	255.70	DCR|3LIT|3VULN|1SELL	1SELL|2BEXP|357VULN|459LIT|5BPWR|6CGEN|8RCR|aZMB
44	36642 23232	 * 	255.38	DCR|3LIT|2MLV|1VULN|1CDMG|1SELL	1SELL|236LIT|3BPWR|45MLV|7RMIN|8VULN|9RCR|aCDMG
45	32221 46122	 * 	255.12	DCR|3LIT|2VULN|1MLV|1SELL	1SELL|2BEXP|35VULN|456LIT|5BPWR|7RMIN|8RPLT|9MLV|aRCR
46	26222 22126	 * 	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1NUKE|2CDMG|39LIT|47VULN|5BEXP|6DMSP|8RCR|aMLV
47	26243 32126	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1NUKE|2CDMG|39LIT|4DMSP|57VULN|6LWND|8RCR|aMLV
48	31221 46122	 * 	255.02	DCR|3LIT|2VULN|1MLV|1SELL	1SELL|2DUST|35VULN|456LIT|5BPWR|7RMIN|8RPLT|9MLV|aRCR
49	26221 22126	   	255.01	DCR|2LIT|2VULN|1MLV|1CDMG	1NUKE|2CDMG|39LIT|47VULN|5DUST|6DMSP|8RCR|aMLV
50	26225 12126	   	254.91	DCR|2LIT|2VULN|1MLV|2DUR|1CDMG	1NUKE|2CDMG|39LIT|47VULN|56DUR|8RCR|aMLV
51	32221 41535	 * 	253.90	DCR|3LIT|3VULN|1SELL	1SELL|2BEXP|357VULN|456LIT|5BPWR|8RCVC|9RCR|aZMB
52	33222 42125	 * 	253.82	DCR|2LIT|2VULN|2DMG|1SELL	1SELL|26DMG|39LIT|47VULN|5BEXP|8RCR|aZMB
53	33226 42125	 * 	253.82	DCR|2LIT|2VULN|2DMG|1SELL	1SELL|26DMG|39LIT|47VULN|5LWND|8RCR|aZMB
54	31221 41535	 * 	253.80	DCR|3LIT|3VULN|1SELL	1SELL|2DUST|357VULN|456LIT|5BPWR|8RCVC|9RCR|aZMB
