0	Index      	 *	Score 	Summary	Detail	
1	23355 63113	 * 	300.07	DCR|2LIT|2MLV|3VULN|1CDMG	156BEXP|28MLV|3FEWX|458VULN|58BPWR|78LIT|9CDMG|aRCR
2	54333 13162	 * 	290.15	DCR|1LIT|2VULN|1FLTARM|2DMG|1MLV	1RCVC|29DUST|3LIT|49VULN|5CGEN|6FLTARM|79DMG|8RCR|9BPWR|aMLV
3	26633 11232	 * 	286.64	DCR|2LIT|2MLV|2VULN|1FLTARM	137BEXP|2aLIT|4aVULN|5CGEN|6FLTARM|8aMLV|9RCR|aBPWR
4	12524 24121	 * 	284.91	DCR|2LIT|3VULN|2DMG|1CDMG	18FEWX|25aVULN|38LIT|4AART|68DMG|7RCR|8BPWR|9CDMG
5	12524 24122	   	276.42	DCR|2LIT|2VULN|2DMG|1ASPD|1CDMG	18FEWX|25VULN|38LIT|4AART|68DMG|7RCR|8BPWR|9CDMG|aASPD
6	22532 62621	 * 	276.23	DCR|3MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4FEWX|58aMLV|6MULHEA|78DMG|8BPWR|9RCR
7	12512 62621	   	276.08	DCR|3MLV|1LIT|2VULN|2DMG	1FEWX|28VULN|3LIT|4DUST|58aMLV|6MULHEA|78DMG|8BPWR|9RCR
8	22512 62621	   	276.08	DCR|3MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4DUST|58aMLV|6MULHEA|78DMG|8BPWR|9RCR
9	16221 12421	   	274.61	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7DUR|8DMG|9RCR|aMLV
10	26221 15421	   	274.61	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1BEXP|2LIT|3CGEN|45VULN|6FLTARM|7DUR|8DMG|9RCR|aMLV
11	16221 13111	   	272.56	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7DMG|8RCR|9LHND|aMLV
12	16221 13131	   	272.56	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7DMG|8RCR|9BEXP|aMLV
13	16221 13151	   	272.46	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7DMG|8RCR|9DUST|aMLV
14	12262 34151	 * 	272.18	DCR|3LIT|2MLV|2VULN	167FEWX|28VULN|3LWND|489LIT|58MLV|8BPWR|aRCR
15	13324 63151	   	272.18	DCR|3LIT|2MLV|2VULN	145FEWX|28MLV|3BEXP|68VULN|789LIT|8BPWR|aRCR
16	12524 24112	   	271.26	DCR|2LIT|3VULN|2DMG	189FEWX|25aVULN|38LIT|4AART|68DMG|7RCR|8BPWR
17	22532 62622	   	270.81	DCR|2MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4FEWX|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aERES
18	22532 62623	   	270.81	DCR|2MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4FEWX|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aDLOT
19	16221 11421	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7BEXP|8DMG|9RCR|aMLV
20	16221 14421	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7LWND|8DMG|9RCR|aMLV
21	26221 14421	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1BEXP|2LIT|3CGEN|45VULN|6FLTARM|7LWND|8DMG|9RCR|aMLV
22	16221 13321	   	270.66	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1FEWX|2LIT|3CGEN|45VULN|6FLTARM|7DMG|8DUST|9RCR|aMLV
23	12512 62622	   	270.66	DCR|2MLV|1LIT|2VULN|2DMG	1FEWX|28VULN|3LIT|4DUST|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aERES
24	12512 62623	   	270.66	DCR|2MLV|1LIT|2VULN|2DMG	1FEWX|28VULN|3LIT|4DUST|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aDLOT
25	22512 62622	   	270.66	DCR|2MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4DUST|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aERES
26	22512 62623	   	270.66	DCR|2MLV|1LIT|2VULN|2DMG	1BEXP|28VULN|3LIT|4DUST|58MLV|6MULHEA|78DMG|8BPWR|9RCR|aDLOT
27	36523 43315	 * 	270.30	DCR|1LIT|2VULN|3DMG|1MLV	1BELT|28aDMG|3MBVNT|4aTLV|5LIT|6MLV|7aVULN|9RCR|aBPWR
