0	Index      	 *	Score 	Summary	Detail	
1	44323 62323	 * 	322.14	DCR|2LIT|3VULN|2DMG|1MLV|1ASPD	1RCVC|29aVULN|3ZMB|49LIT|5MLV|6ASPD|79DMG|8RCR|9BPWR
2	33183 84324	 * 	321.23	DCR|3LIT|3VULN|1MLV|1DMG|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aDMG
3	44323 62322	   	303.30	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	1RCVC|29VULN|3aZMB|49LIT|5MLV|6ASPD|79DMG|8RCR|9BPWR
4	36132 22553	 * 	302.51	DCR|2LIT|2MLV|2VULN|2DMG	1MBVNT|28DMG|39MLV|4RPLT|58VULN|68LIT|7AART|8BPWR|aRCR
5	33183 84321	   	301.16	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aFEWX
6	33183 84325	   	301.16	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aLWND
7	33183 84326	   	301.16	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6aRCVC|79BPWR|8RCR
8	33183 84327	   	301.16	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aCGEN
9	33183 84328	   	301.16	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aRPLT
10	33183 84322	   	301.06	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aDUST
11	33183 84323	   	301.06	DCR|3LIT|3VULN|1MLV|3ZMB	1MBVNT|279ZMB|3MLV|479VULN|579LIT|6RCVC|79BPWR|8RCR|aBLAICY
12	44323 62321	   	300.00	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	1RCVC|29VULN|3ZMB|49LIT|5MLV|6ASPD|79DMG|8RCR|9BPWR|aBEXP
13	33183 84383	 * 	293.20	DCR|2LIT|4VULN|1MLV	1MBVNT|27ZMB|3MLV|479aVULN|57LIT|6RCVC|7BPWR|8RCR
