0	Index      	 *	Score 	Summary	Detail	
1	13135 13122	 * 	316.58	DCR|2LIT|4VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|69LIT|8RCR
2	13135 13124	 * 	315.01	DCR|2LIT|3VULN|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|69LIT|8RCR
3	13135 13362	 * 	309.50	DCR|4VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|28DMG|347aVULN|5MLV|6LIT|9RCR
4	13135 13364	 * 	305.99	DCR|3VULN|1LIT|3DMG|1MLV|1ASPD	1ASPD|28aDMG|347VULN|5MLV|6LIT|9RCR
5	13152 63153	 * 	301.48	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG|1CDMG	16ASPD|2DMG|37VULN|4RMIN|56LIT|6BPWR|8RCR|9MLV|aCDMG
6	13135 13121	   	297.42	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|347VULN|5MLV|69LIT|8RCR|aTLV
7	13135 15122	   	297.42	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|34aVULN|5MLV|69LIT|7DMSP|8RCR
8	13135 13123	   	297.32	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|347VULN|5MLV|69LIT|8RCR|aERES
9	13135 13126	   	297.32	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|347VULN|5MLV|69LIT|8RCR|aDUR
10	13135 13136	   	297.32	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|347VULN|5MLV|6aLIT|8RCR|9DUST
11	13135 23356	   	295.62	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|346VULN|5MLV|7FEWX|8aLIT|9RCR
12	13152 63125	 * 	295.17	DCR|3LIT|3VULN|2ASPD|1DMG	16ASPD|2DMG|37aVULN|4RMIN|569LIT|6BPWR|8RCR
13	13135 13111	   	293.71	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|6LIT|8RCR|9LWND
14	13135 13162	   	293.71	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|6LIT|8RCR|9DMSP
15	13152 63362	 * 	293.67	DCR|2LIT|3VULN|2DMG|2ASPD	16ASPD|28DMG|37aVULN|4RMIN|56LIT|6BPWR|9RCR
16	13135 13131	   	293.61	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|6LIT|8RCR|9DUST
17	13135 15124	   	292.87	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	1ASPD|2aDMG|34VULN|5MLV|69LIT|7DMSP|8RCR
18	13135 13112	   	292.13	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|6LIT|8RCR|9LWND
19	13135 13164	   	292.13	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|6LIT|8RCR|9DMSP
20	13135 13132	   	292.03	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|6LIT|8RCR|9DUST
21	13135 13262	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|6LIT|8RCVC|9RCR
22	13135 13651	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|347aVULN|5MLV|6LIT|8LWND|9RCR
23	13135 21551	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|346aVULN|5MLV|7LHND|8LIT|9RCR
24	13135 23351	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|346aVULN|5MLV|7FEWX|8LIT|9RCR
25	13135 26351	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|346aVULN|5MLV|7LWND|8LIT|9RCR
26	13135 24351	   	291.81	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2DMG|346aVULN|5MLV|7DUST|8LIT|9RCR
27	13135 13264	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|6LIT|8RCVC|9RCR
28	13135 13361	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|28DMG|347VULN|5MLV|6LIT|9RCR|aTLV
29	13135 13652	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|347VULN|5MLV|6LIT|8LWND|9RCR
30	13135 15362	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|28DMG|34aVULN|5MLV|6LIT|7DMSP|9RCR
31	13135 21552	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|346VULN|5MLV|7LHND|8LIT|9RCR
32	13135 23352	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|346VULN|5MLV|7FEWX|8LIT|9RCR
33	13135 26352	   	290.33	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|346VULN|5MLV|7LWND|8LIT|9RCR
34	13135 13363	   	290.23	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|28DMG|347VULN|5MLV|6LIT|9RCR|aERES
35	13135 13366	   	290.23	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|28DMG|347VULN|5MLV|6LIT|9RCR|aDUR
36	13135 24352	   	290.23	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1ASPD|2aDMG|346VULN|5MLV|7DUST|8LIT|9RCR
