0	Index      	 *	Score 	Summary	Detail	
1	35513 33315	 * 	277.97	紫橙3易伤1矿等1攻速1平台	1赏金邻近2随机矿3a核4矿等5平台679易伤8攻速
2	31225 51315	 * 	270.95	橙橙2易伤1攻速1暴击1策反	1赏金邻近2策反3敌人爆炸4技能5暴击6a核79易伤8攻速
3	32325 72741	 * 	270.00	橙橙2易伤2攻速	1赏金邻近28攻速3掉矿48最后敌人5加一68易伤7技能8序列升级9a核
4	32225 33841	   	269.90	橙橙2易伤2攻速	1赏金邻近28攻速3敌人爆炸4技能5加一68掉矿78易伤8序列升级9a核
5	32225 43841	   	269.90	橙橙2易伤2攻速	1赏金邻近28攻速3敌人爆炸4技能5加一68技能点78易伤8序列升级9a核
6	35322 51315	   	267.21	橙橙2易伤1攻速1平台	1赏金邻近2随机矿3双倍矿4平台5等级6a核79易伤8攻速
7	31341 77341	 * 	263.52	橙橙2易伤1伤害1策反	1赏金邻近2策反3掉矿4加一5最后敌人67易伤8伤害9a核
8	32235 71844	 * 	262.74	橙3易伤3矿等3攻速	1赏金邻近289攻速3敌人爆炸489矿等5加一689易伤7随机矿89序列升级a核
9	32235 72844	   	262.74	橙3易伤3矿等3攻速	1赏金邻近289攻速3敌人爆炸489矿等5加一689易伤7技能89序列升级a核
10	62343 23621	 * 	262.03	橙橙1易伤1伤害2时间1平台1卖塔	12时间3伤害4卖塔5易伤6a核7平台8赏金塔9金币生成
11	62343 23631	 * 	261.93	橙橙1易伤1伤害2时间1平台1卖塔	12时间3伤害4卖塔5易伤6a核7平台8赏金塔9掉矿
12	32125 73541	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4技能5加一7等级8低血量敌人9a核
13	32125 74241	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4技能5加一7敌人爆炸8等级9a核
14	32125 74441	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4技能5加一7敌人爆炸8随机矿9a核
15	32125 74541	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4技能5加一7敌人爆炸8金币生成9a核
16	32125 83341	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速37易伤4技能5加一6随机矿8基地爆炸9a核
17	32125 83541	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速37易伤4技能5加一6随机矿8低血量敌人9a核
18	32225 77241	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速3敌人爆炸4技能5加一67易伤8等级9a核
19	32225 77441	   	257.45	橙橙2易伤1攻速	1赏金邻近2攻速3敌人爆炸4技能5加一67易伤8随机矿9a核
20	32125 33441	   	257.35	橙橙2易伤1攻速	1赏金邻近2攻速37易伤4技能5加一6掉矿8低血量敌人9a核
21	32125 71441	   	257.35	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4技能5加一7技能点8低血量敌人9a核
22	32162 52251	   	257.35	橙橙2易伤1攻速	1赏金邻近2攻速36易伤4雷电5赏金塔7a核8加农对甲9技能点
23	32163 62251	   	257.35	橙橙2易伤1攻速	1赏金邻近2攻速35易伤4雷电6赏金塔7a核8加农对甲9技能点
24	32325 77341	   	257.25	橙橙2易伤1攻速	1赏金邻近2攻速3掉矿4最后敌人5加一67易伤8核弹9a核
25	31542 13841	   	257.16	橙橙2易伤1攻速2策反	1赏金邻近28策反38等级4加一5敌人爆炸6攻速78易伤8序列升级9a核
26	31342 13841	   	256.96	橙橙2易伤1攻速2策反	1赏金邻近28策反38掉矿4加一5敌人爆炸6攻速78易伤8序列升级9a核
27	35513 31215	   	255.84	紫橙2易伤1矿等1攻速1平台	1赏金邻近28随机矿3a核4矿等5平台69易伤7攻速
28	26611 21115	 * 	255.62	橙橙1易伤1伤害1平台	14金币生成2时间3平台5挖尘6a核7基地爆炸8伤害9易伤
29	21641 21115	   	252.51	橙橙1易伤1伤害2平台	1金币生成2低血量敌人34平台5挖尘6a核7基地爆炸8伤害9易伤
30	36131 32125	   	251.41	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3易伤4寒冰对甲5暴击6敌人爆炸7等级8a核9伤害
31	36111 32125	   	251.31	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3易伤4毒液对黄5暴击6敌人爆炸7等级8a核9伤害
32	36131 52125	   	251.31	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3易伤4寒冰对甲5暴击6掉矿7敌人爆炸8a核9伤害
33	36211 42125	   	251.31	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3敌人爆炸4加农对壮5暴击6易伤7等级8a核9伤害
34	36231 42125	   	251.31	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3敌人爆炸4基础对愈5暴击6易伤7等级8a核9伤害
35	36111 52125	   	251.21	橙橙1易伤1伤害1暴击	1赏金邻近2金币生成3易伤4毒液对黄5暴击6掉矿7敌人爆炸8a核9伤害
36	24343 23325	   	251.06	橙橙1易伤1伤害1攻速1卖塔	18金币生成2技能3伤害4卖塔5易伤6a核7挖尘9攻速
37	24343 21215	   	250.96	橙橙1易伤1伤害1攻速1卖塔	1金币生成2技能3伤害4卖塔5易伤6a核7挖青8双倍秒伤9攻速
38	24343 23215	   	250.96	橙橙1易伤1伤害1攻速1卖塔	1金币生成2技能3伤害4卖塔5易伤6a核7挖尘8双倍秒伤9攻速
39	26611 21215	   	249.21	橙橙1易伤1攻速1平台	14金币生成2时间3平台5挖尘6a核7基地爆炸8易伤9攻速
40	31235 51134	   	248.63	橙橙1易伤1矿等1暴击1策反	1赏金邻近2策反3敌人爆炸4矿等5暴击6a核7易伤8额外掉落9最后敌人
41	31125 31515	   	248.53	橙橙1易伤1矿等1暴击1策反	1赏金邻近2策反3易伤4技能5暴击6爆破对壮7a核8赏金塔9矿等
42	23325 22425	 * 	248.24	紫橙1易伤1伤害1矿等1攻速	1金币生成2技能点3伤害4易伤59核6时间7低血量敌人8攻速a矿等
