0	Index      	 *	Score 	Summary	Detail	
1	31223 24242	 * 	281.55	橙橙2易伤2伤害	1a雷电2a易伤35金币生成47伤害6a挖尘89核a序列升级
2	11526 33251	 * 	281.29	橙橙2易伤2暴击1矿等	14易伤2等级3矿等5双倍秒伤6a核78暴击9雷电
3	31561 23242	 * 	276.94	橙橙2易伤2矿等	1a雷电23易伤4a矿等5技能67a挖尘89核a序列升级
4	31561 23243	   	276.84	橙橙2易伤2矿等	1雷电23易伤4a矿等5技能67挖尘89核
5	31223 24243	   	272.78	橙橙2伤害1易伤1矿等	1雷电2易伤35金币生成47伤害6挖尘89核a矿等
6	32612 62363	   	271.09	橙橙2易伤1矿等1全技能	1雷电2低血量敌人3矿等46易伤5全技能7立即金币8a核9金币生成
7	12112 61584	 * 	270.64	紫橙3易伤1伤害1攻速	16a易伤2核弹3额外掉落48核5攻速7加一9伤害
8	12112 61581	   	266.04	紫橙2易伤1伤害1矿等1攻速	16易伤2核弹3额外掉落48核5攻速7加一9伤害a矿等
9	31213 56242	 * 	265.69	橙橙3易伤2策反	1a雷电24a易伤3金币生成5立即金币6挖尘7a策反89核a序列升级
10	31113 56242	 * 	265.59	橙橙3易伤2策反	1a雷电24a易伤3掉矿5立即金币6挖尘7a策反89核a序列升级
11	31312 26311	   	264.39	橙橙2矿等1易伤1暴击	1雷电2易伤3暴击4敌人爆炸5挖尘68矿等7a核9金币生成
12	31312 26321	   	264.39	橙橙2矿等1易伤1暴击	1雷电2易伤3暴击4敌人爆炸5挖尘68矿等7a核9等级
13	31223 23242	   	263.86	橙橙2易伤1伤害	1a雷电2a易伤35金币生成4伤害67a挖尘89核a序列升级
14	12112 61541	 * 	263.23	紫橙3易伤2攻速	16a易伤2核弹3额外掉落48核5a攻速7加一9a基地爆炸a序列升级
15	12112 61531	   	263.03	紫橙3易伤2攻速	16a易伤2核弹3额外掉落48核5a攻速7加一9a挖尘a序列升级
16	31211 26243	   	261.33	橙橙2易伤1矿等	1雷电24易伤3金币生成57技能6挖尘89核a矿等
17	31111 26243	   	261.23	橙橙2易伤1矿等	1雷电24易伤3掉矿57技能6挖尘89核a矿等
18	31211 23243	   	261.23	橙橙2易伤1矿等	1雷电24易伤3金币生成5技能67挖尘89核a矿等
19	31111 23243	   	261.13	橙橙2易伤1矿等	1雷电24易伤3掉矿5技能67挖尘89核a矿等
20	31552 23243	   	261.13	橙橙2易伤1矿等	1雷电23易伤47挖尘5核弹6金币生成89核a矿等
21	31561 23241	   	261.13	橙橙2易伤1矿等	1雷电23易伤4矿等5技能67挖尘89核a激光对绿
22	31213 56243	   	261.08	橙橙2易伤1矿等1策反	1雷电24易伤3金币生成5立即金币6挖尘7策反89核a矿等
23	31113 56243	   	260.98	橙橙2易伤1矿等1策反	1雷电24易伤3掉矿5立即金币6挖尘7策反89核a矿等
24	15615 12313	 * 	260.54	橙4易伤2伤害1矿等	1378易伤2矿等48敌人爆炸58伤害6赏金邻近8序列升级9时间a核
25	13421 65223	 * 	258.07	橙4易伤2攻速1伤害2时间	1347易伤2基地爆炸57时间67攻速7序列升级8伤害9等级a核
26	33531 36511	   	257.45	橙橙2易伤1暴击	1雷电2掉矿3暴击4最后敌人58易伤6敌人爆炸7a核9金币生成
27	33531 36521	   	257.45	橙橙2易伤1暴击	1雷电2掉矿3暴击4最后敌人58易伤6敌人爆炸7a核9等级
28	31223 24245	   	255.24	橙橙2伤害1易伤	1雷电2易伤35金币生成47伤害6挖尘89核a基地爆炸
29	31223 24246	   	255.24	橙橙2伤害1易伤	1雷电2易伤35金币生成47伤害6挖尘89核a技能
30	31223 24241	   	255.14	橙橙2伤害1易伤	1雷电2易伤35金币生成47伤害6挖尘89核a激光对绿
31	31223 24244	   	255.14	橙橙2伤害1易伤	1雷电2易伤35金币生成47伤害6挖尘89核a爆破对壮
32	31223 23243	   	255.09	橙橙1易伤1伤害1矿等	1雷电2易伤35金币生成4伤害67挖尘89核a矿等
33	31232 16353	   	253.76	橙橙2易伤1全技能	17雷电27易伤3金币生成4低血量敌人5全技能67基地爆炸7序列升级8敌人爆炸9a核
34	31232 64353	   	253.56	橙橙2易伤1全技能	1雷电26易伤3金币生成4低血量敌人5全技能7基地爆炸8敌人爆炸9a核
35	32212 64353	   	253.56	橙橙2易伤1全技能	1雷电2低血量敌人3金币生成46易伤5全技能7基地爆炸8敌人爆炸9a核
36	31511 51353	   	253.46	橙橙2易伤1全技能	1雷电23易伤4基地爆炸5低血量敌人6全技能7技能点8敌人爆炸9a核
37	31533 51353	   	253.36	橙橙2易伤1全技能	1雷电23易伤4低血量敌人5挖尘6全技能7技能点8敌人爆炸9a核
38	12111 51541	 * 	252.64	紫橙2易伤2伤害	1a易伤2核弹35额外掉落48核6a伤害7加一9a基地爆炸a序列升级
39	12116 51541	   	252.64	紫橙2易伤2伤害	1a易伤2核弹3额外掉落48核5立即金币6a伤害7加一9a基地爆炸a序列升级
40	12111 51531	   	252.44	紫橙2易伤2伤害	1a易伤2核弹35额外掉落48核6a伤害7加一9a挖尘a序列升级
41	12116 51531	   	252.44	紫橙2易伤2伤害	1a易伤2核弹3额外掉落48核5立即金币6a伤害7加一9a挖尘a序列升级
42	11615 32253	 * 	251.59	橙5易伤2伤害	13789易伤2等级47敌人爆炸57伤害6立即金币7序列升级a核
