0	Index      	 *	Score 	Summary	Detail	
1	41222 53511	 * 	277.24	橙橙1易伤1伤害1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a伤害
2	13611 22216	 * 	274.88	橙橙2易伤1矿等1攻速	1激光减费2雷电3矿等47易伤5基地爆炸6a核8掉矿9攻速
3	13615 22216	   	274.88	橙橙2易伤1矿等1攻速	1激光减费2雷电3矿等47易伤5低血量敌人6a核8掉矿9攻速
4	13615 22121	   	270.89	橙橙2易伤1矿等1平台	1激光减费2雷电3矿等47易伤5低血量敌人6a核8平台9基础对冰
5	13315 22266	 * 	263.66	橙橙2易伤1伤害	1激光减费2雷电3技能点47易伤5低血量敌人6a核8掉矿9伤害
6	41222 53521	 * 	263.49	橙橙1易伤2暴击1矿等	1a暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸
7	41222 53531	   	263.39	橙橙1易伤2暴击1矿等	1a暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘
8	62253 11161	 * 	262.77	紫橙3易伤1矿等	1时间2敌人爆炸3矿等4a核569易伤7掉矿8技能点
9	53111 22216	   	257.45	橙橙2易伤1攻速	13金币生成2雷电47易伤5基地爆炸6a核8掉矿9攻速
10	53115 22216	   	257.45	橙橙2易伤1攻速	13金币生成2雷电47易伤5低血量敌人6a核8掉矿9攻速
11	13311 22216	   	257.25	橙橙2易伤1攻速	1激光减费2雷电3技能点47易伤5基地爆炸6a核8掉矿9攻速
12	13315 22216	   	257.25	橙橙2易伤1攻速	1激光减费2雷电3技能点47易伤5低血量敌人6a核8掉矿9攻速
13	41222 53523	   	257.18	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸a技能
14	41222 53512	   	257.08	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a挖青
15	41222 53513	   	257.08	橙橙1易伤1矿等1暴击1策反	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a策反
16	41222 53522	   	257.08	橙橙1易伤1矿等1暴击1挖怪	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸a挖怪
17	41222 53533	   	257.08	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘a技能
18	41222 53532	   	256.98	橙橙1易伤1矿等1暴击1挖怪	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘a挖怪
19	42622 53321	   	256.94	橙橙1易伤1矿等1暴击1策反	1暴击2策反3随机矿4矿等5易伤6a核7低血量敌人8时间9雷电
20	61223 23366	 * 	253.86	橙橙2矿等1伤害2时间	18时间2低血量敌人38矿等48雷电5立即金币6a核7随机矿8序列升级9伤害
21	24362 52112	 * 	253.48	紫橙1易伤1伤害1矿等1攻速1暴击	1毒液对黄2a核3挖尘4易伤5暴击6最后敌人7攻速8伤害9矿等
22	53115 22121	   	253.46	橙橙2易伤1平台	13金币生成2雷电47易伤5低血量敌人6a核8平台9基础对冰
23	24362 22112	   	253.38	紫橙1易伤1伤害1矿等1攻速1暴击	1毒液对黄2a核3挖尘4易伤5暴击6挖青7攻速8伤害9矿等
24	13315 22121	   	253.26	橙橙2易伤1平台	1激光减费2雷电3技能点47易伤5低血量敌人6a核8平台9基础对冰
25	41463 13321	   	253.20	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4基地爆炸5攻速6技能点7a核8随机矿9雷电
26	41433 13321	   	253.10	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8随机矿9雷电
27	41433 13421	   	253.10	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8金币生成9雷电
28	65433 13321	   	253.10	橙橙1易伤1攻速1暴击	1时间2暴击3易伤4挖尘5攻速6技能点7a核8随机矿9雷电
29	41433 13511	   	253.00	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8雷电9掉矿
30	61421 14144	   	252.99	橙橙1易伤1矿等1平台	1时间2低血量敌人3易伤4基础对冰5基地爆炸6加一7矿等89核a平台
31	23551 22222	   	252.00	橙橙2易伤	1毒液对黄2双倍秒伤3a易伤4时间5雷电6敌人爆炸7技能89核
32	54111 32261	   	252.00	橙橙2易伤	1金币生成24基地爆炸38挖尘5时间69易伤7a核
33	62424 12222	   	252.00	橙橙2易伤	1时间2敌人爆炸3a易伤4基础对冰5双倍秒伤6雷电7技能89核
34	44621 32112	   	251.21	橙橙1易伤1伤害1暴击	1暴击2敌人爆炸3伤害4狙击对黄5技能点6a核7技能8最后敌人9易伤
35	13611 23523	   	249.98	橙橙1易伤1矿等2时间	1激光减费2雷电3矿等4易伤5基地爆炸69核7额外掉落8a时间
36	61421 14141	   	249.88	橙橙1易伤1矿等2时间	1a时间2低血量敌人3易伤4基础对冰5基地爆炸6加一7矿等89核
37	61153 21421	   	248.34	紫橙1易伤1伤害1矿等1暴击	1时间2低血量敌人3伤害4a核5易伤6矿等7暴击8金币生成9雷电
38	62153 21321	   	248.34	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8随机矿9雷电
39	62153 21421	   	248.34	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8金币生成9雷电
40	62256 21321	   	248.34	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3矿等4a核5伤害6易伤7暴击8随机矿9雷电
41	61153 21511	   	248.24	紫橙1易伤1伤害1矿等1暴击	1时间2低血量敌人3伤害4a核5易伤6矿等7暴击8雷电9掉矿
42	62153 21511	   	248.24	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8雷电9掉矿
43	42533 13112	   	248.00	紫橙1易伤1伤害1矿等1暴击1策反	1暴击2策反3时间4最后敌人5a核6易伤7基础对冰8伤害9矿等
44	61223 23316	   	247.45	橙橙2矿等2时间1攻速	18时间2低血量敌人38矿等48雷电5立即金币6a核7随机矿8序列升级9攻速
45	62223 23316	   	247.45	橙橙2矿等2时间1攻速	18时间2敌人爆炸38矿等48雷电5立即金币6a核7随机矿8序列升级9攻速
