0	Index      	 *	Score 	Summary	Detail	
1	31323 46351	 * 	246.67	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG|1DUR	12DMG|3CDMG|45VULN|6DUR|7RCR|8ASPD|9AART|aMDPS
2	31441 65233	 * 	243.24	DCR|3DMG|2VULN|2AART|2ASPD|1AAC	129DMG|3MBVNT|49VULN|5AAC|68AART|79ASPD|9BPWR|aRCR
3	33324 41213	 * 	242.89	DCR|4VULN|2DMG|1AART|2DUR|1ZMB	1aDMG|278aVULN|3DUST|4ZMB|5aDUR|6RCR|9AART|aBPWR
4	33324 41113	 * 	242.70	DCR|3VULN|3DMG|1AART|2DUR|1ZMB	18aDMG|27aVULN|3DUST|4ZMB|5aDUR|6RCR|9AART|aBPWR
5	22362 21423	 * 	242.09	DCR|3DMG|3ASPD|2VULN|1AART	135DUST|27aASPD|47aDMG|6AART|7aBPWR|8aVULN|9RCR
6	31424 37524	 * 	241.88	DCR|3DMG|2VULN|2ASPD|1NUKE|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9MLV|aNUKE
7	31323 46333	 * 	240.73	DCR|3VULN|2DMG|1MDPS|1ASPD|1CDMG|1DUR	12DMG|3CDMG|459VULN|6DUR|7RCR|8ASPD|aMDPS
8	31323 46334	 * 	237.75	DCR|4VULN|2DMG|1ASPD|1CDMG|1DUR	12DMG|3CDMG|459aVULN|6DUR|7RCR|8ASPD
9	31131 23433	 * 	234.59	DCR|3VULN|3DMG|1AART|2CDMG	129DMG|3RMIN|459VULN|69CDMG|7AART|8RPLT|9BPWR|aRCR
10	31323 46352	   	233.09	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	12DMG|3CDMG|45VULN|6aDUR|7RCR|8ASPD|9AART
11	23525 63313	 * 	232.68	DCR|3VULN|2AART|2DMG|2ZMB	137DUST|23aVULN|3aBPWR|49AART|5aZMB|6RCR|8aDMG
12	31426 43326	   	230.78	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	129DMG|3MBVNT|49ZMB|5CDMG|6RCR|7BEXP|89VULN|9BPWR|aAART
13	31426 44326	   	230.78	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	129DMG|3MBVNT|49ZMB|5CDMG|6RCR|7FEWX|89VULN|9BPWR|aAART
14	31343 46333	 * 	230.32	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD|1DUR	12DMG|34CDMG|59VULN|6DUR|7RCR|8ASPD|aMDPS
15	33324 45213	   	230.26	DCR|3VULN|2DMG|1AART|2DUR|2ZMB	1aDMG|28aVULN|3DUST|47ZMB|5aDUR|6RCR|9AART|aBPWR
16	32322 41213	   	229.34	DCR|4VULN|2DMG|1AART|1ZMB	1aDMG|2aFEWX|3DUST|4ZMB|578aVULN|6RCR|9AART|aBPWR
17	32322 41113	   	229.15	DCR|3VULN|3DMG|1AART|1ZMB	18aDMG|2aFEWX|3DUST|4ZMB|57aVULN|6RCR|9AART|aBPWR
18	31323 46332	   	228.67	DCR|3VULN|2DMG|1ASPD|1CDMG|1AAC|1DUR	12DMG|3CDMG|459VULN|6DUR|7RCR|8ASPD|aAAC
19	33324 42213	   	228.65	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	1aDMG|28aVULN|3DUST|4ZMB|5aDUR|6RCR|7RCVC|9AART|aBPWR
20	31424 34717	 * 	228.65	DCR|3VULN|3DMG|1ASPD|2ZMB	129DMG|3MBVNT|49ZMB|5ASPD|6RCR|7LIT|89aVULN|9BPWR
21	31424 37522	   	228.59	DCR|3DMG|2VULN|2ASPD|1AAC|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9MLV|aAAC
22	31323 23321	   	228.19	DCR|2VULN|2AART|2DMG|1CDMG|1ZMB|1DUR	12DMG|3CDMG|45VULN|6ZMB|79AART|8DUR|aRCR
23	33324 45113	   	228.08	DCR|3DMG|2VULN|1AART|2DUR|2ZMB	18aDMG|2aVULN|3DUST|47ZMB|5aDUR|6RCR|9AART|aBPWR
24	33113 54231	   	227.88	DCR|2VULN|2AART|2DMG|2ASPD	19DMG|25VULN|359LWND|4RMIN|59BPWR|68AART|79ASPD|aRCR
25	33413 54231	   	227.88	DCR|2VULN|2AART|2DMG|2ASPD	19DMG|25VULN|359FEWX|4RMIN|59BPWR|68AART|79ASPD|aRCR
26	31323 46353	   	227.85	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	12DMG|3CDMG|45VULN|6DUR|7RCR|8ASPD|9AART|aAME
27	31323 24221	   	227.54	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	12DMG|3CDMG|45aVULN|6ZMB|7RCR|8DLOT|9AART
28	41461 12342	 * 	227.07	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1AART|2RMIN|39CDMG|4BEXP|5MBVNT|69VULN|7RCR|89DMG|9BPWR|aASPD
29	33461 53223	   	226.98	DCR|3VULN|2AART|2DMG|2ZMB	1aDMG|24aVULN|348FEWX|4aBPWR|5aZMB|67AART|9RCR
30	33361 53623	   	226.68	DCR|3VULN|2AART|2DMG|2ZMB	1aDMG|24aVULN|348DUST|4aBPWR|5aZMB|67AART|9RCR
