0	Index      	 *	Score 	Summary	Detail	
1	32313 43237	 * 	233.23	DCR|3VULN|3DMG|1ASPD|1NUKE	145VULN|246DMG|3MBVNT|4BPWR|7ASPD|8RMIN|9RCR|aNUKE
2	32313 27551	 * 	232.97	DCR|3VULN|2DMG|1MDPS|1AART|1AAC|1DUR	145VULN|24DMG|3MBVNT|4BPWR|6DUR|7AART|8RCR|9AAC|aMDPS
3	32313 32355	 * 	229.57	DCR|4VULN|3DMG|1CDMG|1ZMB	1459VULN|249DMG|3MBVNT|49BPWR|6ZMB|7CDMG|89LWND|aRCR
4	32313 32755	   	229.57	DCR|4VULN|3DMG|1CDMG|1ZMB	1459VULN|249DMG|3MBVNT|49BPWR|6ZMB|7CDMG|89LHND|aRCR
5	32313 32855	   	229.57	DCR|4VULN|3DMG|1CDMG|1ZMB	1459VULN|249DMG|3MBVNT|49BPWR|6ZMB|7CDMG|89FEWX|aRCR
6	32313 27287	 * 	228.67	DCR|3VULN|2DMG|1AART|1ASPD|2DUR	145VULN|24DMG|3MBVNT|4BPWR|69DUR|7AART|8ASPD|aRCR
7	32313 27543	 * 	228.46	DCR|4VULN|2DMG|1AART|2DUR	145aVULN|24DMG|3MBVNT|4BPWR|69DUR|7AART|8RCR
8	32313 27511	   	226.19	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	145VULN|24DMG|3MBVNT|4BPWR|6DUR|7AART|8RCR|9MLV|aMDPS
9	32313 27571	   	226.19	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	145VULN|24DMG|3MBVNT|4BPWR|6DUR|7AART|8RCR|9AME|aMDPS
10	32314 57461	 * 	225.87	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1ZMB	14VULN|24DMG|3MBVNT|4BPWR|5ZMB|6AME|7AART|8CDMG|9RCR|aASPD
11	32313 44655	 * 	225.61	DCR|4VULN|3DMG|1MDPS	1459VULN|246DMG|3MBVNT|4BPWR|7DMSP|8RCR|aMDPS
12	32313 17551	   	224.66	DCR|3VULN|2DMG|1MDPS|1AART|1AAC	145VULN|24DMG|3MBVNT|4BPWR|6BEXP|7AART|8RCR|9AAC|aMDPS
13	31525 53231	 * 	224.46	DCR|4VULN|2DMG|1MDPS|1AART|2DUR	1467VULN|2MDPS|37DUR|57DMG|7BPWR|8TLV|9AART|aRCR
