0	Index      	 *	Score 	Summary	Detail	
1	11136 32163	 * 	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39aVULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR
2	35235 43232	 * 	210.38	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	13VULN|2RCVC|489CDMG|5AART|6RCR|7DUR|aASPD
3	32463 26123	 * 	206.54	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	18VULN|28FEWX|3LWND|4CDMG|5MBVNT|68ASPD|7RCR|8BPWR|9ZMB|aAART
4	35235 43231	 * 	206.39	DCR|2VULN|2AART|3CDMG|1DUR	13VULN|2RCVC|489CDMG|5aAART|6RCR|7DUR
5	35235 43132	   	203.33	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13VULN|2RCVC|49CDMG|5AART|6RCR|7DUR|8CGEN|aASPD
6	35235 43212	   	203.33	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13VULN|2RCVC|48CDMG|5AART|6RCR|7DUR|9CGEN|aASPD
7	13136 32161	 * 	202.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79aDUR|8RCR|9BPWR
8	11136 32161	   	202.41	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79aDUR|8RCR|9BPWR
9	35235 43221	 * 	202.09	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	13VULN|2RCVC|48CDMG|5AART|6RCR|7DUR|9LWND|aMDPS
10	32463 26122	 * 	200.59	DCR|3VULN|2ASPD|1CDMG|1ZMB	18aVULN|28FEWX|3LWND|4CDMG|5MBVNT|68ASPD|7RCR|8BPWR|9ZMB
11	31263 22146	 * 	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	14VULN|2ERES|3ASPD|5DMSP|6CDMG|7MULARM|8RCR|9DMG|aAART
12	31261 22146	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	14VULN|25ERES|3ASPD|6CDMG|7MULARM|8RCR|9DMG|aAART
