0	Index      	 *	Score 	Summary	Detail	
1	21236 44323	 * 	210.60	DCR|3ASPD|2VULN|1AART|1DMG|1SELL	1BEXP|23aASPD|45VULN|6SELL|7AART|8RCR|9DMG
2	21231 36526	 * 	210.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1BEXP|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aAART
3	31231 36526	   	210.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1DUST|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aAART
4	25331 36351	 * 	209.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
5	35331 36351	   	209.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
6	11263 16523	 * 	207.94	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|28AME|38ERES|4CDMG|579VULN|68ASPD|8BPWR|aRCR
7	13342 35363	 * 	207.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|2BEXP|3LIT|4ASPD|5CDMG|6DUR|7RCR|8aDMG|9VULN
8	13633 55221	   	207.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2BEXP|34DMG|5DUR|6RPLT|7RCR|8ASPD|9CDMG|aVULN
9	25336 51111	 * 	207.12	DCR|3VULN|2DMG|1AART|1DUR|1SELL	1BEXP|23DMG|45aVULN|6DUR|7SELL|8RCR|9AART
10	35336 31111	 * 	207.02	DCR|3VULN|2DMG|1AART|1DUR|1SELL	1DUST|23DMG|45aVULN|6DUR|7SELL|8RCR|9AART
11	21231 36351	   	206.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1BEXP|23ASPD|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
12	31231 36351	   	206.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1DUST|23ASPD|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
13	21231 36352	 * 	206.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23ASPD|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG|aDMG
14	31231 36352	   	206.02	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|23ASPD|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG|aDMG
15	21236 51112	   	205.98	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	1BEXP|23ASPD|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
16	51236 51112	   	205.98	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	1FEWX|23ASPD|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
17	31236 31112	   	205.88	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	1DUST|23ASPD|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
18	25242 51111	   	205.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1BEXP|24DMG|3ASPD|5CGEN|6DUR|7CDMG|8RCR|9AART|aVULN
19	25243 51111	   	205.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1BEXP|24DMG|3ASPD|5RMIN|6DUR|7CDMG|8RCR|9AART|aVULN
20	13633 15221	   	205.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2BEXP|34DMG|5DUR|6ASPD|7RPLT|8RCR|9CDMG|aVULN
21	35242 31111	   	205.36	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1DUST|24DMG|3ASPD|5CGEN|6DUR|7CDMG|8RCR|9AART|aVULN
22	35243 31111	   	205.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1DUST|24DMG|3ASPD|5RMIN|6DUR|7CDMG|8RCR|9AART|aVULN
23	35244 31111	   	205.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1DUST|24DMG|3ASPD|5ERES|6DUR|7CDMG|8RCR|9AART|aVULN
24	25331 36352	 * 	205.08	DCR|3DMG|1VULN|1AART|1CDMG|1ZMB	1BEXP|23aDMG|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG
25	35331 36352	   	204.98	DCR|3DMG|1VULN|1AART|1CDMG|1ZMB	1DUST|23aDMG|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG
26	25336 51112	 * 	204.94	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1BEXP|23aDMG|45VULN|6DUR|7SELL|8RCR|9AART
27	35336 31112	 * 	204.84	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1DUST|23aDMG|45VULN|6DUR|7SELL|8RCR|9AART
28	21231 36524	 * 	204.31	DCR|3VULN|2ASPD|1DMG|1ZMB	1BEXP|23ASPD|49aVULN|5MLV|6ZMB|7RCR|8DMG
29	25331 36522	 * 	204.26	DCR|3DMG|2VULN|1MDPS|1ZMB	1BEXP|238DMG|49VULN|5MLV|6ZMB|7RCR|aMDPS
30	31231 36524	   	204.21	DCR|3VULN|2ASPD|1DMG|1ZMB	1DUST|23ASPD|49aVULN|5MLV|6ZMB|7RCR|8DMG
31	35331 36522	   	204.16	DCR|3DMG|2VULN|1MDPS|1ZMB	1DUST|238DMG|49VULN|5MLV|6ZMB|7RCR|aMDPS
32	21236 51111	   	203.75	DCR|3VULN|2ASPD|1AART|1DUR|1SELL	1BEXP|23ASPD|45aVULN|6DUR|7SELL|8RCR|9AART
33	51236 51111	   	203.75	DCR|3VULN|2ASPD|1AART|1DUR|1SELL	1FEWX|23ASPD|45aVULN|6DUR|7SELL|8RCR|9AART
34	31236 31111	   	203.65	DCR|3VULN|2ASPD|1AART|1DUR|1SELL	1DUST|23ASPD|45aVULN|6DUR|7SELL|8RCR|9AART
35	21231 36523	 * 	202.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1BEXP|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aCDMG
36	31231 36523	   	202.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1DUST|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aCDMG
37	21542 51111	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|25ASPD|3MLV|4DMG|6DUR|7CDMG|8RCR|9AART|aVULN
38	24242 51111	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2MLV|35ASPD|4DMG|6DUR|7CDMG|8RCR|9AART|aVULN
39	31236 31166	   	202.07	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR|1SELL	1DUST|23ASPD|45VULN|6DUR|7SELL|8RCR|9CDMG|aAART
40	31542 31111	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DUST|25ASPD|3MLV|4DMG|6DUR|7CDMG|8RCR|9AART|aVULN
41	34242 31111	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2MLV|35ASPD|4DMG|6DUR|7CDMG|8RCR|9AART|aVULN
42	35222 31111	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMG|35ASPD|4MLV|6DUR|7CDMG|8RCR|9AART|aVULN
43	13234 15362	 * 	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2BEXP|3CDMG|4LIT|59VULN|6AAC|7RCR|8DMG|aASPD
44	13341 22346	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2BEXP|3LIT|4ASPD|5DUST|68VULN|7RCR|9CDMG|aDMG
45	21122 35226	 * 	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2ASPD|3LHND|4RPLT|5AART|6aVULN|79DMG|8RCR
46	11263 16623	 * 	201.05	DCR|3VULN|1AART|2CDMG|1ASPD	1AART|2AME|3ERES|48CDMG|579VULN|6ASPD|aRCR
47	35336 25131	 * 	199.89	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DUST|23DMG|45VULN|7CDMG|8ASPD|9ZMB|aRCR
48	35266 31111	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16DUST|2DMG|3ASPD|4RMIN|5aVULN|7CDMG|8RCR|9AART
49	35266 31133	 * 	199.53	DCR|1MDPS|2DMG|1VULN|2CDMG|1ASPD	169DUST|29DMG|3ASPD|4RMIN|5VULN|79CDMG|8RCR|9BPWR|aMDPS
50	25336 21111	 * 	198.71	DCR|3VULN|2DMG|1AART|1SELL	1BEXP|23DMG|45aVULN|6DUST|7SELL|8RCR|9AART
51	35336 42111	 * 	198.71	DCR|3VULN|2DMG|1AART|1SELL	1DUST|23DMG|45aVULN|6SELL|7BEXP|8RCR|9AART
52	55336 21111	 * 	198.71	DCR|3VULN|2DMG|1AART|1SELL	1FEWX|23DMG|45aVULN|6DUST|7SELL|8RCR|9AART
53	35222 31164	 * 	198.28	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1DUR	1DUST|2DMG|35ASPD|4MLV|6DUR|7CDMG|8RCR|9VULN|aNUKE
54	13345 16211	 * 	198.13	DCR|2VULN|2AART|2ASPD	17AART|2aBEXP|3aLIT|48ASPD|5LWND|6RCR|9aVULN|aBPWR
55	13234 23661	 * 	198.08	DCR|2DMG|3CDMG|1AART|1VULN|1DUR	1AART|28BEXP|368CDMG|4LIT|5VULN|78DMG|8BPWR|9RCR|aDUR
56	13345 16212	   	197.93	DCR|2VULN|2AART|2ASPD	17AART|2BEXP|3LIT|48ASPD|5LWND|6RCR|9aVULN
57	13341 22341	 * 	197.86	DCR|2VULN|2AART|1ASPD|1CDMG	1aAART|2BEXP|3LIT|4ASPD|5DUST|68VULN|7RCR|9CDMG
58	15341 22341	   	197.86	DCR|2VULN|2AART|1ASPD|1CDMG	1aAART|2FEWX|3LIT|4ASPD|5DUST|68VULN|7RCR|9CDMG
59	34222 21343	 * 	197.83	DCR|2VULN|2DMG|2ASPD	1aDUST|2MLV|3aASPD|4BASFIG|59VULN|6RCR|7RCVC|8aDMG|aBPWR
60	36222 21343	   	197.83	DCR|2VULN|2DMG|2ASPD	1aDUST|2AME|3aASPD|4BASFIG|59VULN|6RCR|7RCVC|8aDMG|aBPWR
61	25242 51112	 * 	197.76	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1BEXP|24DMG|3ASPD|5CGEN|6DUR|7CDMG|8RCR|9aAART
62	32222 21343	   	197.73	DCR|2VULN|2DMG|2ASPD	1aDUST|2TLV|3aASPD|4BASFIG|59VULN|6RCR|7RCVC|8aDMG|aBPWR
63	13235 35363	   	197.73	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2BEXP|3CDMG|4LIT|5ZMB|6DUR|7RCR|8aDMG|9VULN
64	21236 44322	   	197.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1BEXP|23ASPD|45VULN|6SELL|7AART|8RCR|9DMG|aRPLT
65	21336 44323	   	197.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1BEXP|2aASPD|3AELBLL|45VULN|6SELL|7AART|8RCR|9DMG
66	51236 42112	   	197.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1FEWX|23ASPD|45VULN|6SELL|7BEXP|8RCR|9AART|aDMG
67	35242 31112	   	197.66	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1DUST|24DMG|3ASPD|5CGEN|6DUR|7CDMG|8RCR|9aAART
68	21236 21112	   	197.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1BEXP|23ASPD|45VULN|6DUST|7SELL|8RCR|9AART|aDMG
69	31236 42112	   	197.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1DUST|23ASPD|45VULN|6SELL|7BEXP|8RCR|9AART|aDMG
70	51236 21112	   	197.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1FEWX|23ASPD|45VULN|6DUST|7SELL|8RCR|9AART|aDMG
71	21236 44321	   	197.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL|1MSE	1BEXP|23ASPD|45VULN|6SELL|7AART|8RCR|9DMG|aMSE
72	35244 31112	   	197.56	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1DUST|24DMG|3ASPD|5ERES|6DUR|7CDMG|8RCR|9aAART
73	25241 51111	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5LHND|6RMIN|7CDMG|8RCR|9AART|aVULN
74	25242 31131	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5CGEN|6LHND|7CDMG|8RCR|9AART|aVULN
75	25243 31111	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5RMIN|6LHND|7CDMG|8RCR|9AART|aVULN
76	55242 31131	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1FEWX|24DMG|3ASPD|5CGEN|6LHND|7CDMG|8RCR|9AART|aVULN
77	55243 31111	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1FEWX|24DMG|3ASPD|5RMIN|6LHND|7CDMG|8RCR|9AART|aVULN
78	13631 15221	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2BEXP|34DMG|5DUST|6ASPD|7RPLT|8RCR|9CDMG|aVULN
79	13635 15221	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2BEXP|34DMG|5LEGI|6ASPD|7RPLT|8RCR|9CDMG|aVULN
80	25242 21111	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5CGEN|6DUST|7CDMG|8RCR|9AART|aVULN
81	25243 21111	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5RMIN|6DUST|7CDMG|8RCR|9AART|aVULN
82	25244 31131	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5ERES|6LHND|7CDMG|8RCR|9AART|aVULN
83	35241 51111	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1DUST|24DMG|3ASPD|5LHND|6RMIN|7CDMG|8RCR|9AART|aVULN
84	55242 21111	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1FEWX|24DMG|3ASPD|5CGEN|6DUST|7CDMG|8RCR|9AART|aVULN
85	55243 21111	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1FEWX|24DMG|3ASPD|5RMIN|6DUST|7CDMG|8RCR|9AART|aVULN
86	35522 21314	 * 	197.04	DCR|3VULN|3DMG	1aDUST|28aDMG|3MLV|4BASFIG|59aVULN|6RCR|7RCVC|aBPWR
