0	Index      	 *	Score 	Summary	Detail	
1	61111 26413	 * 	220.78	DCR|3VULN|2DMG|1AART|1ASPD|1AAC|1SELL	169VULN|29DUST|3AAC|4SELL|5AART|7RCR|89DMG|9BPWR|aASPD
2	64121 42313	 * 	217.87	DCR|4VULN|1AART|1ASPD|1CDMG|1DUR	1256VULN|2BPWR|3ASPD|4AART|7DUR|8CDMG|9RPLT|aRCR
3	64121 16132	   	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	1258VULN|2BPWR|3ASPD|4AART|6BEXP|7DUST|9RCR|aCDMG
4	24272 21634	 * 	211.28	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9SPLREG|aAART
5	64321 63132	   	210.15	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1258VULN|2BPWR|3ZMB|4AART|6DUR|7BEXP|9RCR|aCDMG
6	64121 11413	 * 	207.94	DCR|3VULN|2ASPD|1AART|1CDMG	125VULN|2BPWR|38ASPD|4AART|6BEXP|7CDMG|9RPLT|aRCR
7	64321 22116	 * 	207.56	DCR|4VULN|3ZMB|1AART|1DUR	1258VULN|2BPWR|369ZMB|4AART|7DUR|aRCR
8	24272 21633	 * 	207.56	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9SPLREG|aDMG
9	61111 26411	 * 	206.89	DCR|3VULN|2DMG|2AAC|1AART|1SELL	169VULN|29DUST|3aAAC|4SELL|5AART|7RCR|89DMG|9BPWR
10	62242 11136	 * 	205.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	18VULN|2AME|3LIT|4ASPD|59DMG|6RCR|7MDPS|aAART
11	61612 14132	   	205.06	DCR|4VULN|1AART|1CDMG|2ZMB	1678VULN|2DUST|3BEXP|46ZMB|5AART|6BPWR|9RCR|aCDMG
12	63124 12141	 * 	204.62	DCR|3VULN|3ASPD|1MDPS|1AART	178VULN|26AELBLL|369ASPD|4AART|5MDPS|6BPWR|aRCR
13	64121 22234	   	203.95	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	125VULN|2BPWR|3ASPD|4AART|6ZMB|7LHND|8AAC|9CDMG|aRCR
14	64321 12234	 * 	203.95	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	125VULN|2BPWR|3ZMB|4AART|6BEXP|7DMG|8AAC|9CDMG|aRCR
15	61111 26423	 * 	203.09	DCR|3VULN|1AART|1ASPD|1DMG|1AAC|1SELL	169VULN|2DUST|3AAC|4SELL|5AART|7RCR|8DMG|aASPD
16	24272 23236	   	202.31	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7DUR|8RCR|9FEWX|aAART
17	24272 24226	   	202.31	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7BEXP|8RCR|9DUR|aAART
18	63121 42313	   	202.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	156VULN|2AELBLL|3ASPD|4AART|7DUR|8CDMG|9RPLT|aRCR
19	33212 34132	   	201.84	DCR|4VULN|1AART|1CDMG|1ZMB	1LWND|2678VULN|3BEXP|4ZMB|5AART|9RCR|aCDMG
20	64121 61322	   	201.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	125VULN|2BPWR|3ASPD|4AART|6DUR|7CDMG|8MBVNT|9ERES|aRCR
21	64121 61332	   	201.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	125VULN|2BPWR|3ASPD|4AART|6DUR|7CDMG|8MBVNT|9TLV|aRCR
22	61612 34132	   	201.74	DCR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2DUST|3BEXP|4ZMB|5AART|9RCR|aCDMG
23	64321 16132	   	201.74	DCR|4VULN|1AART|1CDMG|1ZMB	1258VULN|2BPWR|3ZMB|4AART|6BEXP|7DUST|9RCR|aCDMG
24	64325 12142	   	201.74	DCR|4VULN|1AART|1CDMG|1ZMB	1278VULN|2BPWR|3ZMB|4AART|5LWND|6MBVNT|9RCR|aCDMG
25	61111 26412	 * 	200.71	DCR|3VULN|2DMG|1AART|1AAC|1SELL	169VULN|29DUST|3AAC|4SELL|5AART|7RCR|89DMG|9BPWR|aBELT
26	24272 21623	   	200.63	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9DMG|aMLV
27	24272 21624	   	200.63	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9DMG|aLIT
28	24272 21621	   	200.53	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9DMG|aTLV
29	24272 21622	   	200.53	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7ZMB|8RCR|9DMG|aDUST
