0	Index      	 *	Score 	Summary	Detail	
1	63224 12316	 * 	222.09	2SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	19SPLARM|2LIT|39VULN|4DMG|5ASPD|68AART|79CGEN|9BPWR|aMDPS
2	66211 31512	 * 	220.19	DCR|2SPLARM|3VULN|1MDPS|1AART|1DUR	18SPLARM|2DUR|3BELT|48CGEN|568VULN|7RCR|8BPWR|9AART|aMDPS
3	25116 33134	 * 	218.82	DCR|3VULN|2AART|1DMG|1ZMB	1LWND|25AART|39aVULN|4RMIN|6RCR|7DMG|8ZMB
4	12331 42256	 * 	217.36	DCR|3DMG|2VULN|2AART|1DUR	19CGEN|239DMG|4TSLFST|5DUR|67AART|89VULN|9BPWR|aRCR
5	25136 33134	   	211.88	DCR|3VULN|2AART|1DMG|1ZMB	1LWND|25AART|39aVULN|4AME|6RCR|7DMG|8ZMB
6	25126 33134	   	211.78	DCR|3VULN|2AART|1DMG|1ZMB	1LWND|25AART|39aVULN|4ERES|6RCR|7DMG|8ZMB
7	66231 31523	 * 	210.99	DCR|3SPLARM|4VULN|3ZMB|1DUR	18aSPLARM|2DUR|3BELT|48aZMB|568aVULN|7RCR|8aBPWR|9LEGI
8	66231 31513	   	210.69	DCR|2SPLARM|3VULN|1AART|2DUR|2ZMB	18SPLARM|2aDUR|3BELT|48ZMB|568VULN|7RCR|8BPWR|9AART
9	12554 33232	 * 	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18CGEN|2DMG|3DUR|49aVULN|5AART|6RCR|7CDMG
10	66231 31512	   	209.86	DCR|2SPLARM|3VULN|1MDPS|1AART|2ZMB|1DUR	18SPLARM|2DUR|3BELT|48ZMB|568VULN|7RCR|8BPWR|9AART|aMDPS
11	12554 33231	 * 	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18CGEN|2aDMG|3DUR|49VULN|5AART|6RCR|7CDMG
12	25116 32363	 * 	208.48	DCR|3VULN|2AART|1ASPD	1LWND|25AART|39aVULN|4RMIN|6RCR|7FEWX|8ASPD
13	25116 33233	   	208.48	DCR|3VULN|2AART|1DMG	1LWND|25AART|38aVULN|4RMIN|6RCR|7DMG|9FEWX
14	25116 33363	   	208.48	DCR|3VULN|2AART|1DMG	1LWND|25AART|39aVULN|4RMIN|6RCR|7DMG|8FEWX
15	12154 34231	 * 	206.43	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1CGEN|2aDMG|3LHND|48VULN|5AART|6RCR|7ASPD|9MDPS
16	22622 33233	 * 	205.53	DCR|3VULN|1AART|1ASPD|1DMG	13LWND|2ASPD|48aVULN|5AART|6RCR|7DMG|9FEWX
17	22622 33363	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	13LWND|2ASPD|49aVULN|5AART|6RCR|7DMG|8FEWX
18	66231 31511	   	205.45	DCR|2SPLARM|3VULN|1AART|2ZMB|1DUR	18SPLARM|2DUR|3BELT|48ZMB|568VULN|7RCR|8BPWR|9AART|aBEXP
19	22622 33134	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	13LWND|2ASPD|49aVULN|5AART|6RCR|7DMG|8AAC
20	22622 33244	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	13LWND|2ASPD|48aVULN|5AART|6RCR|7DMG|9ERES
21	22622 33434	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	13LWND|2ASPD|49aVULN|5AART|6RCR|7DMG|8ERES
22	25113 33134	   	205.20	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|2AART|39aVULN|4RMIN|5RCVC|6RCR|7DMG|8ZMB
23	43524 13233	 * 	204.77	DCR|3DMG|1AART|1VULN|1NUKE|1AAC|1DUR	1AAC|2VULN|379DMG|4DUR|5AART|6CGEN|8RCR|aNUKE
24	25116 32234	 * 	204.27	DCR|4VULN|2AART	1LWND|25AART|389aVULN|4RMIN|6RCR|7FEWX
25	25116 31234	   	204.17	DCR|4VULN|2AART	1LWND|25AART|389aVULN|4RMIN|6RCR|7DUST
26	12154 33341	 * 	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2DMG|3LHND|49VULN|5AART|6RCR|7CDMG|8AME|aASPD
27	22622 32451	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13LWND|2ASPD|4aVULN|5AART|6RCR|7FEWX|8CDMG|9DMG
28	22622 31451	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13LWND|2ASPD|4aVULN|5AART|6RCR|7DUST|8CDMG|9DMG
29	33542 33343	 * 	203.18	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG|1NUKE	1NUKE|28VULN|3DMG|48DUST|5MDPS|6AART|78CDMG|8BPWR|9ASPD|aRCR
30	26622 33134	   	202.74	DCR|3VULN|1AART|1DMG|1ZMB	13LWND|2RMIN|49aVULN|5AART|6RCR|7DMG|8ZMB
31	66611 33313	 * 	202.10	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	1SPLARM|2DUR|3TLV|4DMG|5BASARM|6AART|78aVULN|9RCR
32	11322 25441	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2AAC|3DMG|49VULN|5AART|6BEXP|7RCR|8CDMG|aASPD
33	11362 52631	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2AAC|3DMG|4LWND|5AART|6ASPD|7RCR|8CDMG|9aVULN
34	12154 33132	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2DMG|3LHND|49aVULN|5AART|6RCR|7CDMG|8DMSP
35	12154 33342	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2DMG|3LHND|49aVULN|5AART|6RCR|7CDMG|8AME
36	12154 33432	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2DMG|38LHND|49aVULN|5AART|6RCR|7CDMG
37	25136 32363	   	201.55	DCR|3VULN|2AART|1ASPD	1LWND|25AART|39aVULN|4AME|6RCR|7FEWX|8ASPD
38	25136 33233	   	201.55	DCR|3VULN|2AART|1DMG	1LWND|25AART|38aVULN|4AME|6RCR|7DMG|9FEWX
39	25136 33363	   	201.55	DCR|3VULN|2AART|1DMG	1LWND|25AART|39aVULN|4AME|6RCR|7DMG|8FEWX
40	12154 33131	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2aDMG|3LHND|49VULN|5AART|6RCR|7CDMG|8DMSP
41	12154 33352	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|29DMG|3LHND|4aVULN|5AART|6RCR|7CDMG|8AME
42	12154 33431	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2aDMG|38LHND|49VULN|5AART|6RCR|7CDMG
43	22622 32234	 * 	201.32	DCR|4VULN|1AART|1ASPD	13LWND|2ASPD|489aVULN|5AART|6RCR|7FEWX
44	25116 33132	   	201.31	DCR|2VULN|2AART|1DMG|1ZMB	1LWND|25AART|39VULN|4RMIN|6RCR|7DMG|8ZMB|aRCVC
45	12331 41256	   	201.29	DCR|3DMG|2VULN|1AART|1DUR	179CGEN|239DMG|4TSLFST|5DUR|6AART|89VULN|9BPWR|aRCR
46	33522 34343	 * 	201.26	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1NUKE|1CDMG|1DUR	1NUKE|2VULN|37DMG|4DUR|5MDPS|6AART|8CDMG|9ASPD|aRCR
47	22622 33255	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	13LWND|2ASPD|48VULN|5AART|6RCR|7DMG|9aDUR
48	22622 31234	   	201.22	DCR|4VULN|1AART|1ASPD	13LWND|2ASPD|489aVULN|5AART|6RCR|7DUST
49	33462 32363	 * 	201.22	DCR|4VULN|1AART|1ASPD|1NUKE	1NUKE|239aVULN|4LWND|5AART|6RCR|7FEWX|8ASPD
50	33462 33233	 * 	201.22	DCR|4VULN|1AART|1DMG|1NUKE	1NUKE|238aVULN|4LWND|5AART|6RCR|7DMG|9FEWX
51	33462 33363	   	201.22	DCR|4VULN|1AART|1DMG|1NUKE	1NUKE|239aVULN|4LWND|5AART|6RCR|7DMG|8FEWX
52	43462 33233	   	201.22	DCR|4VULN|1AART|1DMG|1AAC	1AAC|238aVULN|4LWND|5AART|6RCR|7DMG|9FEWX
53	12154 33351	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1CGEN|29DMG|3LHND|4VULN|5AART|6RCR|7CDMG|8AME|aASPD
54	33462 33134	   	201.12	DCR|4VULN|1AART|1DMG|1NUKE|1AAC	1NUKE|239aVULN|4LWND|5AART|6RCR|7DMG|8AAC
