0	Index      	 *	Score 	Summary	Detail	
1	53221 11452	 * 	209.50	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG|1AAC	1AAC|25DMG|3RCVC|4CDMG|68VULN|7SPLARM|9RCR|aASPD
2	46313 22121	 * 	207.60	DCR|2DMG|2ASPD|1VULN|3DUR|2ZMB	138DUR|2aZMB|4aDMG|5VULN|6RCR|7BASARM|9aASPD|aBPWR
3	52313 23412	 * 	207.22	DCR|3ASPD|2VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3CGEN|4DMG|5aVULN|6RCR|7CDMG
4	53343 23412	   	207.22	DCR|3ASPD|2VULN|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|489ASPD|5aVULN|6RCR|7CDMG
5	52513 23412	   	207.12	DCR|3ASPD|2VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3ERES|4DMG|5aVULN|6RCR|7CDMG
6	46313 26113	 * 	205.40	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB|1SELL	13DUR|2ZMB|4DMG|58aVULN|6RCR|7SELL|9ASPD
7	36362 52132	 * 	203.91	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|58aVULN|6RCR|7MDPS|9DMG
8	52512 23143	 * 	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3ERES|4DMG|5LHND|6RCR|7CDMG|8aVULN|9AART
9	36362 51112	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|57VULN|6RCR|8BEXP|9CDMG|aDMG
10	36362 51212	   	202.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|57VULN|6RCR|8LEGI|9CDMG|aDMG
11	36362 52133	 * 	202.33	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|58VULN|6RCR|7MDPS|9DMG|aCDMG
12	52213 26325	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|59VULN|6RCR|7AART|8ZMB|aDMG
13	53222 11452	 * 	199.34	DCR|1SPLARM|2VULN|2CDMG|1ASPD|1DMG|1AAC	1AAC|2DMG|3RCVC|45CDMG|68VULN|7SPLARM|9RCR|aASPD
14	53213 26325	 * 	198.77	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1AAC|2aDMG|3RCVC|4LWND|59VULN|6RCR|7AART|8ZMB
15	52313 23111	   	198.46	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|aRMIN
16	53343 23111	   	198.46	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|49ASPD|58VULN|6RCR|7CDMG|aRMIN
17	36362 51113	 * 	198.44	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4aAART|57VULN|6RCR|8BEXP|9CDMG
18	52513 23111	   	198.36	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|aRMIN
19	53543 23111	   	198.36	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3ERES|49ASPD|58VULN|6RCR|7CDMG|aRMIN
20	52313 23153	 * 	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|58aVULN|6RCR|7CDMG|9MLV
21	52313 24215	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aCDMG
22	53343 23153	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|58aVULN|6RCR|7CDMG|9MLV
23	52513 23153	   	197.81	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3ERES|4DMG|58aVULN|6RCR|7CDMG|9MLV
24	33662 12412	   	197.03	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1RMIN	1DUST|2DUR|3RMIN|4AART|58VULN|6BEXP|7RCR|9CDMG|aDMG
25	53432 11431	 * 	196.09	ACR|3ASPD|2DMG|1AART|2CDMG|1AAC|1ZMB	1AAC|28DMG|3RCR|4BEXP|589ASPD|6AART|78CDMG|8BPWR|aZMB
26	21413 26325	   	195.36	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1TLV|2MLV|3AAC|4aDMG|59VULN|6RCR|7AART|8ZMB
27	22512 51221	 * 	195.20	DCR|2VULN|2AART|2DMG	17TLV|27VULN|3RPLT|4DUST|5LWND|67DMG|7BPWR|8aAART|9RCR
28	22515 51221	   	195.20	DCR|2VULN|2AART|2DMG	17TLV|27VULN|3RPLT|4DUST|5LHND|67DMG|7BPWR|8aAART|9RCR
29	41413 26113	   	194.96	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC|1SELL	12DUR|2BPWR|3AAC|4DMG|58aVULN|6RCR|7SELL|9ASPD
