0	Index      	 *	Score 	Summary	Detail	
1	43324 33622	 * 	428.54	橙3易伤1双倍秒伤1暴击1等级	1等级234易伤5敌人爆炸6暴击7挖尘8核9时间a双倍秒伤
2	43233 12113	 * 	425.28	紫2双倍秒伤2易伤1暴击1等级	1等级26易伤3时间4暴击5核7防空对甲8激光对冰9a双倍秒伤
3	43232 24422	 * 	411.72	橙2双倍秒伤1易伤1暴击1等级	1等级2易伤3时间4暴击5敌人爆炸6赏金邻近7核8策反9a双倍秒伤
4	43232 34422	   	411.72	橙2双倍秒伤1易伤1暴击1等级	1等级2易伤3时间4暴击5敌人爆炸6赏金塔7核8策反9a双倍秒伤
5	43232 24522	   	411.62	橙2双倍秒伤1易伤1暴击1等级	1等级2易伤3时间4暴击5敌人爆炸6赏金邻近7核8攻速9a双倍秒伤
6	43232 34522	   	411.62	橙2双倍秒伤1易伤1暴击1等级	1等级2易伤3时间4暴击5敌人爆炸6赏金塔7核8攻速9a双倍秒伤
7	36332 35422	   	405.58	橙2双倍秒伤1易伤1暴击1伤害	1基地爆炸2赏金塔3易伤4随机矿5伤害6暴击7核8时间9a双倍秒伤
8	43241 16131	 * 	404.19	紫3易伤1双倍秒伤2等级2时间1卖塔	19等级269易伤39时间4核5卖塔7头目8全技能9序列升级a双倍秒伤
9	53324 33621	   	402.33	橙3易伤1双倍秒伤1暴击	1金币生成234易伤5敌人爆炸6暴击7时间8核9双倍秒伤a挖尘
10	53324 33622	   	402.33	橙3易伤1双倍秒伤1暴击	1金币生成234易伤5敌人爆炸6暴击7时间8核9双倍秒伤a暴雪减费
11	53324 33623	   	402.33	橙3易伤1双倍秒伤1暴击	1金币生成234易伤5敌人爆炸6暴击7时间8核9双倍秒伤a低血量敌人
12	53324 33632	   	402.33	橙3易伤1双倍秒伤1暴击	1金币生成234易伤5敌人爆炸6暴击7时间8核9赏金塔a双倍秒伤
13	43231 24112	 * 	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59低血量敌人6赏金邻近7核8立即金币9序列升级a双倍秒伤
14	43231 34112	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59低血量敌人6赏金塔7核8立即金币9序列升级a双倍秒伤
15	43232 24112	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59敌人爆炸6赏金邻近7核8立即金币9序列升级a双倍秒伤
16	43232 24312	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59敌人爆炸6赏金邻近7核8双倍矿9序列升级a双倍秒伤
17	43232 34112	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59敌人爆炸6赏金塔7核8立即金币9序列升级a双倍秒伤
18	43232 34312	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59敌人爆炸6赏金塔7核8双倍矿9序列升级a双倍秒伤
19	43236 24112	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59最后敌人6赏金邻近7核8立即金币9序列升级a双倍秒伤
20	43236 34112	   	401.84	橙2易伤1双倍秒伤2等级1暴击	19等级29易伤3时间4暴击59最后敌人6赏金塔7核8立即金币9序列升级a双倍秒伤
21	43323 33641	   	400.93	橙3易伤1双倍秒伤1等级	1等级234易伤5技能点6时间7掉矿8核9双倍秒伤a敌人爆炸
22	43323 33642	   	400.93	橙3易伤1双倍秒伤1等级	1等级234易伤5技能点6时间7掉矿8核9双倍秒伤a挖尘
23	43323 33643	   	400.93	橙3易伤1双倍秒伤1等级	1等级234易伤5技能点6时间7掉矿8核9双倍秒伤a双倍矿
24	43323 41241	   	400.93	橙3易伤1双倍秒伤1等级	1等级234易伤5技能点6激光对绿7时间8赏金塔9核a双倍秒伤
25	43321 53622	   	400.89	橙3易伤1双倍秒伤1等级1卖塔	1等级234易伤5最后敌人6卖塔7挖尘8核9时间a双倍秒伤
26	43233 16131	 * 	400.50	紫2易伤1双倍秒伤2等级2暴击2时间	19等级26易伤39时间49暴击5核7头目8全技能9序列升级a双倍秒伤
