0	Index      	 *	Score 	Summary	Detail	
1	42154 28133	 * 	322.72	ACR|4VULN|2TLV|3ASPD	167ASPD|279aVULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR
2	22115 66132	 * 	321.41	ACR|3VULN|2TLV|3DMG|1ASPD	169DMG|29aVULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR
3	22321 54333	 * 	319.06	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1DMG|2VULN|3CGEN|4LHND|5ASPD|6aRCR|79TLV|8CDMG
4	42321 54333	   	319.06	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3CGEN|4LHND|5DMG|6aRCR|79TLV|8CDMG
5	42154 44831	 * 	318.11	ACR|3VULN|2TLV|2DMG|2ASPD	1aASPD|26aVULN|3RCR|4MBVNT|59TLV|7ERES|8aDMG|aBPWR
6	22116 34631	 * 	316.93	ACR|3TLV|2VULN|2DMG|2ASPD	1aDMG|28VULN|3RCR|4aASPD|5AME|6DUR|79aTLV|aBPWR
7	42154 28134	   	310.71	ACR|3VULN|2TLV|3ASPD|2DUR	167ASPD|279VULN|3RCR|4MBVNT|57TLV|7BPWR|8aDUR
8	12321 54331	 * 	310.69	DCR|2TLV|2VULN|2DMG|2AEPOI|1ASPD	1ERES|2aVULN|3DUR|4ASPD|5aDMG|6RCR|79TLV|8aAEPOI|aBPWR
9	12321 54631	   	310.69	DCR|2TLV|2VULN|2DMG|2AEFBLL|1ASPD	1ERES|2aVULN|3DUR|4ASPD|5aDMG|6RCR|79TLV|8aAEFBLL|aBPWR
10	22115 66134	   	310.37	ACR|2TLV|2VULN|3DMG|1ASPD|1CDMG	169DMG|29VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aCDMG
11	42154 48114	   	310.28	ACR|3VULN|2TLV|2ASPD|1AEFBLL	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9AEFBLL|aDUR
12	42125 23232	 * 	309.27	ACR|2TLV|2VULN|3DMG|2ASPD	19ASPD|2aVULN|3RCR|49TLV|5LIT|6BEXP|789DMG|9BPWR
13	42125 33232	   	309.27	ACR|2TLV|2VULN|3DMG|2ASPD	19ASPD|2aVULN|3RCR|49TLV|5LIT|6LHND|789DMG|9BPWR
14	22115 33132	   	309.27	ACR|2TLV|2VULN|3DMG|2ASPD	179DMG|2aVULN|3RCR|49ASPD|5LIT|6LHND|89TLV|9BPWR
15	22115 61132	   	309.27	ACR|2TLV|2VULN|3DMG|2ASPD	169DMG|2aVULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR
16	22115 64132	   	309.27	ACR|2TLV|2VULN|3DMG|2ASPD	169DMG|2aVULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR
17	41125 13232	   	309.17	ACR|2TLV|2VULN|3DMG|2ASPD	19ASPD|2DUST|3RCR|49TLV|5LIT|6aVULN|789DMG|9BPWR
18	21115 13132	   	309.17	ACR|2TLV|2VULN|3DMG|2ASPD	179DMG|2DUST|3RCR|49ASPD|5LIT|6aVULN|89TLV|9BPWR
19	22116 14631	   	307.27	ACR|3TLV|2VULN|2DMG|2ASPD	1aDMG|28VULN|3RCR|4aASPD|5AME|6FEWX|79aTLV|aBPWR
20	22116 24631	   	307.27	ACR|3TLV|2VULN|2DMG|2ASPD	1aDMG|28VULN|3RCR|4aASPD|5AME|6LHND|79aTLV|aBPWR
21	22115 16131	   	305.75	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aAME
22	22115 16134	   	305.75	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aLHND
23	22115 16136	   	305.75	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aBEXP
24	22154 28731	   	305.75	ACR|3VULN|2TLV|2DMG|1ASPD	1aDMG|28aVULN|3RCR|4MBVNT|59TLV|6ASPD|7aMLV|aBPWR
25	22154 13736	 * 	305.75	ACR|3TLV|3VULN|2DMG	17DMG|28aVULN|3RCR|4MBVNT|579TLV|67LHND|7BPWR
26	22115 16132	   	305.65	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aDUST
27	22115 16133	   	305.65	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aLEGI
28	22115 16135	   	305.65	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aERES
29	22115 16137	   	305.65	ACR|3VULN|2TLV|2DMG|1ASPD	19DMG|269VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aAETHUN
30	42154 28242	 * 	305.55	ACR|3TLV|3VULN|3ASPD	167ASPD|27aVULN|3RCR|4MBVNT|579TLV|7aBPWR|8aSNIHEL
31	42112 11343	   	305.42	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5AEPOI|6ZMB|7AART|89TLV|9BPWR|aRCVC
