0	Index      	 *	Score 	Summary	Detail	
1	51113 16331	 * 	316.54	DCR|DCR|3VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58aVULN|6DUR|79RCR
2	32154 11414	 * 	313.82	ACR|DCR|3VULN|1TLV	1ZMB|2MBVNT|3LWND|469VULN|58RCR|7RAT|aTLV
3	51113 16431	   	311.91	DCR|DCR|2VULN|1TLV|1AEFBLL	1AETHUN|2RAT|3LWND|4TLV|5aVULN|6DUR|79RCR|8AEFBLL
4	32154 21414	   	309.19	ACR|DCR|2VULN|1TLV|1AEFBLL	1ZMB|2MBVNT|3LWND|49VULN|58RCR|6AEFBLL|7RAT|aTLV
5	26132 23162	   	306.21	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1BEXP|29RCR|3ASPD|4VULN|5TLV|6RAT|7MLV|8DMG|aAEPOI
6	32154 15173	   	300.89	ACR|DCR|2VULN|1TLV|2DUR	1ZMB|2MBVNT|3LWND|46VULN|59RCR|7TLV|8aDUR
7	16162 16232	 * 	299.09	ACR|2TLV|2VULN|2ASPD|1AEFBLL|1CDMG|1SELL	1FEWX|2RCR|3aASPD|4AEFBLL|5CDMG|6SELL|7aVULN|8DUR|9aTLV|aBPWR
8	32611 33618	   	296.95	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1AART	1ZMB|2MBVNT|3DLOT|4TLV|5DMG|6ASPD|7AART|8aRCR|9VULN
9	16532 32274	 * 	292.60	ACR|DCR|1TLV|1VULN|2DMG	1FEWX|29RCR|3aDMG|4VULN|5TLV|6MBVNT|7DUR|8DUST
10	32154 51414	   	292.42	ACR|DCR|2VULN|1TLV	16ZMB|2MBVNT|3LWND|49VULN|58RCR|7RAT|aTLV
11	32154 15171	   	291.85	ACR|DCR|2VULN|1TLV	1ZMB|2MBVNT|3LWND|46VULN|59RCR|7TLV|8DUR|aAME
12	51113 16334	   	291.85	DCR|DCR|2VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58VULN|6DUR|79RCR|aRMIN
13	51113 16335	   	291.85	DCR|DCR|2VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58VULN|6DUR|79RCR|aLHND
14	32154 15172	   	291.75	ACR|DCR|2VULN|1TLV	1ZMB|2MBVNT|3LWND|46VULN|59RCR|7TLV|8DUR|aSNIFST
15	32154 15174	   	291.75	ACR|DCR|2VULN|1TLV	1ZMB|2MBVNT|3LWND|46VULN|59RCR|7TLV|8DUR|aMDPS
16	51113 16332	   	291.75	DCR|DCR|2VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58VULN|6DUR|79RCR|aLSRREG
17	51113 16333	   	291.75	DCR|DCR|2VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58VULN|6DUR|79RCR|aMDPS
18	51113 16336	   	291.75	DCR|DCR|2VULN|1TLV	1AETHUN|2RAT|3LWND|4TLV|58VULN|6DUR|79RCR|aMBVNT
19	32154 25173	   	291.10	ACR|DCR|1TLV|1VULN|1AEFBLL|2DUR	1ZMB|2MBVNT|3LWND|4VULN|59RCR|6AEFBLL|7TLV|8aDUR
20	16162 16132	 * 	289.43	ACR|2TLV|2VULN|2ASPD|1AEFBLL|1CDMG|1SELL	1FEWX|2RCR|3aASPD|4AEFBLL|5CDMG|6SELL|7aVULN|8LHND|9aTLV|aBPWR
21	32154 34414	   	289.12	ACR|DCR|2VULN|1TLV	1ZMB|2MBVNT|3LWND|49VULN|58RCR|6RAT|7DMSP|aTLV
22	26632 23411	   	289.12	ACR|DCR|2VULN|1TLV	1BEXP|28RCR|3MBVNT|4ZMB|5TLV|6RAT|7MLV|9aVULN
23	32154 11434	   	289.12	ACR|DCR|2VULN|1TLV	1ZMB|2MBVNT|3LWND|46VULN|58RCR|7RAT|9DMSP|aTLV
24	16132 31574	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1FEWX|29RCR|3ASPD|4VULN|5TLV|6MBVNT|7DUST|8DUR|aDMG
25	16132 32274	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1FEWX|29RCR|3ASPD|4VULN|5TLV|6MBVNT|7DUR|8DUST|aDMG
26	26132 31573	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|29RCR|3ASPD|4VULN|5TLV|6MBVNT|7DUST|8DUR|aDMG
27	26132 32273	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|29RCR|3ASPD|4VULN|5TLV|6MBVNT|7DUR|8DUST|aDMG
28	26532 32273	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|29RCR|3DMG|4VULN|5TLV|6MBVNT|7DUR|8DUST|aASPD
