0	Index      	 *	Score 	Summary	Detail	
1	13615 63313	 * 	333.74	DCR|4VULN|3TLV|2DMG	17aTLV|2RAT|37DMG|4789VULN|5LEGI|6RCR|7BPWR
2	54624 48123	 * 	328.45	DCR|3TLV|3VULN|3DMG	1MBVNT|278TLV|3MDPS|4CGEN|578DMG|678VULN|78BPWR|9ZMB|aRCR
3	13151 42132	 * 	324.34	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9AEBURN|aVULN
4	13151 42142	   	324.34	ACR|DCR|2TLV|1VULN|1AEFBLL|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9AEFBLL|aVULN
5	13561 42132	   	324.34	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR	13TLV|2RAT|47DUR|56RCR|8FRZARM|9AEBURN|aVULN
6	13121 42436	   	324.01	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR|2RAT	1aTLV|24RAT|37DUR|56RCR|8VULN|9AEBURN
7	13151 42432	   	324.01	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR|2RAT	14TLV|2aRAT|37DUR|56RCR|8VULN|9AEBURN
8	54624 48113	   	321.51	DCR|3TLV|3VULN|3DMG	1MBVNT|278TLV|3MDPS|4CGEN|578DMG|678VULN|78BPWR|9MLV|aRCR
9	13615 63311	   	320.09	DCR|4VULN|2TLV|2DMG	17TLV|2RAT|37DMG|4789VULN|5LEGI|6RCR|7BPWR|aFEWX
10	13615 63312	   	319.99	DCR|4VULN|2TLV|2DMG|1MSE	17TLV|2RAT|37DMG|4789VULN|5LEGI|6RCR|7BPWR|aMSE
11	13615 63323	   	319.31	DCR|3VULN|2TLV|2DMG|1CDMG|2RAT	17TLV|2aRAT|37DMG|478VULN|5LEGI|6RCR|7BPWR|9CDMG
12	13615 63213	   	319.30	DCR|3TLV|3VULN|2DMG|2RAT	17aTLV|28RAT|37DMG|479VULN|5LEGI|6RCR|7BPWR
