0	Index      	 *	Score 	Summary	Detail	
1	53333 43133	 * 	267.51	DCR|3VULN|1TLV|2ASPD|1AAC|2RAT	1RPLT|2aRAT|37aVULN|4TLV|5AAC|6RCR|8LWND|9aASPD|aBPWR
2	63214 35312	 * 	266.01	DCR|2VULN|2MLV|2TLV|1CDMG	1BELT|29MLV|3AETHUN|49TLV|5CDMG|6MBVNT|7BLASTR|89VULN|9BPWR|aRCR
3	55433 12213	 * 	265.67	DCR|2VULN|3TLV|1MLV|1ASPD|2RAT	1RPLT|259TLV|39RAT|4ASPD|6RCR|7LWND|89VULN|9BPWR|aMLV
4	33135 15521	 * 	263.97	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2CGEN|3DUR|4LIT|5VULN|6MLV|7aRCR|8FRZFST|9LEGI
5	31235 15521	   	263.87	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2LIT|3ERES|4DUR|5VULN|6MLV|7aRCR|8FRZFST|9LEGI
6	24452 11242	 * 	263.33	DCR|2VULN|2TLV|1MLV|1DMG	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9MLV|aDUR
7	26561 31144	 * 	261.76	DCR|DCR|1VULN|1DMG|3AART	179AART|2DUR|3LWND|4MBVNT|5DMG|6VULN|8aRCR
8	63132 25511	   	260.72	DCR|2VULN|2MLV|2TLV|1SELL	1BELT|27MLV|3FEWX|47VULN|5SELL|67TLV|7BPWR|8DUR|9BBNT|aRCR
9	15144 33122	 * 	258.33	DCR|2VULN|2DMG|1TLV|1MLV	1DUST|2aDMG|3AART|46VULN|5FEWX|7MLV|8RCR|9TLV
10	15142 33122	   	258.23	DCR|2VULN|2DMG|1TLV|1MLV	1DUST|2aDMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV
11	31131 72478	 * 	255.67	DCR|DCR|1TLV|1MLV|1CDMG	1CDMG|2LIT|37LWND|4DUST|5MBVNT|68RCR|9MLV|aTLV
12	31131 71478	   	255.57	DCR|DCR|1TLV|1MLV|1CDMG	1CDMG|2LIT|3LWND|47DUST|5MBVNT|68RCR|9MLV|aTLV
13	31261 15531	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2LIT|3ERES|4VULN|5LWND|6MLV|7aRCR|8FRZFST|9LEGI
14	24452 11243	   	255.02	DCR|2VULN|2TLV|1MLV|1DMG	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9MLV|aLHND
15	24452 11241	   	254.92	DCR|2VULN|2TLV|1MLV|1DMG	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9MLV|aMDPS
16	24452 11244	   	254.92	DCR|2VULN|2TLV|1MLV|1DMG	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9MLV|aERES
17	32332 55261	 * 	254.38	DCR|2VULN|2MLV|1DMG|2CDMG|1SELL	17CDMG|2MDPS|3RPLT|47VULN|5AART|67MLV|7BPWR|8DMG|9SELL|aRCR
18	42133 51312	   	252.44	DCR|3VULN|1TLV|1ASPD|1CDMG	1ERES|256VULN|3DUR|4CDMG|7RCR|8ASPD|9AART|aTLV
