0	Index      	 *	Score 	Summary	Detail	
1	23434 11522	 * 	272.61	DCR|2VULN|2TLV|2DMG|1MLV	18DUST|28DMG|3LWND|47TLV|5AART|68VULN|8BPWR|9MLV|aRCR
2	33412 32433	 * 	266.73	DCR|DCR|2VULN|1DMG	1AME|2CGEN|3DMG|4MULARM|56VULN|79RCR|8BBNT|aRAT
3	33412 32431	   	259.80	DCR|DCR|2VULN|1DMG	1AME|2CGEN|3DMG|4MULARM|56VULN|79RCR|8BBNT|aLIT
4	33412 32432	   	259.80	DCR|DCR|2VULN|1DMG	1AME|2CGEN|3DMG|4MULARM|56VULN|79RCR|8BBNT|aFEWX
5	33412 32435	   	259.70	DCR|DCR|2VULN|1DMG	1AME|2CGEN|3DMG|4MULARM|56VULN|79RCR|8BBNT|aERES
6	53533 21632	 * 	259.66	DCR|3ASPD|2DMG|1VULN|1TLV|3DUR	19aFEWX|2aDMG|369DUR|4TLV|5VULN|79aASPD|8RCR|9aBPWR
7	23434 12522	   	258.43	DCR|2VULN|2DMG|1TLV|1MLV	18DUST|28DMG|37LWND|4TLV|5AART|68VULN|8BPWR|9MLV|aRCR
8	23253 52433	 * 	258.02	DCR|DCR|2DMG|1TLV	1DUST|25DMG|3SNIFST|4CGEN|6TLV|79RCR|8BBNT|aRAT
9	23134 54233	 * 	257.13	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AME|4TLV|59RCR|6LIT|7VULN|8SPLREG|aMLV
10	51312 32221	   	254.14	ACR|DCR|1VULN|1MLV|1DMG|1CDMG	1FEWX|2LWND|3aRCR|4VULN|5RAT|6CDMG|7MLV|8AART|9DMG
11	21312 32221	   	254.04	ACR|DCR|1VULN|1MLV|1DMG|1CDMG	1DUST|2LWND|3aRCR|4VULN|5RAT|6CDMG|7MLV|8AART|9DMG
12	41112 13336	   	252.28	DCR|DCR|1TLV|1AAC|1CDMG	1LIT|2LHND|3MDPS|4TLV|5CDMG|6DUST|79RCR|8DUR|aAAC
13	46112 23136	   	252.28	DCR|DCR|1TLV|1AAC|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6LWND|79RCR|8DUST|aAAC
14	46112 23431	   	251.73	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6LWND|79RCR|8FEWX|aASPD
15	46112 23531	   	251.73	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6LWND|79RCR|8LHND|aASPD
16	41112 13331	   	251.63	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2LHND|3MDPS|4TLV|5CDMG|6DUST|79RCR|8DUR|aASPD
17	42112 13331	   	251.63	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2FEWX|3MDPS|4TLV|5CDMG|6DUST|79RCR|8DUR|aASPD
18	46112 13431	   	251.63	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6DUST|79RCR|8FEWX|aASPD
19	46112 13531	   	251.63	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6DUST|79RCR|8LHND|aASPD
20	46112 23131	   	251.63	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6LWND|79RCR|8DUST|aASPD
21	46112 13231	   	251.53	DCR|DCR|1TLV|1ASPD|1CDMG	1LIT|2DUR|3MDPS|4TLV|5CDMG|6DUST|79RCR|8BEXP|aASPD
22	23342 62432	 * 	251.18	DCR|3MLV|2TLV|1DMG|1CDMG|1SELL	19DUST|2DMG|3SELL|489MLV|59TLV|6RCVC|7RCR|9BPWR|aCDMG
23	23253 52431	   	251.08	DCR|DCR|2DMG|1TLV	1DUST|25DMG|3SNIFST|4CGEN|6TLV|79RCR|8BBNT|aLIT
24	23253 52432	   	251.08	DCR|DCR|2DMG|1TLV	1DUST|25DMG|3SNIFST|4CGEN|6TLV|79RCR|8BBNT|aBELT
25	23231 53345	 * 	247.26	DCR|DCR|2DMG|3DUR	1aDUST|2aDMG|3SNIFST|4FEWX|57aDUR|69RCR|8AART|aBPWR
26	22441 43234	   	247.04	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2RCVC|3DMG|4LIT|5CDMG|69RCR|7MBVNT|8MULARM|aVULN
27	31246 23621	 * 	246.76	DCR|DCR|1MLV|1ASPD|1CDMG	1AME|2BEXP|3CDMG|4MLV|5BELT|69RCR|7LEGI|8RAT|aASPD
28	23434 11422	   	246.31	DCR|2TLV|2DMG|1VULN|1MLV	1DUST|28DMG|3LWND|47TLV|5AART|6VULN|9MLV|aRCR
29	23342 62431	 * 	245.83	DCR|3MLV|2TLV|1DMG|1SELL	19DUST|2DMG|3SELL|489MLV|59TLV|6RCVC|7RCR|9BPWR|aAART
