0	Index      	 *	Score 	Summary	Detail	
1	61132 32154	 * 	323.38	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	12VULN|3DMG|4AEFRZ|5TLV|6ASPD|7RAT|8AART|9aRCR
2	22111 25166	 * 	297.97	DCR|DCR|2DMG|1TLV|1AAC|1ASPD|1CDMG	1TLV|2VENICY|3AAC|45DMG|6DUST|7aRCR|8ASPD|9CDMG
3	22111 25616	   	297.97	DCR|DCR|2DMG|1TLV|1AAC|1ASPD|1CDMG	1TLV|2VENICY|3AAC|45DMG|6DUST|7aRCR|8CDMG|9ASPD
4	22352 34163	 * 	296.72	DCR|2VULN|2MLV|2TLV|3ASPD	18TLV|2VENICY|378ASPD|4aMLV|5LWND|68VULN|8BPWR|9RCR
5	61111 33254	 * 	294.85	DCR|4VULN|3DMG|1TLV|1ASPD	1279VULN|379DMG|4LHND|5ASPD|679AEPOI|79BPWR|8RCR|aTLV
6	26352 31416	 * 	293.96	DCR|DCR|3VULN|1TLV	1TLV|2MBVNT|3LHND|4AME|59aVULN|6LIT|78RCR
7	21111 12154	 * 	293.95	DCR|DCR|2TLV|2ASPD|1DMG	17TLV|25ASPD|3DMG|4LHND|6RAT|8AART|9aRCR
8	21111 42154	   	293.95	DCR|DCR|2TLV|2ASPD|1DMG	16TLV|25ASPD|3DMG|4LHND|7RAT|8AART|9aRCR
9	21311 12154	   	293.95	DCR|DCR|2TLV|2ASPD|1DMG	17TLV|25ASPD|3LWND|4DMG|6RAT|8AART|9aRCR
10	21311 42154	   	293.95	DCR|DCR|2TLV|2ASPD|1DMG	16TLV|25ASPD|3LWND|4DMG|7RAT|8AART|9aRCR
11	21411 12154	   	293.85	DCR|DCR|2TLV|2ASPD|1DMG	17TLV|25ASPD|3AETHUN|4DMG|6RAT|8AART|9aRCR
