0	Index      	 *	Score 	Summary	Detail	
1	26115 36133	 * 	298.16	DCR|3MLV|2VULN|2TLV|1CDMG	1DMSP|267MLV|37VULN|47TLV|5RCVC|7BPWR|8AART|9CDMG|aRCR
2	26113 33321	 * 	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1DMSP|2MLV|3VULN|4TLV|5LSRICY|6aRCR|7RMIN|8ASPD|9ERES
3	63121 21353	 * 	286.80	DCR|2VULN|2MLV|3DMG|2RAT|1CDMG	17RAT|257DMG|3DUST|4aVULN|67MLV|7BPWR|8CDMG|9RCR
4	11522 13161	 * 	277.77	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2LWND|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9DUR|aRCR
5	14522 13161	   	277.67	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2DUST|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9DUR|aRCR
6	11522 43161	 * 	274.27	DCR|2VULN|2DMG|2ASPD|1MLV|1AAC	18ASPD|2LWND|38DMG|4LIT|5AAC|6MLV|78VULN|8BPWR|9DUR|aRCR
7	26113 31661	   	274.21	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2MLV|3VULN|4TLV|5LSRICY|6aRCR|7RCVC|8ZMB|9LWND
8	26113 31621	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2MLV|3VULN|4TLV|5LSRICY|6aRCR|7RCVC|8ZMB|9BEXP
9	26113 31641	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2MLV|3VULN|4TLV|5LSRICY|6aRCR|7RCVC|8ZMB|9DUST
10	14522 13121	   	269.37	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2DUST|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9LHND|aRCR
11	11522 13121	   	269.37	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2LWND|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9LEGI|aRCR
12	11522 13151	   	269.37	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2LWND|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9BEXP|aRCR
13	14522 13151	   	269.27	DCR|2VULN|2DMG|1TLV|2ASPD|1AAC	18ASPD|2DUST|38DMG|4LIT|5AAC|6TLV|78VULN|8BPWR|9BEXP|aRCR
14	36253 23261	 * 	268.98	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD|1CDMG	1TBNT|2TLV|3VULN|4DMG|57MLV|6CDMG|8RCR|9RAT|aASPD
