0	Index      	 *	Score 	Summary	Detail	
1	33564 22323	 * 	279.13	DCR|2MLV|2DMG|1VULN|1TLV|1AAC|1CDMG	1BBNT|2CDMG|3TLV|49DMG|57MLV|6VULN|8AAC|aRCR
2	35363 42213	 * 	275.96	DCR|2VULN|2MLV|1TLV|2CDMG|1AAC	1BBNT|28VULN|3TLV|4RMIN|58CDMG|6AAC|78MLV|8BPWR|9AEFRZ|aRCR
3	36312 55131	 * 	274.58	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2BEXP|3TLV|4MLV|5LWND|6DUST|7aRCR|8LHND|9VULN
4	43222 45131	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1DUST|2LWND|3BBNT|4BEXP|5TLV|6MLV|7aRCR|8LHND|9VULN
5	36321 45131	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|24BEXP|3TLV|5MDPS|6MLV|7aRCR|8LHND|9VULN
6	65314 32111	 * 	272.61	DCR|4VULN|2TLV|1MLV	19MULHEA|2689VULN|3MLV|4LWND|59TLV|7RCR|9BPWR|aRPLT
7	65314 32112	   	272.61	DCR|4VULN|2TLV|1MLV	19MULHEA|2689VULN|3MLV|4aLWND|59TLV|7RCR|9BPWR
8	65314 32113	   	272.51	DCR|4VULN|2TLV|1MLV	19MULHEA|2689VULN|3MLV|4LWND|59TLV|7RCR|9BPWR|aLSRREG
9	16231 11651	 * 	270.86	DCR|DCR|1VULN|1MLV|1DMG	1ERES|2LWND|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR|aDMG
10	15231 11651	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1ERES|2LEGI|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR|aDMG
11	11262 61611	 * 	269.60	DCR|3VULN|3MLV|1AAC	189ERES|2AAC|3BELT|4MDPS|5BEXP|689MLV|789VULN|89BPWR|aRCR
12	51263 52112	 * 	267.83	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AEPOI|2DMG|3MLV|48VULN|5TLV|6ERES|7RCR|9AAC|aASPD
13	35221 32336	 * 	267.20	DCR|3MLV|2VULN|2DMG	1BBNT|29VULN|39DMG|4LHND|5ZMB|689MLV|7RCVC|9BPWR|aRCR
14	35231 32336	   	267.20	DCR|3MLV|2VULN|2DMG	1BBNT|29VULN|39DMG|4LWND|5ZMB|689MLV|7RCVC|9BPWR|aRCR
15	51263 52123	 * 	266.65	DCR|2VULN|2TLV|2DMG|1MLV	1AEPOI|2aDMG|3MLV|48VULN|5aTLV|6ERES|7RCR|9aCGEN|aBPWR
16	33532 11236	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1BBNT|2CDMG|3TLV|4TBNT|56DMG|7MLV|89VULN|aRCR
17	36235 32313	   	265.33	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1CDMG	1BBNT|2BEXP|3DMG|45VULN|6TLV|7AAC|8MLV|9CDMG|aRCR
18	26423 32152	 * 	265.19	DCR|3VULN|1TLV|1DMG|1AAC|1ASPD	1FEWX|238VULN|4AEWIND|5TLV|6AAC|7RCR|9DMG|aASPD
19	26423 32115	 * 	264.12	DCR|4VULN|2AAC|1TLV	1FEWX|238aVULN|4AEWIND|5TLV|69AAC|7RCR
20	56211 62112	 * 	262.35	DCR|2VULN|1TLV|2ASPD|1MLV|1AAC	1AEPOI|2aASPD|3MLV|4ERES|58VULN|6TLV|7RCR|9AAC
21	33564 22313	   	261.44	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1CDMG	1BBNT|2CDMG|3TLV|4DMG|57MLV|6VULN|8AAC|9AEFRZ|aRCR
22	16235 11621	 * 	261.34	DCR|3MLV|2VULN|1TLV	1ERES|2aLWND|35VULN|469MLV|7TLV|8RCR
23	16235 11622	   	261.34	DCR|3MLV|2VULN|1TLV	1ERES|2LWND|35VULN|469MLV|7TLV|8RCR|aDMSP
24	16235 11623	   	261.34	DCR|3MLV|2VULN|1TLV	1ERES|2LWND|35VULN|469MLV|7TLV|8RCR|aFEWX
25	15235 11621	   	261.24	DCR|3MLV|2VULN|1TLV	1ERES|2LEGI|35VULN|469MLV|7TLV|8RCR|aLWND
26	15235 11622	   	261.24	DCR|3MLV|2VULN|1TLV	1ERES|2LEGI|35VULN|469MLV|7TLV|8RCR|aLIT
27	15235 11623	   	261.24	DCR|3MLV|2VULN|1TLV	1ERES|2LEGI|35VULN|469MLV|7TLV|8RCR|aRCVC
28	33563 43223	 * 	260.41	DCR|2VULN|2TLV|2DMG|2CDMG	1BBNT|28CDMG|38TLV|49DMG|5AEBURN|68VULN|7LEGI|8BPWR|aRCR
29	35251 12315	 * 	260.34	DCR|2VULN|3TLV|1DMG|2CDMG	1BBNT|29VULN|3DMG|4AART|5RPLT|689TLV|79CDMG|9BPWR|aRCR
30	26423 32112	   	260.23	DCR|3VULN|2AAC|1TLV|1ASPD	1FEWX|238VULN|4AEWIND|5TLV|69AAC|7RCR|aASPD
31	46423 32112	   	260.13	DCR|3VULN|2AAC|1TLV|1ASPD	1DUST|238VULN|4AEWIND|5TLV|69AAC|7RCR|aASPD
32	26423 42112	 * 	259.71	DCR|3VULN|1TLV|2ASPD|1AAC	1FEWX|238VULN|4AEWIND|5TLV|6aASPD|7RCR|9AAC
33	56211 11343	   	259.21	DCR|2VULN|1TLV|2ASPD|1MLV|1CDMG	1AEPOI|26ASPD|3MLV|4ERES|56VULN|6BPWR|7BBNT|8TLV|9CDMG|aRCR
34	51263 52223	 * 	258.87	DCR|2VULN|2MLV|1TLV|1DMG	1AEPOI|2DMG|3aMLV|4aVULN|5TLV|6aERES|7RCR|8AEFBLL|9CGEN|aBPWR
35	65314 32131	   	258.34	DCR|4VULN|1TLV|1MLV	1MULHEA|2689VULN|3MLV|4LWND|5TLV|7RCR|aRPLT
36	65314 32132	   	258.34	DCR|4VULN|1TLV|1MLV	1MULHEA|2689VULN|3MLV|4aLWND|5TLV|7RCR
37	65314 32133	   	258.24	DCR|4VULN|1TLV|1MLV	1MULHEA|2689VULN|3MLV|4LWND|5TLV|7RCR|aLSRREG
38	21214 55111	   	256.88	DCR|DCR|1VULN|1TLV	156FEWX|2TLV|3VULN|4AME|7aRCR|8LHND|9DUR
39	36343 25111	   	256.78	DCR|DCR|1VULN|1TLV	1BBNT|2BEXP|3TLV|4FEWX|5CGEN|6VULN|7aRCR|8LHND|9DUR
40	33324 23526	 * 	256.58	DCR|3VULN|2MLV|3CDMG	1BBNT|239CDMG|4LHND|59MLV|69aVULN|7RCR|8RCVC|9BPWR
41	33324 23626	   	256.58	DCR|3VULN|2MLV|3CDMG	1BBNT|239CDMG|48LHND|59MLV|69aVULN|7RCR|9BPWR
42	41212 25411	   	256.48	DCR|DCR|1VULN|1TLV	168DUST|2TLV|3VULN|4AME|5BEXP|7aRCR|9DUR
43	33656 33223	 * 	256.28	DCR|2MLV|2TLV|2DMG|2CDMG	1BBNT|28CDMG|3DUR|48TLV|59DMG|6AME|78MLV|8BPWR|aRCR
44	16235 11612	   	255.70	DCR|2VULN|2MLV|1TLV|1AAC	1ERES|2LWND|35VULN|46MLV|7TLV|8RCR|9BEXP|aAAC
45	15235 11612	   	255.60	DCR|2VULN|2MLV|1TLV|1AAC	1ERES|2LEGI|35VULN|46MLV|7TLV|8RCR|9BEXP|aAAC
