0	Index      	 *	Score 	Summary	Detail	
1	31422 16321	 * 	249.60	ACR|1BASARM|3BEXP|2ASPD|2DMG	18aBEXP|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM
2	31422 16326	   	246.64	ACR|1BASARM|2ASPD|2DMG|2BEXP|1AAC	18BEXP|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aAAC
3	31422 16322	   	238.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	18BEXP|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aDUST
4	31422 16323	   	238.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	18BEXP|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aERES
5	31422 16325	   	238.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	18BEXP|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aNUKE
6	61422 16323	 * 	225.50	ACR|3ASPD|1BASARM|2DMG	18LHND|26aASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM
7	51422 16323	   	225.30	ACR|3ASPD|1BASARM|2DMG	18DUST|26aASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM
8	15522 16223	   	225.30	ACR|3ASPD|1BASARM|2DMG	1LWND|26CGEN|35DMG|4RCR|78aASPD|9BASARM
9	61422 16321	   	223.50	ACR|1BASARM|2ASPD|2DMG|1BEXP	18LHND|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aBEXP
10	51422 16321	   	223.30	ACR|1BASARM|2ASPD|2DMG|1BEXP	18DUST|26ASPD|38CGEN|4RCR|58DMG|7RCVC|8BPWR|9BASARM|aBEXP
11	15522 16221	   	223.30	ACR|1BASARM|2ASPD|2DMG|1BEXP	1LWND|26CGEN|35DMG|4RCR|78ASPD|9BASARM|aBEXP
12	31426 21335	 * 	221.12	ACR|3BEXP|2ASPD|2DMG|2VULN	16aBEXP|2aASPD|35CGEN|4RCR|79VULN|8aDMG|aBPWR
13	31421 16325	   	220.75	ACR|1BASARM|2ASPD|2BEXP|1DMG	18BEXP|26ASPD|38CGEN|4RCR|58ZMB|7RCVC|8BPWR|9BASARM|aDMG
14	31426 13325	   	220.65	ACR|1BASARM|2ASPD|2BEXP|1DMG	18BEXP|28ASPD|3568CGEN|4RCR|7NUKE|8BPWR|9BASARM|aDMG
15	31426 23225	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	16BEXP|28ASPD|35CGEN|4RCR|7NUKE|9BASARM|aDMG
16	11422 31366	   	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1LWND|2aASPD|3CGEN|4RCR|5DMG|6aAIRARM|7MDPS|8BASARM|9aBEXP|aBPWR
17	31422 16135	 * 	219.85	ACR|3ASPD|3VULN|2BEXP|1DMG	1aBEXP|26aASPD|3CGEN|4RCR|5DMG|7RCVC|89aVULN|aBPWR
