0	Index      	 *	Score 	Summary	Detail	
1	12252 53311	 * 	225.37	ACR|4VULN|3BEXP|2ASPD|1AART	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aAART
2	12562 51331	 * 	221.35	ACR|3VULN|3ASPD|2BEXP|1CDMG	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9CDMG|aTLV
3	12562 51332	   	221.35	ACR|3VULN|3ASPD|2BEXP|1CDMG	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9CDMG|aMDPS
4	12562 51333	   	221.35	ACR|3VULN|3ASPD|2BEXP|1CDMG	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9CDMG|aDUST
5	12532 53311	   	221.04	ACR|3VULN|3BEXP|2ASPD|1AART	189VULN|278BEXP|38ASPD|46RCVC|5RCR|8BPWR|aAART
6	12252 53312	   	220.37	ACR|4VULN|3BEXP|2ASPD|1CDMG	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aCDMG
7	12252 51313	 * 	219.33	ACR|5VULN|2ASPD|2BEXP|1AART	13789VULN|28BEXP|48ASPD|5RCR|6RCVC|8BPWR|aAART
8	12532 51313	 * 	218.49	ACR|4VULN|2ASPD|2BEXP|1DMG	1789VULN|28BEXP|38ASPD|46RCVC|5RCR|8BPWR|aDMG
9	24544 44222	 * 	218.17	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1DUST|2BEXP|3ASPD|4MBVNT|5RCR|6aDMG|7VULN|8MSLREG|9BASARM
10	11361 48322	 * 	217.52	DCR|3VULN|3ASPD|3BEXP|1AART|1AAC	189VULN|2ERES|389BEXP|489ASPD|5AART|6MBVNT|7AAC|89BPWR|aRCR
11	12532 53312	   	217.04	ACR|3VULN|3BEXP|2ASPD|1CDMG	189VULN|278BEXP|38ASPD|46RCVC|5RCR|8BPWR|aCDMG
12	12562 51312	 * 	216.07	ACR|3VULN|3ASPD|3BEXP	178VULN|28aBEXP|348ASPD|5RCR|6RCVC|8BPWR|9BELT
13	12562 53311	   	215.97	ACR|3VULN|3ASPD|3BEXP	18aVULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9AEFBLL
14	12252 25261	 * 	215.87	ACR|2VULN|3ASPD|1DMG|1BEXP|1CDMG	13VULN|2BEXP|489ASPD|5RCR|6ERES|7CDMG|aDMG
15	12562 53321	   	215.37	ACR|3ASPD|2VULN|3BEXP|1AAC	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9AAC|aLHND
