0	Index      	 *	Score 	Summary	Detail	
1	62422 52313	 * 	222.74	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DUR|2VULN|3AAC|4ASPD|5RCR|6MDPS|7CDMG|8BEXP|9DMG|aBASARM
2	11345 33141	 * 	221.74	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8aDMG|9CDMG
3	11345 33231	   	221.74	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9aDMG
4	62222 25113	 * 	221.66	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	1DUR|2aVULN|3ZMB|4ASPD|5RCR|6aBEXP|7AAC|8CDMG|9aDMG|aBPWR
5	11122 25114	   	221.56	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	1TLV|2aVULN|3DUR|4ASPD|5RCR|6aBEXP|7AAC|8CDMG|9aDMG|aBPWR
6	41122 25114	   	221.56	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	1ERES|2aVULN|3DUR|4ASPD|5RCR|6aBEXP|7AAC|8CDMG|9aDMG|aBPWR
7	62322 25114	   	221.56	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	1DUR|2aVULN|3ERES|4ASPD|5RCR|6aBEXP|7AAC|8CDMG|9aDMG|aBPWR
8	11345 41222	 * 	219.87	ACR|4VULN|3BEXP|2AART|1AAC	17TLV|267aVULN|39AART|4RCR|567BEXP|67BPWR|8AAC
9	11345 41232	 * 	215.18	ACR|3VULN|3BEXP|1AART|1DMG|1AAC	17TLV|267VULN|3AART|4RCR|567BEXP|67BPWR|8AAC|9DMG|aLHND
10	11345 41233	   	215.18	ACR|3VULN|3BEXP|1AART|1DMG|1AAC	17TLV|267VULN|3AART|4RCR|567BEXP|67BPWR|8AAC|9DMG|aLWND
11	11345 41231	   	215.08	ACR|3VULN|3BEXP|1AART|1DMG|1AAC	17TLV|267VULN|3AART|4RCR|567BEXP|67BPWR|8AAC|9DMG|aMULARM
12	62422 22214	 * 	215.03	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1DUR|2aVULN|3AAC|4ASPD|5RCR|6BEXP|7aCDMG|8TLV|9aDMG|aBPWR
13	11343 35226	 * 	214.66	ACR|1BASARM|2VULN|1AART|1ASPD|1AAC	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aAAC
14	11343 34226	   	214.56	ACR|1BASARM|2VULN|1AART|1ASPD|1AAC	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|aAAC
15	62222 52413	   	214.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2VULN|3ZMB|4ASPD|5RCR|6MDPS|7CDMG|8BEXP|9DMG|aBASARM
16	62222 54113	   	214.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2VULN|3ZMB|4ASPD|5RCR|6MDPS|7BEXP|8CDMG|9DMG|aBASARM
17	11341 62513	 * 	213.65	ACR|3VULN|1BASARM|2AART	1TLV|27aVULN|38AART|4RCR|5LWND|6MSLREG|9BASARM
18	11122 22514	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1TLV|2aVULN|3DUR|4ASPD|5RCR|6aBEXP|7CDMG|8RMIN|9aDMG|aBPWR
19	41122 22514	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1ERES|2aVULN|3DUR|4ASPD|5RCR|6aBEXP|7CDMG|8RMIN|9aDMG|aBPWR
20	62322 22514	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1DUR|2aVULN|3ERES|4ASPD|5RCR|6aBEXP|7CDMG|8RMIN|9aDMG|aBPWR
21	13143 61412	 * 	212.69	ACR|2AART|2DMG|1VULN|1ASPD|1AAC	1TLV|2DUR|36AART|4RCR|5ASPD|7aDMG|8AAC|9VULN
22	11333 53521	 * 	212.58	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1TLV|27VULN|3AART|4CDMG|5RCR|6AAC|8ASPD|9BEXP|aDMG
23	11345 41221	   	212.57	ACR|3VULN|3BEXP|2AART|1AAC	17TLV|267VULN|39AART|4RCR|567BEXP|67BPWR|8AAC|aZMB
24	11345 41223	   	212.47	ACR|3VULN|3BEXP|2AART|1AAC	17TLV|267VULN|39AART|4RCR|567BEXP|67BPWR|8AAC|aMDPS
25	11345 42222	   	212.47	ACR|3VULN|3BEXP|2AART|1AAC	1TLV|26aVULN|39AART|4RCR|567BEXP|6BPWR|8AAC
26	11345 51222	   	212.47	ACR|3VULN|3BEXP|2AART|1AAC	17TLV|27aVULN|39AART|4RCR|567BEXP|7BPWR|8AAC
27	11343 35242	 * 	212.31	ACR|1BASARM|2ASPD|1VULN|1AART	1TLV|2VULN|3AART|4RCR|5aASPD|6RPLT|7CGEN|8BASARM|9RMIN
28	11343 34242	   	212.21	ACR|1BASARM|2ASPD|1VULN|1AART	1TLV|2VULN|3AART|4RCR|5aASPD|6RPLT|7ERES|8BASARM|9RMIN
29	11343 34262	   	212.21	ACR|1BASARM|2ASPD|1VULN|1AART	1TLV|2VULN|3AART|4RCR|5aASPD|6RPLT|7ERES|8BASARM|9CGEN
