0	Index      	 *	Score 	Summary	Detail	
1	31416 15323	 * 	245.90	ACR|2VULN|2ASPD|2BEXP|1AART|1DMG|1CDMG	1AART|2MDPS|39BEXP|4RCR|5DMG|6RMIN|79ASPD|89VULN|9BPWR|aCDMG
2	33352 61235	 * 	236.29	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aRCVC
3	33352 61231	   	234.99	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aFEWX
4	33352 61233	   	234.99	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aLIT
5	33352 61236	   	234.99	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aLHND
6	33352 61232	   	234.89	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aERES
7	33352 61234	   	234.89	ACR|3ASPD|1BASARM|2BEXP|1AART	1AART|268ASPD|38CGEN|4DMSP|5RCR|78BEXP|8BPWR|9BASARM|aTLV
8	31416 15321	   	230.25	ACR|2VULN|2ASPD|2BEXP|1AART|1DMG	1AART|2MDPS|39BEXP|4RCR|5DMG|6RMIN|79ASPD|89VULN|9BPWR|aCGEN
9	31416 15322	   	230.25	ACR|2VULN|2ASPD|2BEXP|1AART|1DMG	1AART|2MDPS|39BEXP|4RCR|5DMG|6RMIN|79ASPD|89VULN|9BPWR|aLWND
10	45631 23221	 * 	229.47	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	1LIT|2CDMG|3RCR|45ASPD|6LWND|7DMG|8CGEN|9BASARM|aVULN
11	31414 15323	   	223.84	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	1AART|2MDPS|39BEXP|4RCR|5ZMB|6RMIN|79ASPD|89VULN|9BPWR|aCDMG
12	33352 16231	   	220.15	ACR|3ASPD|1BASARM|1AART|1BEXP	1AART|278ASPD|38CGEN|4DMSP|5RCR|68LHND|8BPWR|9BASARM|aBEXP
13	33352 26231	   	220.15	ACR|3ASPD|1BASARM|1AART|1BEXP	1AART|278ASPD|38CGEN|4DMSP|5RCR|68FEWX|8BPWR|9BASARM|aBEXP
14	33352 62231	   	220.15	ACR|3ASPD|1BASARM|1AART|1BEXP	1AART|268ASPD|38CGEN|4DMSP|5RCR|78FEWX|8BPWR|9BASARM|aBEXP
15	31411 25147	 * 	219.35	ACR|2VULN|3BEXP|2ASPD|1AART	1AART|2MDPS|39aBEXP|4RCR|5LWND|6aVULN|7MBVNT|8aASPD|aBPWR
16	31411 16147	 * 	219.35	ACR|3BEXP|2VULN|2DMG|1AART	1AART|2MDPS|39aBEXP|4RCR|5LWND|6aDMG|7aVULN|8MBVNT|aBPWR
17	31416 31315	   	217.31	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG|1AAC	1AART|2MDPS|36BEXP|4RCR|5aDMG|7AAC|8VULN|9CDMG
