0	Index      	 *	Score 	Summary	Detail	
1	52261 24311	 * 	230.40	ACR|1BASARM|2DMG|2BEXP|1VULN|1ASPD	1ASPD|28DMG|3AAC|4aBEXP|5RCR|6VULN|7LWND|9BASARM
2	11416 35311	 * 	230.40	ACR|1BASARM|3BEXP|2DMG|1VULN	1VULN|2DUR|3RCR|46aBEXP|5LWND|78DMG|9BASARM
3	11414 31353	 * 	224.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aVULN|2DUR|3RCR|4aBEXP|5AART|6CGEN|7ASPD|8aDMG|9MDPS|aBPWR
4	11414 21353	   	223.90	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aVULN|2DUR|3RCR|4aBEXP|5AART|6AME|7ASPD|8aDMG|9MDPS|aBPWR
5	11414 11333	 * 	223.22	ACR|3VULN|2DMG|1ASPD|1BEXP|1AART	19aVULN|2aDUR|3RCR|4BEXP|5AART|6AAC|7ASPD|8aDMG|aBPWR
6	21414 31335	   	223.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1LWND|2DUR|3RCR|4BEXP|5AART|6CGEN|7ASPD|8DMG|9VULN|aBASARM
7	12414 31325	   	222.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1VULN|2DUST|3RCR|4BEXP|5AART|6CGEN|7ASPD|8DMG|9DUR|aBASARM
8	21414 21335	   	222.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1LWND|2DUR|3RCR|4BEXP|5AART|6AME|7ASPD|8DMG|9VULN|aBASARM
9	22414 31335	   	222.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1LWND|2DUST|3RCR|4BEXP|5AART|6CGEN|7ASPD|8DMG|9VULN|aBASARM
10	12414 21325	   	222.82	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1VULN|2DUST|3RCR|4BEXP|5AART|6AME|7ASPD|8DMG|9DUR|aBASARM
11	12416 52111	 * 	222.74	ACR|2VULN|1BASARM|3BEXP|1DMG	16VULN|2DUST|3RCR|45aBEXP|7DMG|8LHND|9BASARM
12	12416 52211	   	222.74	ACR|2VULN|1BASARM|3BEXP|1DMG	16VULN|2DUST|3RCR|45aBEXP|7DMG|8FEWX|9BASARM
13	22416 32411	 * 	220.19	ACR|1BASARM|2BEXP|1VULN|1ASPD|1BASICY	1LWND|2DUST|3RCR|45BEXP|6BASARM|7CGEN|8VULN|9ASPD|aBASICY
14	22416 33411	   	220.09	ACR|1BASARM|2BEXP|1VULN|1ASPD|1BASICY	1LWND|2DUST|3RCR|45BEXP|6BASARM|7ERES|8VULN|9ASPD|aBASICY
15	11416 35312	   	219.13	ACR|1BASARM|2DMG|1VULN|2BEXP	1VULN|2DUR|3RCR|46BEXP|5LWND|78DMG|9BASARM|aFEWX
16	11416 35313	   	219.13	ACR|1BASARM|2DMG|1VULN|2BEXP	1VULN|2DUR|3RCR|46BEXP|5LWND|78DMG|9BASARM|aRPLT
17	26413 33311	   	219.13	ACR|1BASARM|2DMG|1VULN|2BEXP	1LWND|2VULN|3RCR|4aBEXP|5ZMB|68DMG|7RMIN|9BASARM
18	26413 32311	   	219.03	ACR|1BASARM|2DMG|1VULN|2BEXP	1LWND|2VULN|3RCR|4aBEXP|5ZMB|68DMG|7AAC|9BASARM
19	11451 21132	 * 	218.26	ACR|4VULN|3DMG|1AART	1789VULN|2DUR|3RCR|479VENTOX|579DMG|6BELT|79BPWR|aAART
20	11461 21132	   	217.96	ACR|4VULN|3DMG|1AART	1789VULN|2DUR|3RCR|479MSLTOX|579DMG|6BELT|79BPWR|aAART
21	52261 23215	   	217.17	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1ASPD|2aDMG|3AAC|4BEXP|5RCR|6VULN|7RCVC|8FEWX|9BASARM
22	22416 32151	 * 	216.85	ACR|1BASARM|3BEXP|2ASPD	1aLWND|2DUST|3RCR|45aBEXP|6BASARM|79CGEN|8aASPD|aBPWR
23	22416 32131	   	216.75	ACR|1BASARM|3BEXP|2ASPD	1aLWND|29DUST|3RCR|45aBEXP|6BASARM|7CGEN|8aASPD|aBPWR
24	42416 32131	   	216.75	ACR|1BASARM|3BEXP|2ASPD	1aLHND|29DUST|3RCR|45aBEXP|6BASARM|7CGEN|8aASPD|aBPWR
25	22416 33131	   	216.65	ACR|1BASARM|3BEXP|2ASPD	1aLWND|29DUST|3RCR|45aBEXP|6BASARM|7ERES|8aASPD|aBPWR
26	42416 33131	   	216.65	ACR|1BASARM|3BEXP|2ASPD	1aLHND|29DUST|3RCR|45aBEXP|6BASARM|7ERES|8aASPD|aBPWR
27	21463 32126	 * 	216.38	ACR|1BASARM|1VULN|1DMG|1BASICY|1AART|1AAC	1LWND|2DUR|3RCR|4DMG|5AART|6LIT|7VULN|8BASARM|9AAC|aBASICY
28	12443 84113	 * 	215.93	ACR|3VULN|2ASPD|2BEXP|1AART	14aVULN|24DUST|3RCR|4aBPWR|5MBVNT|6aASPD|7AART|8RCVC|9aBEXP
29	52231 54311	   	215.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1ASPD|28DMG|3AAC|4FEWX|5RCR|6VULN|7LWND|9BASARM|aBEXP
30	52261 22215	   	215.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1ASPD|2aDMG|3AAC|4BEXP|5RCR|6VULN|7DMSP|8FEWX|9BASARM
31	52261 24312	   	215.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1ASPD|28DMG|3AAC|4BEXP|5RCR|6VULN|7LWND|9BASARM|aFEWX
32	52261 24313	   	215.56	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1ASPD|28DMG|3AAC|4BEXP|5RCR|6VULN|7LWND|9BASARM|aRPLT
33	21463 32123	   	215.20	ACR|1BASARM|2DMG|1VULN|1AART|1AAC	1LWND|2DUR|3RCR|4aDMG|5AART|6LIT|7VULN|8BASARM|9AAC
34	21464 32121	 * 	214.85	ACR|1BASARM|2ASPD|2DMG	1aLWND|29DUR|3RCR|4aDMG|5RMIN|6BASARM|7CGEN|8aASPD|aBPWR
35	21464 33121	   	214.75	ACR|1BASARM|2ASPD|2DMG	1aLWND|29DUR|3RCR|4aDMG|5RMIN|6BASARM|7ERES|8aASPD|aBPWR
36	21465 32121	   	214.75	ACR|1BASARM|2ASPD|2DMG	1aLWND|29DUR|3RCR|4aDMG|5NUKE|6BASARM|7CGEN|8aASPD|aBPWR
37	21465 33121	   	214.65	ACR|1BASARM|2ASPD|2DMG	1aLWND|29DUR|3RCR|4aDMG|5NUKE|6BASARM|7ERES|8aASPD|aBPWR
