0	Index      	 *	Score 	Summary	Detail	
1	52232 22313	 * 	238.39	ACR|3VULN|3DMG|1BASARM	13aDMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM
2	52232 12331	 * 	234.07	ACR|3VULN|3DMG|2ASPD	13aDMG|2RCR|4MSLTOX|58aVULN|6SNITOX|7LWND|9aASPD|aBPWR
3	52232 14531	   	234.07	ACR|3VULN|3DMG|2ASPD	13aDMG|2RCR|4MSLTOX|58aVULN|6SNITOX|7FEWX|9aASPD|aBPWR
4	52232 16531	   	233.97	ACR|3VULN|3DMG|2ASPD	13aDMG|2RCR|4MSLTOX|58aVULN|6SNITOX|7DUST|9aASPD|aBPWR
5	52215 51232	 * 	233.96	ACR|3DMG|1BASARM|1VULN|1ASPD	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9VULN|aASPD
6	52215 63232	   	233.96	ACR|3DMG|1BASARM|1VULN|1ASPD	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9VULN|aASPD
7	52234 35331	   	233.86	ACR|3DMG|1BASARM|1ASPD|1VULN	139DMG|2RCR|4MSLTOX|5DUR|6CGEN|7ASPD|8BASARM|aVULN
8	52232 51433	   	233.14	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	13DMG|2RCR|4MSLTOX|5VULN|6RMIN|7DUR|8BASARM|9ASPD|aAART
9	52252 62133	 * 	228.84	ACR|3DMG|1VULN|2BEXP|1ASPD|1CDMG	135DMG|2RCR|4CDMG|6VULN|7aBEXP|8MDPS|9ASPD
10	52215 51222	   	228.83	ACR|3DMG|1BASARM|1VULN|1AART	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9AART|aVULN
11	52215 63222	   	228.83	ACR|3DMG|1BASARM|1VULN|1AART	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9AART|aVULN
12	52232 51421	 * 	227.19	ACR|2BASARM|3DMG|1VULN	13aDMG|2RCR|4aMSLTOX|5VULN|6RMIN|79DUR|8aBASARM|aBPWR
13	52614 13121	 * 	226.51	ACR|3VULN|2DMG|3CDMG|1AART	18DMG|2RCR|3ERES|468VULN|58aCDMG|7MDPS|8BPWR|9AART
14	52232 42313	   	226.04	ACR|3DMG|2VULN|1BASARM	13aDMG|2RCR|4MSLTOX|58VULN|6LWND|7DMSP|9BASARM
15	52232 22413	   	226.04	ACR|2VULN|3DMG|1BASARM	13aDMG|2RCR|4MSLTOX|56VULN|78LWND|9BASARM
16	52232 45313	   	225.94	ACR|3DMG|2VULN|1BASARM	13aDMG|2RCR|4MSLTOX|58VULN|6LWND|7AEFBLL|9BASARM
17	52212 32624	   	224.95	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aBEXP
18	52212 42341	   	224.95	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6RPLT|7ZMB|8BEXP|9RMIN|aBASARM
19	52212 22214	   	224.85	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ERES|7CGEN|8BEXP|9LIT|aBASARM
20	52212 24214	   	224.85	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ERES|7MLV|8BEXP|9LIT|aBASARM
21	52212 32615	   	224.85	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9AEMAG|aBEXP
22	52212 32634	   	224.85	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aBEXP
23	52212 26613	   	224.75	ACR|3DMG|1BASARM|1BEXP|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9AEMAG|aBEXP
24	52212 34613	   	224.75	ACR|3DMG|1BASARM|1AART|1BEXP	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9AEMAG|aBEXP
25	52252 31212	   	224.75	ACR|3DMG|1BASARM|1CDMG|1AART	135DMG|2RCR|4CDMG|6LEGI|7BELT|8NUKE|9AART|aBASARM
26	52252 31612	   	224.75	ACR|3DMG|1BASARM|1AART|1CDMG	135DMG|2RCR|4CDMG|6LEGI|7BELT|8AAC|9AART|aBASARM
27	52614 13132	 * 	224.68	ACR|3VULN|3DMG|2CDMG|1AAC	18aDMG|2RCR|3ERES|468VULN|58CDMG|7MDPS|8BPWR|9AAC
28	52316 23363	 * 	224.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1DMG|2RCR|357DUST|456BEXP|5BPWR|8CGEN|9ASPD|aBASARM
29	52251 61111	 * 	223.40	ACR|2VULN|2DMG|2AART|1CDMG|1BEXP	13DMG|2RCR|4CDMG|5BEXP|67AART|8LWND|9aVULN
30	52215 51223	 * 	222.54	ACR|3DMG|1BASARM|2AART	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9aAART
31	52215 63223	   	222.54	ACR|3DMG|1BASARM|2AART	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9aAART
32	52251 12116	 * 	222.13	ACR|3DMG|2VULN|2BEXP|1CDMG|1SELL	13aDMG|2RCR|4CDMG|5aBEXP|6FEWX|7LHND|8aVULN|9SELL|aBPWR
33	52213 23354	 * 	222.08	ACR|3DMG|2VULN|2BEXP|1CDMG	134DMG|2RCR|5AEMAG|67BEXP|8aVULN|9CDMG
34	33222 61634	 * 	221.65	ACR|1BASARM|3BEXP|2ASPD	1LWND|2RCR|3VENICY|457BEXP|69ASPD|8FEWX|aBASARM
35	33322 61634	   	221.65	ACR|1BASARM|3BEXP|2ASPD	1LWND|2RCR|357BEXP|4SNIFST|69ASPD|8FEWX|aBASARM
36	33621 24314	 * 	221.50	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1LWND|2RCR|3LHND|4VULN|5AART|67BEXP|8ASPD|9LIT|aBASARM
37	33335 15432	   	221.40	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART	1LWND|2RCR|35BEXP|4DMSP|6MULARM|7VULN|8BASARM|9AART|aASPD
38	33335 26432	   	221.40	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART	1LWND|2RCR|35BEXP|4DMSP|6VULN|7MSLTOX|8BASARM|9AART|aASPD
39	52212 11214	   	220.57	ACR|3DMG|2ASPD|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7LHND|8aASPD|9VULN
40	52212 12214	   	220.57	ACR|3DMG|2ASPD|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7DUR|8aASPD|9VULN
41	52212 15214	   	220.57	ACR|3DMG|2ASPD|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7FEWX|8aASPD|9VULN
42	52253 11263	 * 	220.57	ACR|3DMG|2ASPD|2CDMG|1AART	139DMG|2RCR|49CDMG|5ERES|6AART|7aASPD|89LIT|9BPWR
43	52232 35134	   	220.47	ACR|3DMG|2ASPD|1VULN|1AART	137DMG|2RCR|4MSLTOX|5VULN|6BELT|8aASPD|9AART
44	52252 16122	   	220.47	ACR|3DMG|2VULN|2CDMG|1AART	135DMG|2RCR|48CDMG|68ERES|78VULN|8BPWR|9AART|aDUR
45	52252 16123	   	220.47	ACR|3DMG|2VULN|2CDMG|1AART	135DMG|2RCR|48CDMG|68ERES|78VULN|8BPWR|9AART|aLWND
46	52252 16121	   	220.37	ACR|3DMG|2VULN|2CDMG|1AART	135DMG|2RCR|48CDMG|68ERES|78VULN|8BPWR|9AART|aMBVNT
47	52252 16133	   	220.37	ACR|3DMG|2VULN|2CDMG|1AART	135DMG|2RCR|48CDMG|68ERES|78VULN|8BPWR|9MDPS|aAART
48	52232 21135	   	220.17	ACR|2VULN|2ASPD|2DMG|1AART	13DMG|2RCR|4MSLTOX|56VULN|7aASPD|8AART|9LHND
49	52232 21165	   	220.17	ACR|2VULN|2ASPD|2DMG|1AART	13DMG|2RCR|4MSLTOX|56VULN|7aASPD|8AART|9LWND
50	52232 21415	   	220.17	ACR|2VULN|2ASPD|2DMG|1AART	13DMG|2RCR|4MSLTOX|56VULN|7aASPD|8LWND|9AART
51	52223 15326	   	220.10	ACR|3DMG|2VULN|2ASPD	137DMG|2RCR|4AAC|5aASPD|6DMSP|8aVULN|9aZMB|aBPWR
52	52232 14231	   	220.00	ACR|3DMG|2VULN|2ASPD	13aDMG|2RCR|4MSLTOX|5aVULN|6SNITOX|78FEWX|9aASPD|aBPWR
53	52223 25326	   	220.00	ACR|3DMG|2VULN|2ASPD	137DMG|2RCR|46AAC|5aASPD|8aVULN|9aZMB|aBPWR
54	52263 33351	   	219.71	ACR|3DMG|2BEXP|1ASPD|1CDMG|1AAC	136DMG|2RCR|4CGEN|5ASPD|78BEXP|9CDMG|aAAC
55	52234 35321	 * 	219.65	ACR|1BASARM|2ASPD|2DMG	13DMG|2RCR|4aMSLTOX|5DUR|6CGEN|7aASPD|8BASARM|9aMLV|aBPWR
56	52212 32621	   	219.60	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aAAC
57	52212 32661	   	219.60	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LWND|aAAC
58	33344 21152	 * 	219.60	ACR|2ASPD|2BEXP|1DMG|2CDMG|1VULN	1LWND|2RCR|34BEXP|58CDMG|69ASPD|7DMG|aVULN
59	52212 26621	   	219.50	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LHND|aAAC
60	52212 32631	   	219.50	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aAAC
