0	Index      	 *	Score 	Summary	Detail	
1	42251 22242	 * 	226.19	DCR|3VULN|2BASARM|2ASPD|1AART|1CDMG	189VULN|2CDMG|39BASARM|4LHND|5AART|6FLTFST|79ASPD|9BPWR|aRCR
2	13116 25236	 * 	222.74	ACR|1BASARM|2DMG|1BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6aDMG|7AEFBLL|8BEXP|9AART
3	13116 25232	 * 	221.41	ACR|1BASARM|1DMG|1VULN|1BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AART|aVULN
4	13116 36133	 * 	220.09	ACR|1BASARM|2BEXP|1ASPD|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9ASPD|aVULN
5	13236 36133	   	219.99	ACR|1BASARM|2BEXP|1ASPD|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9ASPD|aVULN
6	13326 62521	 * 	219.65	ACR|3VULN|2DMG|2BEXP|1AART	1aAEMAG|2RCR|3LEGI|4AART|579VULN|6aDMG|8aBEXP|aBPWR
7	42213 32242	   	219.00	DCR|3VULN|2BASARM|1ASPD|1BEXP|1AART|1CDMG	189VULN|2CDMG|39BASARM|4BEXP|5ASPD|6AART|79SNIFST|9BPWR|aRCR
8	13241 33643	 * 	217.13	ACR|2DMG|1ASPD|1BASICY|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7ASPD|89DMG|aVULN
9	41231 16113	 * 	213.50	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART|1AAC	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAAC
10	45231 16113	   	213.40	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1AAC	13VULN|2TLV|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAAC
11	41231 66113	   	213.40	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART|1AAC	13VULN|2CGEN|4BEXP|5RCR|6DUST|7DMG|8BASARM|9AART|aAAC
12	45241 22113	   	213.40	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1AAC	13VULN|2TLV|4LWND|5RCR|6DMG|7BEXP|8BASARM|9AART|aAAC
