0	Index      	 *	Score 	Summary	Detail	
1	54131 48224	 * 	199.28	ACR|2VULN|3BEXP|1ASPD|1DMG	148ZMB|2MBVNT|3RCR|48BPWR|5DMG|68aBEXP|78VULN|9ASPD
2	23441 33223	 * 	198.80	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4CGEN|5aDMG|6LWND|7DUR|8aASPD|9BELT|aBPWR
3	23441 52223	   	198.80	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4CGEN|5aDMG|6LHND|7LWND|8aASPD|9BELT|aBPWR
4	23451 33223	   	198.80	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4MLV|5aDMG|6LWND|7DUR|8aASPD|9BELT|aBPWR
5	23451 52223	   	198.80	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4MLV|5aDMG|6LHND|7LWND|8aASPD|9BELT|aBPWR
6	23461 33223	   	198.70	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4ERES|5aDMG|6LWND|7DUR|8aASPD|9BELT|aBPWR
7	23461 52223	   	198.70	ACR|2VULN|2ASPD|2DMG	1aVULN|2RMIN|3RCR|4ERES|5aDMG|6LHND|7LWND|8aASPD|9BELT|aBPWR
8	23433 25263	 * 	193.70	ACR|3VULN|2BEXP|1ASPD|1AART	189VULN|2RMIN|3RCR|48LWND|5FEWX|6ASPD|78BEXP|8BPWR|aAART
9	23446 23212	 * 	193.14	ACR|2VULN|1ASPD|1DMG|1BASICY|1BEXP	18VULN|2RMIN|3RCR|4CGEN|5ASPD|6RPLT|7DMG|9BEXP|aBASICY
10	23456 23212	   	193.14	ACR|2VULN|1ASPD|1DMG|1BASICY|1BEXP	18VULN|2RMIN|3RCR|4MLV|5ASPD|6RPLT|7DMG|9BEXP|aBASICY
11	23466 23212	   	193.04	ACR|2VULN|1ASPD|1DMG|1BASICY|1BEXP	18VULN|2RMIN|3RCR|4ERES|5ASPD|6RPLT|7DMG|9BEXP|aBASICY
12	23425 62332	 * 	192.94	ACR|2VULN|1BASARM|1BEXP|1CDMG	17VULN|2RMIN|3RCR|4MDPS|5CGEN|6RPLT|8BASARM|9BEXP|aCDMG
13	13431 12414	 * 	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	14DUST|2RMIN|3RCR|4BPWR|5DMG|6CGEN|7RPLT|8BEXP|9BASARM|aASPD
14	54131 41415	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	14ZMB|2MBVNT|3RCR|4BPWR|5DMG|6BEXP|7ERES|8RPLT|9BASARM|aASPD
15	54143 25313	 * 	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|5TLV|6LWND|7DUR|8ASPD|9BASARM|aDMG
16	23445 12333	 * 	192.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1VULN|2RMIN|3RCR|4CGEN|5FLTARM|6ASPD|78BEXP|9DMG|aAART
17	54143 26313	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|5TLV|6LWND|7LEGI|8ASPD|9BASARM|aDMG
18	23432 28263	 * 	192.15	ACR|2VULN|2DMG|1AART|1BEXP	18VULN|2RMIN|3RCR|48LWND|5RCVC|6MBVNT|78DMG|8BPWR|9BEXP|aAART
19	13324 22463	 * 	192.03	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8CGEN|9BASARM|aAAC
20	13324 22163	   	191.93	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8TLV|9BASARM|aAAC
21	13441 36212	 * 	190.54	ACR|1BASARM|2DMG|1CDMG	1DUST|2RMIN|3RCR|4CGEN|57DMG|6LWND|8RPLT|9BASARM|aCDMG
22	13451 36212	   	190.44	ACR|1BASARM|2DMG|1CDMG	1DUST|2RMIN|3RCR|4AME|57DMG|6LWND|8RPLT|9BASARM|aCDMG
23	13461 36212	   	190.44	ACR|1BASARM|2DMG|1CDMG	1DUST|2RMIN|3RCR|4ERES|57DMG|6LWND|8RPLT|9BASARM|aCDMG
24	13426 34734	 * 	190.40	ACR|3VULN|2ASPD|1AART	19DUST|2RMIN|3RCR|4MDPS|5AART|6MBVNT|79aVULN|89ASPD|9BPWR
25	13426 34834	 * 	190.40	ACR|3VULN|2DMG|1AART	19DUST|2RMIN|3RCR|4MDPS|5AART|6MBVNT|79aVULN|89DMG|9BPWR
26	23441 62331	 * 	190.36	ACR|3DMG|1VULN|2BEXP	1VULN|2RMIN|3RCR|4CGEN|59aDMG|6SPLARM|78BEXP
27	55513 23213	 * 	190.15	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	1ZMB|29BEXP|3CDMG|48VULN|5RCR|6LHND|7DMG|aAART
28	23426 23235	   	190.12	ACR|2VULN|2ASPD|1DMG|1AAC	18VULN|2RMIN|3RCR|4MDPS|5RCVC|68ASPD|7DMSP|8BPWR|9AAC|aDMG
