0	Index      	 *	Score 	Summary	Detail	
1	13232 56243	 * 	229.13	ACR|1BASARM|2BEXP|1DMG|2CDMG|1VULN|1AAC	1AAC|29CDMG|3FEWX|4RCR|59ZMB|6DMG|7BASARM|89BEXP|9BPWR|aVULN
2	13233 36226	 * 	216.60	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6RCVC|7BASARM|8DMG|9VULN|aASPD
3	13233 16226	   	213.99	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6AEFBLL|7BASARM|8DMG|9VULN|aASPD
4	13232 56513	 * 	213.91	ACR|1BASARM|2DMG|1BASICY|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6aDMG|7BASARM|8BASICY|9MSLTOX
5	13233 36216	   	212.48	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6RCVC|7BASARM|8DMG|9BEXP|aASPD
6	13232 56533	 * 	212.08	ACR|1BASARM|1DMG|1BASICY|1AART|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BASICY|9AART|aLHND
7	13232 56531	   	211.98	ACR|1BASARM|1DMG|1BASICY|1AART|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BASICY|9AART|aAEMAG
8	13232 56532	   	211.98	ACR|1BASARM|1DMG|1BASICY|1AART|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BASICY|9AART|aDUST
9	13232 56241	   	211.36	ACR|1BASARM|2BEXP|1DMG|2CDMG|1AAC	1AAC|29CDMG|3FEWX|4RCR|59ZMB|6DMG|7BASARM|89BEXP|9BPWR|aRMIN
10	13232 56242	   	211.26	ACR|1BASARM|2BEXP|1DMG|2CDMG|1AAC	1AAC|29CDMG|3FEWX|4RCR|59ZMB|6DMG|7BASARM|89BEXP|9BPWR|aERES
11	13232 56522	 * 	211.21	ACR|2BASARM|1DMG|1BASICY|1CDMG|1AAC	1AAC|2CDMG|3aFEWX|4RCR|5ZMB|6DMG|7aBASARM|8BASICY|9aLIT|aBPWR
12	13232 56412	 * 	210.78	ACR|1BASARM|1DMG|1VULN|1AART|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8DUR|9AART|aVULN
13	22344 22513	 * 	210.76	ACR|3VULN|2DMG|1AART|1CDMG|1AAC	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aAAC
14	13231 26243	   	210.47	ACR|1BASARM|2BEXP|2CDMG|1VULN|1AAC	1AAC|29CDMG|39FEWX|4RCR|5DUST|6RCVC|7BASARM|89BEXP|9BPWR|aVULN
15	13232 56252	   	210.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3aFEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9ASPD
16	13232 56253	   	210.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9ASPD|aRMIN
17	13233 36212	   	210.01	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6RCVC|7BASARM|8aDMG|9BEXP
18	13233 16216	   	209.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6AEFBLL|7BASARM|8DMG|9BEXP|aASPD
19	52142 43311	 * 	208.77	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1DMSP|2CGEN|3RCR|4BEXP|5DMG|6ASPD|7DUR|8LHND|9AART|aBASARM
20	13232 56363	   	208.68	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8RCVC|9BEXP|aVULN
21	51142 43311	   	208.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1DMSP|2TLV|3RCR|4BEXP|5DMG|6ASPD|7DUR|8DUST|9AART|aBASARM
22	13232 56233	   	208.38	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9RCVC|aVULN
23	13234 56233	   	208.28	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ASPD|6NUKE|7BASARM|8BEXP|9RCVC|aVULN
24	13233 16212	   	207.40	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5LSRICY|6AEFBLL|7BASARM|8aDMG|9BEXP
25	13232 56216	   	206.97	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9AART|aRCVC
26	13232 56323	 * 	206.66	ACR|1BASARM|2VULN|1DMG|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8RCVC|9aVULN
27	13234 56323	 * 	206.56	ACR|1BASARM|2VULN|1ASPD|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ASPD|6NUKE|7BASARM|8RCVC|9aVULN
28	13232 56211	   	205.66	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9AART|aDUR
