0	Index      	 *	Score 	Summary	Detail	
1	36623 51213	 * 	248.68	ACR|3DMG|2ASPD|1VULN|2BEXP|1BASICY|1AAC	17BEXP|27aDMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8AAC|9BASICY
2	33411 36433	 * 	242.66	ACR|2VULN|3BEXP|2ASPD|3CDMG|1AART	139BEXP|238CDMG|39BPWR|4RCR|5FEWX|69ASPD|79VULN|aAART
3	33411 31153	 * 	237.10	ACR|1BASARM|2ASPD|2BEXP|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|6aASPD|7NUKE|8AART|9BASARM
4	33416 31153	   	237.10	ACR|1BASARM|2ASPD|2BEXP|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5LWND|6aASPD|7NUKE|8AART|9BASARM
5	36623 51211	   	232.03	ACR|2ASPD|2DMG|1VULN|2BEXP|1BASICY|1AAC	17BEXP|27DMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8AAC|9BASICY|aDUR
6	36623 51212	   	232.03	ACR|2ASPD|2DMG|1VULN|2BEXP|1BASICY|1AAC	17BEXP|27DMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8AAC|9BASICY|aCGEN
7	36623 51311	 * 	231.33	ACR|3ASPD|3BEXP|2DMG|1VULN|1SELL	179BEXP|27DMG|3VULN|4LIT|5RCR|67aASPD|7BPWR|8SELL
8	36623 51312	 * 	231.33	ACR|3DMG|3BEXP|2ASPD|1VULN|1SELL	179BEXP|27aDMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8SELL
9	33411 32225	 * 	225.41	ACR|3ASPD|2DMG|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|679ASPD|8aDMG
10	33416 32225	   	225.41	ACR|3ASPD|2DMG|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LWND|679ASPD|8aDMG
11	33413 24335	 * 	224.52	ACR|2BEXP|1VULN|1ASPD|1DMG|1BASICY|2CDMG|1AAC	13BEXP|23CDMG|3BPWR|4RCR|5RCVC|6AAC|7VULN|8BASICY|9ASPD|aDMG
12	33411 36431	   	224.01	ACR|2VULN|3BEXP|2ASPD|3CDMG	139BEXP|238CDMG|39BPWR|4RCR|5FEWX|69ASPD|79VULN|aCGEN
13	33411 36432	   	224.01	ACR|2VULN|3BEXP|2ASPD|3CDMG	139BEXP|238CDMG|39BPWR|4RCR|5FEWX|69ASPD|79VULN|aBELT
14	12534 31111	 * 	223.17	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART|1CDMG	13ASPD|2RMIN|4RCR|5aBEXP|6VULN|7CDMG|8AART|9DMG
15	33413 12246	 * 	221.05	ACR|2VULN|3BEXP|2CDMG|1DMG|1ASPD	136BEXP|23CDMG|3BPWR|4RCR|5RCVC|79VULN|8ASPD|aDMG
16	33412 52151	   	220.55	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|67ASPD|8LWND|9CGEN|aBASARM
