0	Index      	 *	Score 	Summary	Detail	
1	22321 23486	 * 	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	1TBNT|2TLV|3ERES|4DUR|5LWND|6VULN|7RCR|8MBVNT|9aMDPS
2	42522 16232	 * 	377.41	DCR|2VULN|1MDPS|2AART|1DMG|1DUR	15AART|2LHND|3CGEN|4DMG|68VULN|7RCR|9DUR|aMDPS
3	16432 24211	 * 	373.69	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|257VULN|3RCR|45DUR|5BPWR|6TLV|8BBNT|9LWND|aMDPS
4	16432 24231	   	373.69	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|257VULN|3RCR|45DUR|5BPWR|6TLV|8BBNT|9BEXP|aMDPS
5	16432 24321	   	373.69	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|257VULN|3RCR|45DUR|5BPWR|6TLV|8CGEN|9MDPS|aBELT
6	16432 24322	   	373.69	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|257VULN|3RCR|45DUR|5BPWR|6TLV|8CGEN|9MDPS|aMGNBOS
7	16432 24323	   	373.69	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|257VULN|3RCR|45DUR|5BPWR|6TLV|8CGEN|9MDPS|aRAT
8	16432 22141	   	373.59	ACR|3VULN|1MDPS|2DUR|1TLV	1FEWX|259VULN|3RCR|45DUR|5BPWR|6TLV|7TBNT|8MBVNT|aMDPS
9	32322 16136	 * 	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1MULARM|2BEXP|39VULN|46DMG|5AME|7RCR|8DUR|aMDPS
10	16434 22141	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1FEWX|259VULN|3RCR|4DUR|6TLV|7TBNT|8MBVNT|aMDPS
11	22244 12261	 * 	358.18	DCR|3VULN|2TLV|1CDMG|2DUR	1TBNT|28TLV|348VULN|5MGNSTR|6RAT|78DUR|8BPWR|9RCR|aCDMG
12	32314 53143	 * 	355.57	2MDPS|3VULN|1DUR	1MULARM|2BEXP|356VULN|4TBNT|7DUR|8LHND|9aMDPS
13	32314 53263	   	355.47	2MDPS|3VULN|1DUR	1MULARM|2BEXP|356VULN|4TBNT|7DUR|8aMDPS|9LHND
