0	Index      	 *	Score 	Summary	Detail	
1	66334 33123	 * 	387.38	DCR|3VULN|1MDPS|2DUR	18DUR|2ERES|379VULN|4BEXP|5MLV|6RCR|aMDPS
2	22214 24141	   	374.83	DCR|3VULN|1MDPS|1DUR	1BASICY|269VULN|3RAT|4BBNT|5DUR|7RCR|8FEWX|aMDPS
3	22214 24241	   	374.83	DCR|3VULN|1MDPS|1DUR	1BASICY|269VULN|3RAT|4BBNT|5DUR|7RCR|8LWND|aMDPS
4	13131 16126	   	374.73	DCR|3VULN|1MDPS|1DUR	16AME|2BOSS|358VULN|4ASPD|7DUR|9RCR|aMDPS
5	13132 16126	   	374.73	DCR|3VULN|1MDPS|1DUR	16AME|2BOSS|358VULN|45ASPD|5BPWR|7DUR|9RCR|aMDPS
6	22164 12232	   	374.73	DCR|3VULN|1MDPS|1DUR	1BASICY|245VULN|3AIRBOS|6ERES|7DUR|8RAT|9RCR|aMDPS
7	22214 24351	   	374.73	DCR|3VULN|1MDPS|1DUR	1BASICY|268VULN|3RAT|4BBNT|5DUR|7RCR|9LEGI|aMDPS
8	63661 21123	 * 	371.10	DCR|2VULN|1MDPS|1CDMG|2DUR	18DUR|2CDMG|3MLV|4RPLT|5DMSP|6RCR|79VULN|aMDPS
9	13231 21152	 * 	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	13AME|2BOSS|4TLV|58VULN|6DUR|7AART|9RCR|aMDPS
10	15362 13252	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AME|23VULN|4AART|5TLV|6AEBURN|7LIT|8DUR|9RCR|aMDPS
11	22315 43363	 * 	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|27VULN|3TBNT|4LSRICY|5LWND|67DMG|7BPWR|8DUR|9RCR|aMDPS
12	22352 43363	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|27VULN|3TBNT|4LWND|5BLASTR|67DMG|7BPWR|8DUR|9RCR|aMDPS
13	23315 43363	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|2TBNT|37VULN|4LSRICY|5LWND|67DMG|7BPWR|8DUR|9RCR|aMDPS
14	23352 43363	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|2TBNT|37VULN|4LWND|5BLASTR|67DMG|7BPWR|8DUR|9RCR|aMDPS
15	22316 43363	   	368.59	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|27VULN|3TBNT|4LSRICY|5DUST|67DMG|7BPWR|8DUR|9RCR|aMDPS
16	22332 43363	   	368.59	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|27VULN|3TBNT|4DUST|5BLASTR|67DMG|7BPWR|8DUR|9RCR|aMDPS
17	23316 43363	   	368.59	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|2TBNT|37VULN|4LSRICY|5DUST|67DMG|7BPWR|8DUR|9RCR|aMDPS
18	23332 43363	   	368.59	DCR|2VULN|1MDPS|2DMG|1DUR	17BASICY|2TBNT|37VULN|4DUST|5BLASTR|67DMG|7BPWR|8DUR|9RCR|aMDPS
19	63223 63631	 * 	367.75	4VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2CDMG|3568VULN|4LIT|7TLV|9RAT|aMDPS
20	63223 65231	 * 	367.75	DCR|4VULN|1CDMG|1TLV|1DUR	1DUR|2CDMG|3569VULN|4LIT|7RCR|8TLV|aBEXP
21	63223 65232	   	367.75	DCR|4VULN|1CDMG|1TLV|1DUR	1DUR|2CDMG|3569VULN|4LIT|7RCR|8TLV|aCGEN
22	63223 65233	   	367.65	DCR|4VULN|1CDMG|1TLV|1DUR	1DUR|2CDMG|3569VULN|4LIT|7RCR|8TLV|aTBNT
23	64313 31126	   	363.76	DCR|2VULN|1MDPS|2DUR|1DMG	16DUR|2AAC|38VULN|4DMG|5BOSS|7DMSP|9RCR|aMDPS
24	65313 31126	   	363.76	DCR|2VULN|1MDPS|2DUR|1DMG	16DUR|2ZMB|38VULN|4DMG|5BOSS|7DMSP|9RCR|aMDPS
25	66313 31126	   	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	16DUR|2ERES|38VULN|4DMG|5LIT|7DMSP|9RCR|aMDPS
26	63343 13333	 * 	361.45	3VULN|1MDPS|1CDMG|2DUR|1TLV|1DMG	18DUR|2CDMG|38FEWX|4TLV|5DMG|6RPLT|789VULN|8BPWR|aMDPS
27	63543 13333	   	361.25	3VULN|1MDPS|1CDMG|2DUR|1TLV|1DMG	18DUR|2CDMG|38DUST|4TLV|5DMG|6RPLT|789VULN|8BPWR|aMDPS
28	63223 32553	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|35VULN|4LIT|6BEXP|7ZMB|8AME|9RCR|aMDPS
29	63223 31553	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|35VULN|4LIT|6BEXP|7ASPD|8AME|9RCR|aMDPS
